"行人活動聚集區域109-112年6月事故排行",,,,,,
"排行",縣市,"鄉鎮市區",路口名稱,件數,"死亡人數","受傷人數"
1,桃園市,桃園區,南平路、永安北路,4,0,4
2,高雄市,左營區,榮總路、榮佑路,4,0,4
3,新北市,中和區,中正路、南山路,4,0,4
4,新北市,板橋區,萬板路、莊敬路,4,0,4
5,新北市,新莊區,新泰路、復興路,4,0,4
6,臺北市,內湖區,成功路三段、星雲街,4,0,4
7,臺北市,內湖區,港墘路、港華街,4,0,4
8,新北市,新店區,北新路二段、寶橋路,4,0,4
9,桃園市,八德區,和平路、和義一街,4,0,4
10,桃園市,大溪區,康莊路、復興路,4,0,4
11,桃園市,平鎮區,延平路一段、新榮路,4,0,4
12,桃園市,桃園區,春日路、成功路二段,4,0,4
13,新北市,三重區,三陽路、名源街,4,0,4
14,新北市,汐止區,大同路三段、長安路,4,0,4
15,新北市,汐止區,新台五路一段、秀峰路,4,0,4
16,臺北市,中正區,忠孝東路二段、臨沂街,4,0,4
17,臺北市,信義區,松智路、松平路,4,0,4
18,桃園市,桃園區,大林路、延平路,4,0,4
19,桃園市,龜山區,文青路、文學路,4,0,4
20,新北市,中和區,中山路二段、員山路,4,0,4
21,新北市,汐止區,新台五路一段、仁愛路,4,0,4
22,新北市,板橋區,信義路150巷、信義路,4,0,4
23,臺北市,大同區,承德路二段、錦西街,4,0,4
24,臺北市,中山區,長春路、伊通街,4,0,4
25,臺北市,中正區,中山北路一段、北平東路,4,0,4
26,新北市,樹林區,樹新路、保順街,4,0,4
27,桃園市,龜山區,中和南路、新樂街,4,0,4
28,新北市,板橋區,民生路一段、長安街,4,0,4
29,新北市,新店區,民族路、建國路,4,0,4
30,臺北市,中山區,中山北路三段、農安街,4,0,4
31,臺北市,中正區,金山南路一段、濟南路二段,4,0,4
32,臺北市,中正區,羅斯福路一段、寧波東街,4,0,4
33,臺北市,信義區,永吉路、松山路,4,0,4
34,臺北市,萬華區,西寧南路、洛陽街,4,0,4
35,高雄市,三民區,九如一路、永年街,4,0,4
36,新北市,三重區,自強路四段、仁愛街,4,0,4
37,新北市,泰山區,明志路三段、工專路,4,0,4
38,新北市,淡水區,新市一路三段101巷、新市一路三段,4,0,4
39,臺北市,中正區,仁愛路一段、林森南路,4,0,4
40,新北市,板橋區,金門街、溪城路,4,0,4
41,臺北市,大安區,信義路四段、安和路一段,4,0,4
42,新北市,板橋區,國光路、公館街,4,0,4
43,臺中市,西屯區,文心路三段、四川路,4,0,4
44,桃園市,八德區,中山路、中山路1496巷,4,0,4
45,桃園市,桃園區,中山路、民生路,4,0,4
46,桃園市,蘆竹區,中山路、仁愛路二段,4,0,4
47,高雄市,左營區,自由二路、裕誠路,4,0,4
48,新北市,汐止區,龍安路28巷、連興街,4,0,4
49,臺中市,清水區,中山路、文化路,4,0,4
50,臺北市,大安區,復興南路二段、瑞安街23巷,4,0,4
51,新北市,泰山區,明志路一段、美寧街,4,0,4
52,高雄市,新興區,中正三路、復興一路,4,0,4
53,新北市,三重區,環河南路、重安街,4,0,4
54,新北市,三峽區,學成路、大學路,4,0,4
55,新北市,新店區,中興路一段、檳榔路,4,0,4
56,新北市,新莊區,中原路、思源路,4,0,4
57,臺北市,中山區,松江路、德惠街,4,0,4
58,臺北市,中山區,新生北路三段、濱江街,4,0,4
59,臺北市,文山區,木柵路一段、木柵路一段191巷,4,0,4
60,桃園市,八德區,介壽路二段、和平路,4,0,4
61,桃園市,桃園區,三民路二段、中央街,4,0,4
62,新北市,三重區,自強路五段、五華街,4,0,4
63,新北市,三重區,重新路五段、中興南街,4,0,4
64,新北市,泰山區,明志路、楓江路,4,0,4
65,新北市,新莊區,思源路、中原東路,4,0,4
66,臺中市,清水區,中華路、五權路,4,0,4
67,臺北市,中正區,和平西路一段、南昌路二段,4,0,4
68,臺中市,西屯區,西屯路三段、玉門路,4,0,4
69,新北市,三重區,正義北路、大榮街,3,1,3
70,臺北市,文山區,景隆街、景隆街36巷,3,1,3
71,新北市,中和區,錦和路、圓通路,3,1,3
72,桃園市,楊梅區,楊新路、大成路,3,1,3
73,臺中市,東勢區,東關路七段、正二街,3,1,3
