"非直轄市109-112年6月事故排行",,,,,,
"排行",縣市,"鄉鎮市區",路口,件數,"死亡人數","受傷人數"
1,基隆市,信義區,信一路、義七路,15,0,17
2,基隆市,信義區,信一路、義六路,13,0,17
3,基隆市,安樂區,安樂路二段、安和一街,11,1,14
4,基隆市,信義區,信一路、義四路,10,0,15
5,基隆市,七堵區,明德一路、崇智街,11,0,13
6,基隆市,中山區,中山一路、新民路,11,1,10
7,基隆市,仁愛區,孝二路、忠三路,9,0,11
8,新竹市,北區,西大路、北大路,9,0,10
9,基隆市,安樂區,安一路、樂一路,8,0,11
10,基隆市,仁愛區,仁一路、愛四路,6,2,8
11,彰化縣,花壇鄉,中山路二段、中正路,8,0,10
12,基隆市,中山區,中華路、通仁街,6,1,10
13,基隆市,中山區,安一路、西定路,8,0,9
14,基隆市,中山區,西定路、安一路,7,0,10
15,基隆市,中正區,信一路、義一路,7,0,10
16,宜蘭縣,羅東鎮,興東路、倉前路,6,1,8
17,基隆市,仁愛區,仁一路、愛五路,7,0,9
18,基隆市,暖暖區,暖暖街、東勢街,7,0,9
19,基隆市,安樂區,基金一路208巷、基金一路,7,0,8
20,基隆市,七堵區,光明路、自治街,7,0,8
21,基隆市,中正區,信一路、義二路,7,0,7
22,新竹市,東區,中央路、民權路,6,0,8
23,屏東縣,屏東市,大連路、莊敬街一段,6,0,8
24,彰化縣,花壇鄉,中山路一段、光明路,6,1,5
25,基隆市,信義區,信二路、義三路,5,0,9
26,基隆市,仁愛區,仁一路、愛六路,6,0,7
27,基隆市,仁愛區,仁一路、愛九路,6,0,7
28,基隆市,七堵區,實踐路、百六街,6,0,7
29,花蓮縣,花蓮市,國聯一路、國聯三路,6,0,7
30,彰化縣,彰化市,中山路一段、雲長路,6,0,7
31,基隆市,中山區,西定路42巷、西定路,5,0,8
32,基隆市,仁愛區,仁一路、愛三路,6,0,6
33,基隆市,仁愛區,仁四路、愛三路,6,0,6
34,花蓮縣,花蓮市,國聯四路、國聯五路,6,0,6
35,雲林縣,虎尾鎮,林森路二段、八德街,4,0,9
36,基隆市,信義區,信二路、義七路,5,0,7
37,基隆市,仁愛區,成功一路、光二路,5,0,7
38,基隆市,仁愛區,仁四路、愛二路,5,0,7
39,基隆市,仁愛區,公園街、忠三路,5,0,7
40,宜蘭縣,羅東鎮,公正路、中華路,5,0,7
41,彰化縣,彰化市,中正路二段、華山路,5,0,7
42,彰化縣,彰化市,金馬路二段、彰新路一段,5,0,7
43,基隆市,中正區,中正路、正榮街,4,0,8
44,新竹市,東區,力行路、力行三路,5,0,6
45,花蓮縣,花蓮市,中正路、和平路,5,0,6
46,花蓮縣,花蓮市,和平路、建林街,5,0,6
47,彰化縣,員林市,莒光路、至善街,5,0,6
48,嘉義縣,新港鄉,宮前村中山路、登雲路,4,0,7
49,新竹縣,竹東鎮,中興路三段、中央路,4,0,7
50,雲林縣,虎尾鎮,林森路一段、中山路,4,0,7
51,基隆市,仁愛區,忠一路、孝四路,4,0,7
52,基隆市,仁愛區,仁一路、劉銘傳路,4,0,7
53,苗栗縣,苗栗市,忠孝路、縣府路,4,0,7
