"直轄市六都109-112年6月事故排行",,,,,,
"排行",縣市,"鄉鎮市區",路口,件數,"死亡人數","受傷人數"
1,新北市,三重區,新北大道一段、中華路,14,0,15
2,桃園市,桃園區,復興路、民生路,11,1,17
3,新北市,板橋區,館前西路、南門街,12,0,12
4,新北市,中和區,景平路、景安路,9,1,15
5,新北市,新店區,復興路、順安街,11,0,12
6,臺北市,中正區,羅斯福路一段、南海路,10,0,12
7,新北市,汐止區,新台五路二段、福安街,10,0,12
8,臺北市,萬華區,西園路二段、寶興街,8,1,13
9,臺中市,北區,三民路三段、育才街,9,0,13
10,桃園市,桃園區,復興路、民權路,10,0,11
11,臺北市,中山區,松江路、農安街,9,1,10
12,新北市,永和區,中正路、民享街,8,0,14
13,新北市,永和區,中正路、得和路,9,0,12
14,新北市,三重區,正義北路、信義西街,9,0,12
15,桃園市,桃園區,三民路二段、民生路,9,0,12
16,桃園市,桃園區,中正路、莊二街,10,0,10
17,臺北市,中山區,建國北路三段、民權東路三段,10,0,10
18,臺南市,北區,公園路、公園南路,8,0,13
19,新北市,永和區,仁愛路、保生路,8,0,13
20,臺北市,中山區,民權東路二段、吉林路,9,0,11
21,桃園市,蘆竹區,中正路、南竹路,8,1,10
22,新北市,汐止區,新台五路一段、南興路,9,0,10
23,新北市,三峽區,中正路一段、大同路,9,0,10
24,桃園市,龍潭區,大昌路二段、五福街,9,0,10
25,新北市,中和區,中正路、板南路,8,0,11
26,臺北市,中正區,忠孝西路一段、重慶南路一段,9,0,9
27,桃園市,龜山區,萬壽路一段、中正路,7,1,10
28,桃園市,八德區,公園路、大智路,8,0,10
29,桃園市,桃園區,三民路三段、中山路,8,1,7
30,高雄市,前金區,中正四路、瑞源路,8,0,9
31,臺中市,霧峰區,中正路、萊園路,7,0,10
32,桃園市,蘆竹區,中正路、忠孝西路,8,0,8
33,臺北市,大安區,信義路三段、建國南路一段,8,0,8
34,臺中市,北屯區,文心路四段、興安路一段,8,0,8
35,桃園市,龍潭區,北龍路、龍華路,5,1,11
36,臺北市,大同區,重慶北路二段、涼州街,7,1,7
37,桃園市,龍潭區,神龍路、新龍路,6,2,6
38,臺北市,大同區,承德路一段、長安西路,4,0,15
39,桃園市,桃園區,大有路、民光東路,6,0,11
40,臺北市,大同區,重慶北路二段、民生西路,7,0,9
41,新北市,三重區,正義南路、光興街,7,0,9
42,新北市,蘆洲區,三民路、民族路,7,0,9
43,桃園市,桃園區,中正路、同德五街,7,0,9
44,新北市,永和區,永和路二段、仁愛路,7,0,9
45,臺北市,中山區,中山北路二段、民生西路,7,0,9
46,臺北市,中山區,民權東路三段、龍江路,6,1,8
47,新北市,汐止區,新台五路一段、連興街,7,1,6
48,新北市,永和區,永和路二段、文化路,6,0,10
49,新北市,三重區,集賢路、五華街,6,0,10
50,臺北市,中山區,民權東路一段、林森北路,6,0,10
51,臺北市,萬華區,中華路一段、開封街二段,6,0,10
52,桃園市,龍潭區,中正路、北龍路,6,0,10
53,臺中市,沙鹿區,臺灣大道六段、正英路,6,0,10
54,桃園市,桃園區,中山路、民族路,7,0,8
55,臺北市,中正區,館前路、開封街一段,7,0,8
56,臺北市,大安區,仁愛路三段、建國南路一段,7,0,8
57,臺北市,中正區,忠孝西路一段、館前路,7,0,8
58,桃園市,桃園區,大同路、重慶街,7,0,8
59,臺中市,北屯區,文心路四段、熱河路二段,7,0,8
60,臺北市,中山區,民權東路二段、中原街,7,0,8
