city,population,death,rate
南投縣,491743,65,13.218
嘉義市,266442,19,7.131
嘉義縣,500316,98,19.588
基隆市,368020,18,4.891
宜蘭縣,453452,65,14.334
屏東縣,814210,157,19.282
彰化縣,1267988,165,13.013
新北市,4029205,168,4.17
新竹市,450617,39,8.655
新竹縣,569199,61,10.717
桃園市,2264231,191,8.436
澎湖縣,105794,8,7.562
臺中市,2816779,244,8.662
臺北市,2610762,75,2.873
臺南市,1876364,226,12.045
臺東縣,215483,46,21.347
花蓮縣,324804,57,17.549
苗栗縣,543513,70,12.879
連江縣,13132,0,0
金門縣,140329,4,2.85
雲林縣,678064,127,18.73
高雄市,2767931,264,9.538
