city,population,death,rate
南投縣,505660,77,15.228
嘉義市,269804,12,4.448
嘉義縣,516218,88,17.047
基隆市,372048,18,4.838
宜蘭縣,457599,57,12.456
屏東縣,836699,183,21.872
彰化縣,1287450,167,12.971
新北市,3976313,214,5.382
新竹市,436490,25,5.728
新竹縣,546672,69,12.622
桃園市,2140392,155,7.242
澎湖縣,102992,10,9.709
臺中市,2762699,210,7.601
臺北市,2696319,126,4.673
臺南市,1885603,229,12.145
臺東縣,221098,32,14.473
花蓮縣,331065,58,17.519
苗栗縣,559886,81,14.467
連江縣,12598,1,7.938
金門縣,134687,3,2.227
雲林縣,695628,130,18.688
高雄市,2778375,285,10.258
