city,population,death,rate
南投縣,507210,44,8.675
嘉義市,270254,9,3.33
嘉義縣,517339,53,10.245
基隆市,371837,12,3.227
宜蘭縣,457808,32,6.99
屏東縣,838584,127,15.145
彰化縣,1288803,89,6.906
新北市,3972204,134,3.373
新竹市,435238,17,3.906
新竹縣,544624,36,6.61
桃園市,2124339,82,3.86
澎湖縣,102329,7,6.841
臺中市,2754191,133,4.829
臺北市,2702925,77,2.849
臺南市,1885388,135,7.16
臺東縣,221504,20,9.029
花蓮縣,331372,41,12.373
苗栗縣,561495,45,8.014
連江縣,12536,1,7.977
金門縣,133185,1,0.751
雲林縣,697105,87,12.48
高雄市,2778092,189,6.803
