city,population,death,rate
南投縣,496435,13,2.619
嘉義市,268543,4,1.49
嘉義縣,506206,17,3.358
基隆市,369916,14,3.785
宜蘭縣,454922,16,3.517
屏東縣,823952,26,3.156
彰化縣,1276766,36,2.82
新北市,3998358,40,1
新竹市,446210,12,2.689
新竹縣,557641,11,1.973
桃園市,2225621,39,1.752
澎湖縣,104533,2,1.913
臺中市,2807325,53,1.888
臺北市,2664983,26,0.976
臺南市,1883448,49,2.602
臺東縣,218513,10,4.576
花蓮縣,327654,8,2.442
苗栗縣,548124,19,3.466
連江縣,13073,0,0
金門縣,139426,1,0.717
雲林縣,684759,34,4.965
高雄市,2773596,61,2.199
