city,population,death,rate
南投縣,488689,36,7.367
嘉義市,265234,4,1.508
嘉義縣,497172,54,10.861
基隆市,366643,9,2.455
宜蘭縣,452334,52,11.496
屏東縣,809130,80,9.887
彰化縣,1261770,84,6.657
新北市,4026019,107,2.658
新竹市,452450,15,3.315
新竹縣,572872,34,5.935
桃園市,2270939,99,4.359
澎湖縣,105749,5,4.728
臺中市,2820114,125,4.432
臺北市,2574704,57,2.214
臺南市,1870343,139,7.432
臺東縣,214428,22,10.26
花蓮縣,323252,27,8.353
苗栗縣,540917,58,10.723
連江縣,13437,0,0
金門縣,140228,1,0.713
雲林縣,674152,70,10.383
高雄市,2758494,157,5.692
