city,population,death,rate
南投縣,480890,38,7.902
嘉義市,262659,15,5.711
嘉義縣,489814,65,13.27
基隆市,361082,17,4.708
宜蘭縣,448971,51,11.359
屏東縣,800138,126,15.747
彰化縣,1246924,139,11.147
新北市,3974683,179,4.504
新竹市,450655,30,6.657
新竹縣,577026,57,9.878
桃園市,2266824,145,6.397
澎湖縣,106221,6,5.649
臺中市,2800981,167,5.962
臺北市,2462482,52,2.112
臺南市,1850735,183,9.888
臺東縣,212891,31,14.561
花蓮縣,319095,41,12.849
苗栗縣,535221,44,8.221
連江縣,13889,0,0
金門縣,140229,3,2.139
雲林縣,665750,90,13.519
高雄市,2722904,211,7.749
