city,population,death,rate
南投縣,513092,20,3.898
嘉義市,270867,4,1.477
嘉義縣,523162,35,6.69
基隆市,372969,8,2.145
宜蘭縣,458370,23,5.018
屏東縣,845779,42,4.966
彰化縣,1290495,46,3.565
新北市,3965649,62,1.563
新竹市,432456,9,2.081
新竹縣,538071,21,3.903
桃園市,2072736,46,2.219
澎湖縣,101856,3,2.945
臺中市,2725497,82,3.009
臺北市,2705958,34,1.256
臺南市,1885106,69,3.66
臺東縣,223831,11,4.914
花蓮縣,332837,21,6.309
苗栗縣,566585,21,3.706
連江縣,12504,0,0
金門縣,128924,2,1.551
雲林縣,703407,33,4.691
高雄市,2779136,80,2.879
