city,population,death,rate
南投縣,514894,92,17.868
嘉義市,270779,17,6.278
嘉義縣,525775,94,17.878
基隆市,373463,26,6.962
宜蘭縣,458799,68,14.821
屏東縣,849113,179,21.081
彰化縣,1292098,205,15.866
新北市,3962920,184,4.643
新竹市,431336,45,10.433
新竹縣,536539,75,13.978
桃園市,2055259,177,8.612
澎湖縣,101548,10,9.848
臺中市,2714642,257,9.467
臺北市,2697644,106,3.929
臺南市,1883562,245,13.007
臺東縣,224807,38,16.903
花蓮縣,333413,77,23.094
苗栗縣,567044,77,13.579
連江縣,12512,0,0
金門縣,126562,4,3.161
雲林縣,706634,131,18.539
高雄市,2777773,327,11.772
