city,population,death,rate
南投縣,515564,59,11.444
嘉義市,270818,12,4.431
嘉義縣,526735,60,11.391
基隆市,373702,22,5.887
宜蘭縣,458786,51,11.116
屏東縣,850166,115,13.527
彰化縣,1293129,140,10.826
新北市,3957965,126,3.183
新竹市,430295,26,6.042
新竹縣,534493,55,10.29
桃園市,2050600,131,6.388
澎湖縣,101176,4,3.954
臺中市,2709764,170,6.274
臺北市,2695027,68,2.523
臺南市,1882946,165,8.763
臺東縣,225170,32,14.211
花蓮縣,333707,51,15.283
苗栗縣,566704,53,9.352
連江縣,12461,0,0
金門縣,124616,3,2.407
雲林縣,707199,88,12.443
高雄市,2777240,216,7.778
