city,population,death,rate
南投縣,507421,40,7.883
嘉義市,270295,7,2.59
嘉義縣,517698,44,8.499
基隆市,371878,10,2.689
宜蘭縣,457811,27,5.898
屏東縣,839001,103,12.277
彰化縣,1288776,80,6.207
新北市,3972003,119,2.996
新竹市,434955,13,2.989
新竹縣,544198,24,4.41
桃園市,2120838,67,3.159
澎湖縣,102396,5,4.883
臺中市,2752413,112,4.069
臺北市,2702930,65,2.405
臺南市,1885199,117,6.206
臺東縣,221633,12,5.414
花蓮縣,331379,35,10.562
苗栗縣,561755,36,6.408
連江縣,12518,1,7.988
金門縣,133150,1,0.751
雲林縣,697318,75,10.755
高雄市,2777784,154,5.544
