city,population,death,rate
南投縣,511518,49,9.579
嘉義市,270896,8,2.953
嘉義縣,521591,57,10.928
基隆市,372787,14,3.755
宜蘭縣,458313,43,9.382
屏東縣,843981,114,13.507
彰化縣,1289274,92,7.136
新北市,3966052,107,2.698
新竹市,432860,17,3.927
新竹縣,539173,36,6.677
桃園市,2086081,101,4.842
澎湖縣,101753,6,5.897
臺中市,2731500,132,4.833
臺北市,2706030,60,2.217
臺南市,1885376,133,7.054
臺東縣,223189,15,6.721
花蓮縣,332424,37,11.13
苗栗縣,565704,41,7.248
連江縣,12496,0,0
金門縣,129831,6,4.621
雲林縣,701898,91,12.965
高雄市,2778835,180,6.478
