city,population,death,rate
南投縣,493138,28,5.678
嘉義市,267432,9,3.365
嘉義縣,501774,45,8.968
基隆市,368850,6,1.627
宜蘭縣,453915,31,6.829
屏東縣,816636,69,8.449
彰化縣,1270521,58,4.565
新北市,4024539,81,2.013
新竹市,449593,19,4.226
新竹縣,565851,30,5.302
桃園市,2255753,90,3.99
澎湖縣,105070,1,0.952
臺中市,2816741,122,4.331
臺北市,2631083,31,1.178
臺南市,1878845,99,5.269
臺東縣,216164,25,11.565
花蓮縣,325582,23,7.064
苗栗縣,544548,28,5.142
連江縣,13045,0,0
金門縣,139804,3,2.146
雲林縣,679635,58,8.534
高雄市,2773401,122,4.399
