city,population,death,rate
南投縣,498851,46,9.221
嘉義市,268973,8,2.974
嘉義縣,508729,68,13.367
基隆市,370612,18,4.857
宜蘭縣,455924,47,10.309
屏東縣,828083,128,15.457
彰化縣,1278945,126,9.852
新北市,3988906,137,3.435
新竹市,443581,22,4.96
新竹縣,555074,41,7.386
桃園市,2208035,138,6.25
澎湖縣,104041,6,5.767
臺中市,2796081,145,5.186
臺北市,2674063,71,2.655
臺南市,1884596,166,8.808
臺東縣,219584,30,13.662
花蓮縣,328709,36,10.952
苗栗縣,550825,51,9.259
連江縣,13076,0,0
金門縣,137952,4,2.9
雲林縣,688559,106,15.394
高雄市,2773506,147,5.3
