city,population,death,rate
南投縣,496606,9,1.812
嘉義市,268579,1,0.372
嘉義縣,506559,10,1.974
基隆市,369987,7,1.892
宜蘭縣,455035,9,1.978
屏東縣,824587,15,1.819
彰化縣,1277176,21,1.644
新北市,3997189,27,0.675
新竹市,445990,5,1.121
新竹縣,557349,5,0.897
桃園市,2223733,25,1.124
澎湖縣,104511,2,1.914
臺中市,2806406,30,1.069
臺北市,2666908,17,0.637
臺南市,1883723,31,1.646
臺東縣,218691,3,1.372
花蓮縣,327788,7,2.136
苗栗縣,548403,10,1.823
連江縣,13079,0,0
金門縣,139484,1,0.717
雲林縣,685354,22,3.21
高雄市,2773607,31,1.118
