city,population,death,rate
南投縣,494112,88,17.81
嘉義市,267690,23,8.592
嘉義縣,503113,119,23.653
基隆市,368893,25,6.777
宜蘭縣,454178,83,18.275
屏東縣,819184,175,21.363
彰化縣,1272802,221,17.363
新北市,4018696,225,5.599
新竹市,448803,52,11.586
新竹縣,563933,81,14.363
桃園市,2249037,249,11.071
澎湖縣,105207,9,8.555
臺中市,2815261,270,9.591
臺北市,2645041,131,4.953
臺南市,1880906,294,15.631
臺東縣,216781,62,28.6
花蓮縣,326247,49,15.019
苗栗縣,545459,86,15.767
連江縣,13089,3,22.92
金門縣,140185,5,3.567
雲林縣,681306,162,23.778
高雄市,2773198,351,12.657
