area,population,death,rate
南投縣南投市,101456,5,4.928
南投縣埔里鎮,82036,6,7.314
南投縣草屯鎮,98682,6,6.08
南投縣竹山鎮,55845,3,5.372
南投縣集集鎮,11153,0,0
南投縣名間鄉,39416,2,5.074
南投縣鹿谷鄉,18116,1,5.52
南投縣中寮鄉,15248,0,0
南投縣魚池鄉,16280,4,24.57
南投縣國姓鄉,19229,3,15.601
南投縣水里鄉,18209,2,10.984
南投縣信義鄉,16457,0,0
南投縣仁愛鄉,15725,1,6.359
嘉義市東區,122950,0,0
嘉義市西區,147513,5,3.39
嘉義縣太保市,37269,3,8.05
嘉義縣中埔鄉,45544,3,6.587
嘉義縣番路鄉,11802,1,8.473
嘉義縣水上鄉,50228,9,17.918
嘉義縣東石鄉,25567,1,3.911
嘉義縣朴子市,42870,0,0
嘉義縣大林鎮,31596,1,3.165
嘉義縣民雄鄉,71918,3,4.171
嘉義縣溪口鄉,15026,0,0
嘉義縣新港鄉,32667,2,6.122
嘉義縣六腳鄉,24063,2,8.312
嘉義縣義竹鄉,19095,0,0
嘉義縣鹿草鄉,15978,3,18.776
嘉義縣竹崎鄉,36432,1,2.745
嘉義縣梅山鄉,19922,1,5.02
嘉義縣大埔鄉,4596,0,0
嘉義縣阿里山鄉,5684,0,0
嘉義縣布袋鎮,27769,1,3.601
基隆市暖暖區,38466,1,2.6
基隆市七堵區,54134,1,1.847
基隆市仁愛區,45504,1,2.198
基隆市信義區,51653,1,1.936
基隆市中正區,52693,1,1.898
基隆市中山區,48251,1,2.072
基隆市安樂區,81336,1,1.229
宜蘭縣蘇澳鎮,40603,2,4.926
宜蘭縣五結鄉,39606,2,5.05
宜蘭縣宜蘭市,96079,2,2.082
宜蘭縣壯圍鄉,24252,1,4.123
宜蘭縣羅東鎮,72501,1,1.379
宜蘭縣員山鄉,32246,3,9.303
宜蘭縣冬山鄉,53430,4,7.486
宜蘭縣三星鄉,21428,3,14
宜蘭縣大同鄉,6063,0,0
宜蘭縣頭城鎮,29752,1,3.361
宜蘭縣南澳鄉,6014,2,33.256
宜蘭縣礁溪鄉,35841,2,5.58
屏東縣佳冬鄉,19793,3,15.157
屏東縣竹田鄉,17483,2,11.44
屏東縣萬丹鄉,51471,8,15.543
屏東縣屏東市,202347,13,6.425
屏東縣潮州鎮,54754,5,9.132
屏東縣長治鄉,30232,8,26.462
屏東縣麟洛鄉,11212,2,17.838
屏東縣九如鄉,22087,1,4.528
屏東縣里港鄉,27093,0,0
屏東縣鹽埔鄉,26312,2,7.601
屏東縣高樹鄉,25022,1,3.996
屏東縣萬巒鄉,20726,2,9.65
屏東縣內埔鄉,55481,1,1.802
屏東縣新埤鄉,10015,3,29.955
屏東縣崁頂鄉,16026,4,24.959
屏東縣南州鄉,10862,1,9.206
屏東縣琉球鄉,12423,0,0
屏東縣三地門鄉,7698,0,0
屏東縣霧臺鄉,3313,0,0
屏東縣瑪家鄉,6757,1,14.799
屏東縣泰武鄉,5204,0,0
屏東縣來義鄉,7556,0,0
屏東縣春日鄉,4802,0,0
屏東縣獅子鄉,4816,2,41.528
屏東縣東港鎮,48233,3,6.22
屏東縣恆春鎮,30812,3,9.736
屏東縣枋寮鄉,25020,4,15.987
屏東縣新園鄉,35998,6,16.668
屏東縣林邊鄉,18601,1,5.376
屏東縣車城鄉,8848,2,22.604
屏東縣滿州鄉,7948,0,0
屏東縣枋山鄉,5600,4,71.429
屏東縣牡丹鄉,4794,0,0
彰化縣社頭鄉,43457,1,2.301
彰化縣員林市,125099,4,3.197
彰化縣田中鎮,42359,0,0
彰化縣彰化市,235157,7,2.977
彰化縣和美鎮,91169,1,1.097
彰化縣線西鄉,17003,5,29.407
彰化縣伸港鄉,36547,2,5.472
彰化縣秀水鄉,39362,0,0
彰化縣花壇鄉,46028,3,6.518
彰化縣芬園鄉,23962,0,0
彰化縣溪湖鎮,55756,3,5.381
彰化縣大村鄉,36610,1,2.731
彰化縣埔鹽鄉,32881,2,6.083
彰化縣埔心鄉,34721,2,5.76
彰化縣永靖鄉,37952,1,2.635
彰化縣二水鄉,15592,0,0
彰化縣二林鎮,51814,5,9.65
彰化縣埤頭鄉,30843,3,9.727
彰化縣芳苑鄉,34166,4,11.708
彰化縣大城鄉,17439,2,11.469
彰化縣竹塘鄉,15570,1,6.423
彰化縣溪州鄉,30502,2,6.557
彰化縣鹿港鎮,86543,4,4.622
彰化縣福興鄉,47559,8,16.821
彰化縣北斗鎮,33245,1,3.008
彰化縣田尾鄉,27587,0,0
新北市永和區,225256,5,2.22
新北市新店區,300007,4,1.333
新北市土城區,238606,7,2.934
新北市蘆洲區,200109,2,0.999
新北市五股區,83157,4,4.81
新北市坪林區,6502,0,0
新北市平溪區,4824,0,0
新北市烏來區,6176,0,0
新北市淡水區,163141,5,3.065
新北市瑞芳區,40820,4,9.799
新北市林口區,101280,2,1.975
新北市三芝區,23395,2,8.549
新北市八里區,37686,2,5.307
新北市三峽區,113146,3,2.651
新北市鶯歌區,87669,7,7.985
新北市中和區,413876,2,0.483
新北市樹林區,184245,4,2.171
新北市深坑區,23589,0,0
新北市板橋區,553595,13,2.348
新北市石碇區,7808,4,51.23
新北市新莊區,413592,11,2.66
新北市泰山區,78861,5,6.34
新北市三重區,388153,10,2.576
新北市雙溪區,9186,0,0
新北市貢寮區,12790,2,15.637
新北市汐止區,196208,4,2.039
新北市萬里區,22512,0,0
新北市金山區,22221,1,4.5
新北市石門區,12590,0,0
新竹市北區,149343,2,1.339
新竹市香山區,77016,2,2.597
新竹市東區,208315,8,3.84
新竹縣峨眉鄉,5630,0,0
新竹縣竹東鎮,96696,3,3.103
新竹縣新埔鎮,34020,0,0
新竹縣關西鎮,29723,2,6.729
新竹縣湖口鄉,77336,3,3.879
新竹縣芎林鄉,20216,2,9.893
新竹縣橫山鄉,13452,2,14.868
新竹縣北埔鄉,9624,0,0
新竹縣寶山鄉,14281,1,7.002
新竹縣尖石鄉,9311,0,0
新竹縣五峰鄉,4570,0,0
新竹縣竹北市,172490,4,2.319
新竹縣新豐鄉,56251,2,3.555
桃園市蘆竹區,156193,7,4.482
桃園市龜山區,146292,5,3.418
桃園市龍潭區,119054,0,0
桃園市復興區,10995,0,0
桃園市觀音區,65048,2,3.075
桃園市桃園區,429816,3,0.698
桃園市大園區,85870,1,1.165
桃園市新屋區,48642,1,2.056
桃園市楊梅區,161816,8,4.944
桃園市大溪區,93635,7,7.476
桃園市八德區,189057,9,4.76
桃園市中壢區,391541,9,2.299
桃園市平鎮區,219029,4,1.826
澎湖縣馬公市,61111,2,3.273
澎湖縣湖西鄉,14379,0,0
澎湖縣白沙鄉,9680,0,0
澎湖縣西嶼鄉,8372,1,11.945
澎湖縣望安鄉,5095,0,0
澎湖縣七美鄉,3732,0,0
臺中市南屯區,165082,3,1.817
臺中市烏日區,72863,3,4.117
臺中市新社區,25036,4,15.977
臺中市石岡區,15278,1,6.545
臺中市外埔區,31854,1,3.139
臺中市大肚區,56837,1,1.759
臺中市霧峰區,64696,5,7.728
臺中市太平區,184649,3,1.625
臺中市大里區,209092,2,0.957
臺中市和平區,10703,0,0
臺中市中區,18945,0,0
臺中市東區,75149,3,3.992
臺中市南區,122270,2,1.636
臺中市大甲區,77822,7,8.995
臺中市大安區,19469,1,5.136
臺中市龍井區,76696,2,2.608
臺中市西區,115765,5,4.319
臺中市北區,147616,2,1.355
臺中市西屯區,222516,10,4.494
臺中市北屯區,266451,5,1.877
臺中市豐原區,166768,1,0.6
臺中市東勢區,51191,3,5.86
臺中市沙鹿區,90209,4,4.434
臺中市后里區,54226,0,0
臺中市神岡區,65180,2,3.068
臺中市潭子區,106702,4,3.749
臺中市大雅區,93785,2,2.133
臺中市清水區,86206,7,8.12
臺中市梧棲區,57266,2,3.492
臺北市大安區,312993,5,1.597
臺北市文山區,275631,2,0.726
臺北市信義區,228608,1,0.437
臺北市萬華區,194100,2,1.03
臺北市中正區,162334,4,2.464
臺北市南港區,122223,1,0.818
臺北市松山區,209638,2,0.954
臺北市大同區,130833,1,0.764
臺北市中山區,231116,8,3.461
臺北市內湖區,287753,3,1.043
臺北市士林區,290757,18,6.191
臺北市北投區,257843,4,1.551
臺南市新營區,78245,6,7.668
臺南市鹽水區,26010,1,3.845
臺南市白河區,29129,6,20.598
臺南市柳營區,21544,6,27.85
臺南市後壁區,24234,3,12.379
臺南市東山區,21517,0,0
臺南市麻豆區,44924,2,4.452
臺南市下營區,24666,5,20.271
臺南市六甲區,22543,0,0
臺南市官田區,21570,2,9.272
臺南市大內區,9991,0,0
臺南市佳里區,59579,2,3.357
臺南市學甲區,26538,5,18.841
臺南市西港區,24868,2,8.042
臺南市新化區,43846,1,2.281
臺南市新市區,35978,4,11.118
臺南市安定區,30385,3,9.873
臺南市玉井區,14355,2,13.932
臺南市楠西區,9973,1,10.027
臺南市南化區,8859,0,0
臺南市左鎮區,5048,1,19.81
臺南市仁德區,74126,0,0
臺南市歸仁區,67986,6,8.825
臺南市關廟區,34669,2,5.769
臺南市龍崎區,4165,0,0
臺南市永康區,231191,5,2.163
臺南市北區,132799,7,5.271
臺南市七股區,23313,1,4.289
臺南市將軍區,20201,6,29.701
臺南市北門區,11445,0,0
臺南市安南區,190024,8,4.21
臺南市南區,125661,2,1.592
臺南市東區,188470,2,1.061
臺南市安平區,65508,2,3.053
臺南市中西區,77351,2,2.586
臺南市善化區,47150,5,10.604
臺南市山上區,7391,0,0
臺東縣成功鎮,14555,2,13.741
臺東縣綠島鄉,3752,0,0
臺東縣蘭嶼鄉,5035,0,0
臺東縣鹿野鄉,8047,0,0
臺東縣池上鄉,8463,0,0
臺東縣延平鄉,3535,0,0
臺東縣金峰鄉,3582,0,0
臺東縣臺東市,106697,0,0
