area,population,death,rate
南投縣南投市,101930,8,7.849
南投縣埔里鎮,82448,12,14.555
南投縣草屯鎮,98817,12,12.144
南投縣竹山鎮,56176,13,23.142
南投縣集集鎮,11262,1,8.879
南投縣名間鄉,39773,6,15.086
南投縣鹿谷鄉,18323,3,16.373
南投縣中寮鄉,15412,3,19.465
南投縣魚池鄉,16365,1,6.111
南投縣國姓鄉,19451,1,5.141
南投縣水里鄉,18449,4,21.681
南投縣信義鄉,16531,5,30.246
南投縣仁愛鄉,15695,3,19.114
嘉義市東區,123093,7,5.687
嘉義市西區,147563,6,4.066
嘉義縣太保市,37114,6,16.166
嘉義縣中埔鄉,45828,10,21.821
嘉義縣番路鄉,11931,3,25.145
嘉義縣水上鄉,50495,5,9.902
嘉義縣東石鄉,25827,4,15.488
嘉義縣朴子市,43026,6,13.945
嘉義縣大林鎮,31831,6,18.85
嘉義縣民雄鄉,71930,5,6.951
嘉義縣溪口鄉,15170,2,13.184
嘉義縣新港鄉,32917,3,9.114
嘉義縣六腳鄉,24264,4,16.485
嘉義縣義竹鄉,19313,7,36.245
嘉義縣鹿草鄉,16166,3,18.557
嘉義縣竹崎鄉,36667,3,8.182
嘉義縣梅山鄉,20081,3,14.939
嘉義縣大埔鄉,4602,0,0
嘉義縣阿里山鄉,5712,0,0
嘉義縣布袋鎮,28036,2,7.134
基隆市暖暖區,38373,4,10.424
基隆市七堵區,54062,5,9.249
基隆市仁愛區,45896,4,8.715
基隆市信義區,51480,3,5.828
基隆市中正區,52861,3,5.675
基隆市中山區,48418,1,2.065
基隆市安樂區,81514,2,2.454
宜蘭縣蘇澳鎮,40835,7,17.142
宜蘭縣五結鄉,39466,7,17.737
宜蘭縣宜蘭市,96011,7,7.291
宜蘭縣壯圍鄉,24295,4,16.464
宜蘭縣羅東鎮,72616,8,11.017
宜蘭縣員山鄉,32323,3,9.281
宜蘭縣冬山鄉,53530,6,11.209
宜蘭縣三星鄉,21457,1,4.66
宜蘭縣大同鄉,6086,1,16.431
宜蘭縣頭城鎮,29833,7,23.464
宜蘭縣南澳鄉,6040,1,16.556
宜蘭縣礁溪鄉,35883,3,8.361
屏東縣佳冬鄉,20026,4,19.974
屏東縣竹田鄉,17608,3,17.038
屏東縣萬丹鄉,51825,13,25.084
屏東縣屏東市,202950,20,9.855
屏東縣潮州鎮,54787,2,3.651
屏東縣長治鄉,30342,11,36.253
屏東縣麟洛鄉,11240,1,8.897
屏東縣九如鄉,22099,6,27.151
屏東縣里港鄉,26928,7,25.995
屏東縣鹽埔鄉,26440,12,45.386
屏東縣高樹鄉,25221,7,27.755
屏東縣萬巒鄉,20797,5,24.042
屏東縣內埔鄉,55822,11,19.705
屏東縣新埤鄉,10065,4,39.742
屏東縣崁頂鄉,16182,2,12.359
屏東縣南州鄉,10907,2,18.337
屏東縣琉球鄉,12503,0,0
屏東縣三地門鄉,7702,1,12.984
屏東縣霧臺鄉,3344,0,0
屏東縣瑪家鄉,6740,0,0
屏東縣泰武鄉,5223,0,0
屏東縣來義鄉,7548,0,0
屏東縣春日鄉,4807,0,0
屏東縣獅子鄉,4822,1,20.738
屏東縣東港鎮,48079,7,14.559
屏東縣恆春鎮,30889,12,38.849
屏東縣枋寮鄉,25247,5,19.804
屏東縣新園鄉,36328,5,13.763
屏東縣林邊鄉,19014,2,10.519
屏東縣車城鄉,8986,3,33.385
屏東縣滿州鄉,8055,2,24.829
屏東縣枋山鄉,5664,2,35.311
屏東縣牡丹鄉,4786,0,0
彰化縣社頭鄉,43504,7,16.09
彰化縣員林市,124706,12,9.623
彰化縣田中鎮,42569,4,9.397
彰化縣彰化市,234799,12,5.111
彰化縣和美鎮,90934,9,9.897
彰化縣線西鄉,17017,1,5.876
彰化縣伸港鄉,36339,5,13.759
彰化縣秀水鄉,39318,0,0
彰化縣花壇鄉,45884,6,13.076
彰化縣芬園鄉,24040,2,8.319
彰化縣溪湖鎮,55710,5,8.975
彰化縣大村鄉,36446,6,16.463
彰化縣埔鹽鄉,32986,1,3.032
彰化縣埔心鄉,34850,3,8.608
彰化縣永靖鄉,38046,3,7.885
彰化縣二水鄉,15660,3,19.157
彰化縣二林鎮,51954,8,15.398
彰化縣埤頭鄉,30877,3,9.716
彰化縣芳苑鄉,34399,0,0
彰化縣大城鄉,17565,3,17.079
彰化縣竹塘鄉,15663,2,12.769
彰化縣溪州鄉,30568,9,29.443
彰化縣鹿港鎮,86318,6,6.951
彰化縣福興鄉,47604,7,14.705
彰化縣北斗鎮,33163,1,3.015
彰化縣田尾鄉,27610,3,10.866
新北市永和區,225972,5,2.213
新北市新店區,299891,3,1
新北市土城區,238607,10,4.191
新北市蘆洲區,199814,4,2.002
新北市五股區,82680,8,9.676
新北市坪林區,6481,3,46.289
新北市平溪區,4895,2,40.858
新北市烏來區,6146,1,16.271
新北市淡水區,160990,9,5.59
新北市瑞芳區,40982,1,2.44
新北市林口區,99462,2,2.011
新北市三芝區,23454,2,8.527
新北市八里區,37400,4,10.695
新北市三峽區,112170,7,6.241
新北市鶯歌區,88268,3,3.399
新北市中和區,414501,10,2.413
新北市樹林區,184065,8,4.346
新北市深坑區,23544,0,0
新北市板橋區,554545,15,2.705
新北市石碇區,7825,0,0
新北市新莊區,412497,9,2.182
新北市泰山區,78625,7,8.903
新北市三重區,388387,12,3.09
新北市雙溪區,9291,2,21.526
新北市貢寮區,12879,4,31.058
新北市汐止區,195672,4,2.044
新北市萬里區,22645,1,4.416
新北市金山區,22200,2,9.009
新北市石門區,12645,1,7.908
新竹市北區,148983,7,4.699
新竹市香山區,76592,5,6.528
新竹市東區,207516,10,4.819
新竹縣峨眉鄉,5662,2,35.323
新竹縣竹東鎮,96045,7,7.288
新竹縣新埔鎮,34181,5,14.628
新竹縣關西鎮,30120,5,16.6
新竹縣湖口鄉,77166,4,5.184
新竹縣芎林鄉,20291,4,19.713
新竹縣橫山鄉,13582,5,36.813
新竹縣北埔鄉,9693,1,10.317
新竹縣寶山鄉,14337,1,6.975
新竹縣尖石鄉,9308,0,0
新竹縣五峰鄉,4615,0,0
新竹縣竹北市,169095,6,3.548
新竹縣新豐鄉,56098,6,10.696
桃園市蘆竹區,154310,6,3.888
桃園市龜山區,144543,8,5.535
桃園市龍潭區,117863,12,10.181
桃園市復興區,10910,0,0
桃園市觀音區,64376,7,10.874
桃園市桃園區,424852,11,2.589
桃園市大園區,85184,13,15.261
桃園市新屋區,48330,5,10.346
桃園市楊梅區,159968,5,3.126
桃園市大溪區,93012,12,12.902
桃園市八德區,185665,13,7.002
桃園市中壢區,387558,15,3.87
桃園市平鎮區,216406,16,7.394
澎湖縣馬公市,60372,5,8.282
澎湖縣湖西鄉,14370,0,0
澎湖縣白沙鄉,9719,0,0
澎湖縣西嶼鄉,8391,3,35.753
澎湖縣望安鄉,5106,0,0
澎湖縣七美鄉,3776,1,26.483
臺中市南屯區,163786,6,3.663
臺中市烏日區,72203,6,8.31
臺中市新社區,25146,3,11.93
臺中市石岡區,15323,1,6.526
臺中市外埔區,31787,3,9.438
臺中市大肚區,56519,5,8.847
臺中市霧峰區,64544,6,9.296
臺中市太平區,183316,7,3.819
臺中市大里區,207670,5,2.408
臺中市和平區,10714,0,0
臺中市中區,19158,2,10.44
臺中市東區,75040,11,14.659
臺中市南區,121371,2,1.648
臺中市大甲區,77737,15,19.296
臺中市大安區,19583,3,15.319
臺中市龍井區,76384,7,9.164
臺中市西區,115799,4,3.454
臺中市北區,147352,6,4.072
臺中市西屯區,221113,15,6.784
臺中市北屯區,263344,11,4.177
臺中市豐原區,166623,4,2.401
臺中市東勢區,51336,3,5.844
臺中市沙鹿區,89031,12,13.478
臺中市后里區,54210,6,11.068
臺中市神岡區,65116,6,9.214
臺中市潭子區,106171,5,4.709
臺中市大雅區,93386,4,4.283
臺中市清水區,86072,6,6.971
臺中市梧棲區,56979,8,14.04
臺北市大安區,313191,7,2.235
臺北市文山區,274841,6,2.183
臺北市信義區,229199,8,3.49
臺北市萬華區,194132,12,6.181
臺北市中正區,162673,11,6.762
臺北市南港區,121847,5,4.104
臺北市松山區,209856,1,0.477
臺北市大同區,130749,4,3.059
臺北市中山區,230592,8,3.469
臺北市內湖區,286588,6,2.094
臺北市士林區,290389,6,2.066
臺北市北投區,257514,11,4.272
臺南市新營區,78195,10,12.789
臺南市鹽水區,26202,1,3.817
臺南市白河區,29399,2,6.803
臺南市柳營區,21630,4,18.493
臺南市後壁區,24420,4,16.38
臺南市東山區,21679,3,13.838
臺南市麻豆區,44960,12,26.69
臺南市下營區,24918,4,16.053
臺南市六甲區,22644,3,13.249
臺南市官田區,21694,3,13.829
臺南市大內區,10115,2,19.773
臺南市佳里區,59657,6,10.057
臺南市學甲區,26729,4,14.965
臺南市西港區,24910,4,16.058
臺南市新化區,43761,10,22.851
臺南市新市區,35764,10,27.961
臺南市安定區,30304,5,16.499
臺南市玉井區,14386,1,6.951
臺南市楠西區,10063,2,19.875
臺南市南化區,8940,1,11.186
臺南市左鎮區,5089,1,19.65
臺南市仁德區,73557,6,8.157
臺南市歸仁區,67783,12,17.704
臺南市關廟區,34784,6,17.249
臺南市龍崎區,4228,1,23.652
臺南市永康區,230202,15,6.516
臺南市北區,132590,8,6.034
臺南市七股區,23437,6,25.601
臺南市將軍區,20378,3,14.722
臺南市北門區,11565,4,34.587
臺南市安南區,189103,19,10.047
臺南市南區,125838,5,3.973
臺南市東區,189031,4,2.116
臺南市安平區,65348,2,3.061
臺南市中西區,77556,6,7.736
臺南市善化區,46736,3,6.419
臺南市山上區,7484,1,13.362
臺東縣成功鎮,14749,1,6.78
臺東縣綠島鄉,3805,0,0
臺東縣蘭嶼鄉,5024,1,19.904
臺東縣鹿野鄉,8124,4,49.237
臺東縣池上鄉,8493,1,11.774
臺東縣延平鄉,3569,0,0
臺東縣金峰鄉,3611,0,0
臺東縣臺東市,106836,0,0
臺東縣卑南鄉,17575,0,0
臺東縣東河鄉,8885,2,22.51
臺東縣長濱鄉,7625,5,65.574
臺東縣太麻里鄉,11396,5,43.875
臺東縣達仁鄉,3602,0,0
臺東縣大武鄉,6380,0,0
臺東縣關山鎮,8974,3,33.43
臺東縣海端鄉,4319,0,0
花蓮縣鳳林鎮,11124,2,17.979
花蓮縣光復鄉,13277,1,7.532
花蓮縣瑞穗鄉,11951,4,33.47
花蓮縣富里鄉,10693,6,56.111
花蓮縣萬榮鄉,6451,0,0
花蓮縣吉安鄉,83030,7,8.431
花蓮縣壽豐鄉,18161,6,33.038
花蓮縣豐濱鄉,4569,0,0
花蓮縣秀林鄉,15532,6,38.63
花蓮縣玉里鎮,25132,2,7.958
花蓮縣卓溪鄉,6077,0,0
花蓮縣花蓮市,105914,7,6.609
花蓮縣新城鄉,20180,9,44.599
苗栗縣三灣鄉,7026,1,14.233
苗栗縣南庄鄉,10585,3,28.342
苗栗縣苗栗市,90729,2,2.204
苗栗縣卓蘭鎮,18157,4,22.03
苗栗縣大湖鄉,15350,2,13.029
苗栗縣公館鄉,34541,1,2.895
苗栗縣銅鑼鄉,18762,7,37.309
苗栗縣頭屋鄉,11259,2,17.764
苗栗縣三義鄉,17066,0,0
苗栗縣西湖鄉,7486,0,0
苗栗縣造橋鄉,13443,2,14.878
苗栗縣獅潭鄉,4634,1,21.58
苗栗縣泰安鄉,6067,0,0
苗栗縣苑裡鎮,47969,3,6.254
苗栗縣通霄鎮,36386,6,16.49
苗栗縣竹南鎮,84176,5,5.94
苗栗縣後龍鎮,38001,7,18.421
苗栗縣頭份市,103218,9,8.719
連江縣南竿鄉,7452,0,0
連江縣北竿鄉,2316,0,0
連江縣莒光鄉,1488,0,0
連江縣東引鄉,1268,0,0
金門縣金寧鄉,27950,3,10.733
金門縣烏坵鄉,665,0,0
金門縣金城鎮,42080,2,4.753
金門縣金沙鎮,19961,0,0
金門縣金湖鎮,28100,1,3.559
金門縣烈嶼鄉,12343,0,0
雲林縣麥寮鄉,44136,6,13.594
雲林縣斗六市,108317,16,14.771
雲林縣斗南鎮,45708,6,13.127
雲林縣虎尾鎮,70499,16,22.695
雲林縣西螺鎮,46962,8,17.035
雲林縣土庫鎮,29480,7,23.745
雲林縣北港鎮,41140,6,14.584
雲林縣古坑鄉,32410,4,12.342
雲林縣大埤鄉,19761,3,15.181
雲林縣莿桐鄉,29308,9,30.708
雲林縣林內鄉,18853,8,42.434
雲林縣二崙鄉,28048,4,14.261
雲林縣崙背鄉,25585,8,31.268
雲林縣東勢鄉,15507,7,45.141
雲林縣褒忠鄉,13370,2,14.959
雲林縣元長鄉,26946,4,14.845
雲林縣水林鄉,26634,4,15.018
雲林縣臺西鄉,24685,0,0
