area,population,death,rate
南投縣南投市,99120,11,11.098
南投縣埔里鎮,79280,13,16.398
南投縣草屯鎮,97534,19,19.48
南投縣竹山鎮,53491,9,16.825
南投縣集集鎮,10494,0,0
南投縣名間鄉,37563,5,13.311
南投縣鹿谷鄉,17251,2,11.594
南投縣中寮鄉,14330,1,6.978
南投縣魚池鄉,15476,6,38.77
南投縣國姓鄉,17992,2,11.116
南投縣水里鄉,17024,3,17.622
南投縣信義鄉,15874,3,18.899
南投縣仁愛鄉,15812,4,25.297
嘉義市東區,119745,6,5.011
嘉義市西區,146331,18,12.301
嘉義縣太保市,38516,14,36.349
嘉義縣中埔鄉,44176,8,18.109
嘉義縣番路鄉,11187,7,62.573
嘉義縣水上鄉,49051,5,10.193
嘉義縣東石鄉,23793,8,33.623
嘉義縣朴子市,41652,10,24.008
嘉義縣大林鎮,30416,9,29.59
嘉義縣民雄鄉,71336,12,16.822
嘉義縣溪口鄉,14071,2,14.214
嘉義縣新港鄉,31190,12,38.474
嘉義縣六腳鄉,22251,5,22.471
嘉義縣義竹鄉,17633,4,22.685
嘉義縣鹿草鄉,14928,9,60.289
嘉義縣竹崎鄉,34831,6,17.226
嘉義縣梅山鄉,18710,1,5.345
嘉義縣大埔鄉,4571,2,43.754
嘉義縣阿里山鄉,5535,2,36.134
嘉義縣布袋鎮,26034,5,19.206
基隆市暖暖區,38576,1,2.592
基隆市七堵區,53675,4,7.452
基隆市仁愛區,42810,3,7.008
基隆市信義區,53088,6,11.302
基隆市中正區,51272,2,3.901
基隆市中山區,46499,4,8.602
基隆市安樂區,81820,4,4.889
宜蘭縣蘇澳鎮,38897,7,17.996
宜蘭縣五結鄉,40275,7,17.381
宜蘭縣宜蘭市,95502,9,9.424
宜蘭縣壯圍鄉,24314,11,45.241
宜蘭縣羅東鎮,71508,4,5.594
宜蘭縣員山鄉,32279,1,3.098
宜蘭縣冬山鄉,53055,12,22.618
宜蘭縣三星鄉,21220,5,23.563
宜蘭縣大同鄉,6139,0,0
宜蘭縣頭城鎮,28837,6,20.807
宜蘭縣南澳鄉,5938,4,67.363
宜蘭縣礁溪鄉,35282,9,25.509
屏東縣佳冬鄉,18630,4,21.471
屏東縣竹田鄉,16635,3,18.034
屏東縣萬丹鄉,50166,15,29.901
屏東縣屏東市,197734,36,18.206
屏東縣潮州鎮,53851,9,16.713
屏東縣長治鄉,29478,13,44.101
屏東縣麟洛鄉,10760,7,65.056
屏東縣九如鄉,21979,2,9.1
屏東縣里港鄉,25677,6,23.367
屏東縣鹽埔鄉,25063,6,23.94
屏東縣高樹鄉,23800,2,8.403
屏東縣萬巒鄉,20197,8,39.61
屏東縣內埔鄉,53344,18,33.743
屏東縣新埤鄉,9590,4,41.71
屏東縣崁頂鄉,15377,5,32.516
屏東縣南州鄉,10370,4,38.573
屏東縣琉球鄉,12119,2,16.503
屏東縣三地門鄉,7686,0,0
屏東縣霧臺鄉,3255,0,0
屏東縣瑪家鄉,6757,1,14.799
屏東縣泰武鄉,5362,0,0
屏東縣來義鄉,7454,0,0
屏東縣春日鄉,4949,1,20.206
屏東縣獅子鄉,4850,0,0
屏東縣東港鎮,46753,8,17.111
屏東縣恆春鎮,30442,3,9.855
屏東縣枋寮鄉,23739,12,50.55
屏東縣新園鄉,33991,7,20.594
屏東縣林邊鄉,17303,1,5.779
屏東縣車城鄉,8281,4,48.303
屏東縣滿州鄉,7475,3,40.134
屏東縣枋山鄉,5242,6,114.46
屏東縣牡丹鄉,4867,0,0
彰化縣社頭鄉,42481,4,9.416
彰化縣員林市,124455,8,6.428
彰化縣田中鎮,40795,5,12.256
彰化縣彰化市,231391,23,9.94
彰化縣和美鎮,90155,8,8.874
彰化縣線西鄉,16666,6,36.001
彰化縣伸港鄉,37718,4,10.605
彰化縣秀水鄉,38908,6,15.421
彰化縣花壇鄉,45292,7,15.455
彰化縣芬園鄉,23243,3,12.907
彰化縣溪湖鎮,54874,6,10.934
彰化縣大村鄉,38142,4,10.487
彰化縣埔鹽鄉,31975,6,18.765
彰化縣埔心鄉,34524,3,8.69
彰化縣永靖鄉,36319,7,19.274
彰化縣二水鄉,14671,1,6.816
彰化縣二林鎮,49683,12,24.153
彰化縣埤頭鄉,30116,6,19.923
彰化縣芳苑鄉,32791,14,42.695
彰化縣大城鄉,16130,9,55.797
彰化縣竹塘鄉,14804,4,27.02
彰化縣溪州鄉,29157,11,37.727
彰化縣鹿港鎮,86536,13,15.023
彰化縣福興鄉,46457,10,21.525
彰化縣北斗鎮,33352,4,11.993
彰化縣田尾鄉,26704,7,26.213
新北市永和區,219395,4,1.823
新北市新店區,303622,11,3.623
新北市土城區,238165,10,4.199
新北市蘆洲區,202443,9,4.446
新北市五股區,89303,14,15.677
新北市坪林區,6698,4,59.719
新北市平溪區,4431,0,0
新北市烏來區,6403,1,15.618
新北市淡水區,182980,8,4.372
新北市瑞芳區,39133,5,12.777
新北市林口區,120735,6,4.97
新北市三芝區,22527,1,4.439
新北市八里區,39760,6,15.091
新北市三峽區,116969,8,6.839
新北市鶯歌區,87658,8,9.126
新北市中和區,411666,11,2.672
新北市樹林區,183468,8,4.36
新北市深坑區,23742,1,4.212
新北市板橋區,557149,32,5.744
新北市石碇區,7574,3,39.609
新北市新莊區,422442,20,4.734
新北市泰山區,78517,4,5.094
新北市三重區,385511,21,5.447
新北市雙溪區,8477,0,0
新北市貢寮區,11795,3,25.435
新北市汐止區,205655,10,4.863
新北市萬里區,21733,1,4.601
新北市金山區,21149,1,4.728
新北市石門區,11494,2,17.4
新竹市北區,152644,15,9.827
新竹市香山區,78753,15,19.047
新竹市東區,219636,16,7.285
新竹縣峨眉鄉,5406,1,18.498
新竹縣竹東鎮,97141,13,13.383
新竹縣新埔鎮,33046,4,12.104
新竹縣關西鎮,27794,6,21.587
新竹縣湖口鄉,78841,14,17.757
新竹縣芎林鄉,19885,4,20.116
新竹縣橫山鄉,12560,3,23.885
新竹縣北埔鄉,9044,2,22.114
新竹縣寶山鄉,14634,2,13.667
新竹縣尖石鄉,9627,2,20.775
新竹縣五峰鄉,4489,0,0
新竹縣竹北市,200137,16,7.995
新竹縣新豐鄉,57461,13,22.624
桃園市蘆竹區,166990,21,12.576
桃園市龜山區,164392,24,14.599
桃園市龍潭區,124364,18,14.474
桃園市復興區,12326,2,16.226
桃園市觀音區,68952,9,13.053
桃園市桃園區,456744,27,5.911
桃園市大園區,93714,20,21.342
桃園市新屋區,49320,11,22.303
桃園市楊梅區,174957,17,9.717
桃園市大溪區,95720,13,13.581
桃園市八德區,208930,21,10.051
桃園市中壢區,422081,38,9.003
桃園市平鎮區,228580,15,6.562
澎湖縣馬公市,63171,3,4.749
澎湖縣湖西鄉,15195,5,32.906
澎湖縣白沙鄉,9907,0,0
澎湖縣西嶼鄉,8351,1,11.975
澎湖縣望安鄉,5382,0,0
澎湖縣七美鄉,3901,0,0
臺中市南屯區,175720,11,6.26
臺中市烏日區,76352,13,17.026
臺中市新社區,24078,1,4.153
臺中市石岡區,14664,1,6.819
臺中市外埔區,31968,4,12.513
臺中市大肚區,56742,6,10.574
臺中市霧峰區,65152,10,15.349
臺中市太平區,194937,16,8.208
臺中市大里區,213071,17,7.979
臺中市和平區,10821,0,0
臺中市中區,18162,4,22.024
臺中市東區,75859,18,23.728
臺中市南區,126569,6,4.74
臺中市大甲區,76111,9,11.825
臺中市大安區,18891,4,21.174
臺中市龍井區,77992,9,11.54
臺中市西區,114608,6,5.235
臺中市北區,146611,5,3.41
臺中市西屯區,231173,26,11.247
臺中市北屯區,286584,21,7.328
臺中市豐原區,166076,9,5.419
臺中市東勢區,49208,11,22.354
臺中市沙鹿區,95165,19,19.965
臺中市后里區,54348,9,16.56
臺中市神岡區,65554,11,16.78
臺中市潭子區,109319,9,8.233
臺中市大雅區,95720,10,10.447
臺中市清水區,87962,18,20.463
臺中市梧棲區,59253,9,15.189
臺北市大安區,302859,9,2.972
臺北市文山區,268450,3,1.118
臺北市信義區,215662,7,3.246
臺北市萬華區,183344,11,6
臺北市中正區,155335,9,5.794
臺北市南港區,118934,7,5.886
臺北市松山區,200527,3,1.496
臺北市大同區,123937,11,8.875
臺北市中山區,224372,7,3.12
臺北市內湖區,282759,8,2.829
臺北市士林區,278894,13,4.661
臺北市北投區,250296,7,2.797
臺南市新營區,76332,10,13.101
臺南市鹽水區,25033,4,15.979
臺南市白河區,27294,7,25.647
臺南市柳營區,20860,9,43.145
臺南市後壁區,22783,4,17.557
臺南市東山區,20179,3,14.867
臺南市麻豆區,43722,14,32.02
臺南市下營區,23468,4,17.044
臺南市六甲區,21658,4,18.469
臺南市官田區,21249,4,18.824
臺南市大內區,9225,2,21.68
臺南市佳里區,58795,7,11.906
臺南市學甲區,25337,9,35.521
臺南市西港區,24514,7,28.555
臺南市新化區,43332,7,16.154
臺南市新市區,37660,8,21.243
臺南市安定區,30385,8,26.329
臺南市玉井區,13630,3,22.01
臺南市楠西區,9206,1,10.862
臺南市南化區,8416,1,11.882
臺南市左鎮區,4566,2,43.802
臺南市仁德區,76397,13,17.016
臺南市歸仁區,68181,9,13.2
臺南市關廟區,33927,6,17.685
臺南市龍崎區,3775,2,52.98
臺南市永康區,235368,29,12.321
臺南市北區,130224,7,5.375
臺南市七股區,22148,7,31.606
臺南市將軍區,19121,1,5.23
臺南市北門區,10628,3,28.227
臺南市安南區,195414,23,11.77
臺南市南區,123956,10,8.067
臺南市東區,185072,16,8.645
臺南市安平區,67235,14,20.822
臺南市中西區,78467,13,16.567
臺南市善化區,50685,9,17.757
臺南市山上區,7136,1,14.013
臺東縣成功鎮,13504,11,81.457
臺東縣綠島鄉,4021,0,0
臺東縣蘭嶼鄉,5217,3,57.504
臺東縣鹿野鄉,7614,2,26.267
臺東縣池上鄉,8092,2,24.716
臺東縣延平鄉,3545,0,0
臺東縣金峰鄉,3700,0,0
臺東縣臺東市,104797,24,22.901
臺東縣卑南鄉,16998,4,23.532
臺東縣東河鄉,8229,4,48.609
臺東縣長濱鄉,6944,3,43.203
臺東縣太麻里鄉,10923,3,27.465
臺東縣達仁鄉,3477,1,28.76
臺東縣大武鄉,5748,1,17.397
臺東縣關山鎮,8437,2,23.705
臺東縣海端鄉,4105,1,24.361
花蓮縣鳳林鎮,10828,6,55.412
花蓮縣光復鄉,12394,5,40.342
花蓮縣瑞穗鄉,11315,4,35.351
花蓮縣富里鄉,10012,6,59.928
花蓮縣萬榮鄉,6233,1,16.044
