area,population,death,rate
南投縣南投市,102314,24,23.457
南投縣埔里鎮,83021,26,31.317
南投縣草屯鎮,99209,17,17.136
南投縣竹山鎮,56662,9,15.884
南投縣集集鎮,11390,7,61.457
南投縣名間鄉,40019,7,17.492
南投縣鹿谷鄉,18538,0,0
南投縣中寮鄉,15566,2,12.849
南投縣魚池鄉,16501,1,6.06
南投縣國姓鄉,19715,2,10.145
南投縣水里鄉,18717,7,37.399
南投縣信義鄉,16813,2,11.896
南投縣仁愛鄉,15850,4,25.237
嘉義市東區,123370,10,8.106
嘉義市西區,147513,9,6.101
嘉義縣太保市,37038,15,40.499
嘉義縣中埔鄉,46156,6,12.999
嘉義縣番路鄉,12089,2,16.544
嘉義縣水上鄉,50726,12,23.657
嘉義縣東石鄉,26235,8,30.494
嘉義縣朴子市,43250,4,9.249
嘉義縣大林鎮,32159,6,18.657
嘉義縣民雄鄉,71903,17,23.643
嘉義縣溪口鄉,15393,2,12.993
嘉義縣新港鄉,33186,12,36.16
嘉義縣六腳鄉,24613,5,20.314
嘉義縣義竹鄉,19578,7,35.754
嘉義縣鹿草鄉,16384,6,36.621
嘉義縣竹崎鄉,36924,6,16.25
嘉義縣梅山鄉,20304,1,4.925
嘉義縣大埔鄉,4658,0,0
嘉義縣阿里山鄉,5764,1,17.349
嘉義縣布袋鎮,28423,6,21.11
基隆市暖暖區,38188,5,13.093
基隆市七堵區,53974,5,9.264
基隆市仁愛區,46244,6,12.975
基隆市信義區,51264,2,3.901
基隆市中正區,53094,5,9.417
基隆市中山區,48733,6,12.312
基隆市安樂區,81580,6,7.355
宜蘭縣蘇澳鎮,41018,13,31.693
宜蘭縣五結鄉,39378,4,10.158
宜蘭縣宜蘭市,95885,14,14.601
宜蘭縣壯圍鄉,24492,4,16.332
宜蘭縣羅東鎮,72533,7,9.651
宜蘭縣員山鄉,32377,5,15.443
宜蘭縣冬山鄉,53482,13,24.307
宜蘭縣三星鄉,21503,11,51.156
宜蘭縣大同鄉,6127,0,0
宜蘭縣頭城鎮,29890,4,13.382
宜蘭縣南澳鄉,6147,2,32.536
宜蘭縣礁溪鄉,35945,9,25.038
屏東縣佳冬鄉,20247,5,24.695
屏東縣竹田鄉,17719,13,73.368
屏東縣萬丹鄉,52085,18,34.559
屏東縣屏東市,203866,27,13.244
屏東縣潮州鎮,54738,9,16.442
屏東縣長治鄉,30429,12,39.436
屏東縣麟洛鄉,11313,4,35.358
屏東縣九如鄉,22172,9,40.592
屏東縣里港鄉,26814,7,26.106
屏東縣鹽埔鄉,26629,10,37.553
屏東縣高樹鄉,25520,8,31.348
屏東縣萬巒鄉,20918,6,28.683
屏東縣內埔鄉,56148,9,16.029
屏東縣新埤鄉,10232,5,48.866
屏東縣崁頂鄉,16374,3,18.322
屏東縣南州鄉,11026,3,27.208
屏東縣琉球鄉,12675,1,7.89
屏東縣三地門鄉,7784,0,0
屏東縣霧臺鄉,3435,0,0
屏東縣瑪家鄉,6718,3,44.656
屏東縣泰武鄉,5289,0,0
屏東縣來義鄉,7648,1,13.075
屏東縣春日鄉,4866,1,20.551
屏東縣獅子鄉,4882,1,20.483
屏東縣東港鎮,48262,4,8.288
屏東縣恆春鎮,30859,11,35.646
屏東縣枋寮鄉,25482,14,54.941
屏東縣新園鄉,36692,10,27.254
屏東縣林邊鄉,19235,7,36.392
屏東縣車城鄉,9121,4,43.855
屏東縣滿州鄉,8126,4,49.225
屏東縣枋山鄉,5749,8,139.155
屏東縣牡丹鄉,4864,0,0
彰化縣社頭鄉,43705,5,11.44
彰化縣員林市,124725,20,16.035
彰化縣田中鎮,42745,4,9.358
彰化縣彰化市,235022,33,14.041
彰化縣和美鎮,90741,13,14.326
彰化縣線西鄉,17119,1,5.841
彰化縣伸港鄉,36182,10,27.638
彰化縣秀水鄉,39326,11,27.971
彰化縣花壇鄉,45916,12,26.135
彰化縣芬園鄉,24155,7,28.98
彰化縣溪湖鎮,55788,16,28.68
彰化縣大村鄉,36457,9,24.687
彰化縣埔鹽鄉,33184,10,30.135
彰化縣埔心鄉,34905,8,22.919
彰化縣永靖鄉,38200,4,10.471
彰化縣二水鄉,15830,4,25.268
彰化縣二林鎮,52330,11,21.02
彰化縣埤頭鄉,31045,7,22.548
彰化縣芳苑鄉,34744,17,48.929
彰化縣大城鄉,17797,2,11.238
