area,population,death,rate
南投縣南投市,102178,6,5.872
南投縣埔里鎮,82687,5,6.047
南投縣草屯鎮,98875,9,9.102
南投縣竹山鎮,56228,11,19.563
南投縣集集鎮,11301,0,0
南投縣名間鄉,39801,3,7.537
南投縣鹿谷鄉,18351,2,10.899
南投縣中寮鄉,15459,1,6.469
南投縣魚池鄉,16370,1,6.109
南投縣國姓鄉,19524,1,5.122
南投縣水里鄉,18493,3,16.222
南投縣信義鄉,16585,5,30.148
南投縣仁愛鄉,15666,2,12.767
嘉義市東區,123329,5,4.054
嘉義市西區,147567,3,2.033
嘉義縣太保市,37036,4,10.8
嘉義縣中埔鄉,45844,9,19.632
嘉義縣番路鄉,11942,2,16.748
嘉義縣水上鄉,50541,5,9.893
嘉義縣東石鄉,25851,4,15.473
嘉義縣朴子市,43175,4,9.265
嘉義縣大林鎮,31917,4,12.533
嘉義縣民雄鄉,71904,3,4.172
嘉義縣溪口鄉,15209,2,13.15
嘉義縣新港鄉,32990,3,9.094
嘉義縣六腳鄉,24334,3,12.328
嘉義縣義竹鄉,19367,7,36.144
嘉義縣鹿草鄉,16196,2,12.349
嘉義縣竹崎鄉,36735,2,5.444
嘉義縣梅山鄉,20138,2,9.931
嘉義縣大埔鄉,4608,0,0
嘉義縣阿里山鄉,5725,0,0
嘉義縣布袋鎮,28079,1,3.561
基隆市暖暖區,38372,2,5.212
基隆市七堵區,54074,4,7.397
基隆市仁愛區,46106,4,8.676
基隆市信義區,51346,2,3.895
基隆市中正區,52859,1,1.892
基隆市中山區,48441,0,0
基隆市安樂區,81589,1,1.226
宜蘭縣蘇澳鎮,40851,6,14.688
宜蘭縣五結鄉,39402,4,10.152
宜蘭縣宜蘭市,95973,5,5.21
宜蘭縣壯圍鄉,24316,2,8.225
宜蘭縣羅東鎮,72676,6,8.256
宜蘭縣員山鄉,32263,3,9.299
宜蘭縣冬山鄉,53512,6,11.212
宜蘭縣三星鄉,21430,0,0
宜蘭縣大同鄉,6097,1,16.402
宜蘭縣頭城鎮,29857,7,23.445
宜蘭縣南澳鄉,6075,1,16.461
宜蘭縣礁溪鄉,35861,2,5.577
屏東縣佳冬鄉,20099,4,19.901
屏東縣竹田鄉,17607,2,11.359
屏東縣萬丹鄉,51864,9,17.353
屏東縣屏東市,203220,14,6.889
屏東縣潮州鎮,54761,2,3.652
屏東縣長治鄉,30346,8,26.363
屏東縣麟洛鄉,11227,0,0
屏東縣九如鄉,22115,5,22.609
屏東縣里港鄉,26942,5,18.558
屏東縣鹽埔鄉,26466,9,34.006
屏東縣高樹鄉,25267,4,15.831
屏東縣萬巒鄉,20812,4,19.22
屏東縣內埔鄉,55938,11,19.665
屏東縣新埤鄉,10090,4,39.643
屏東縣崁頂鄉,16234,2,12.32
屏東縣南州鄉,10935,2,18.29
屏東縣琉球鄉,12533,0,0
屏東縣三地門鄉,7725,1,12.945
屏東縣霧臺鄉,3366,0,0
屏東縣瑪家鄉,6677,0,0
屏東縣泰武鄉,5244,0,0
屏東縣來義鄉,7551,0,0
屏東縣春日鄉,4822,0,0
屏東縣獅子鄉,4830,1,20.704
屏東縣東港鎮,48118,3,6.235
屏東縣恆春鎮,30852,8,25.93
屏東縣枋寮鄉,25342,4,15.784
屏東縣新園鄉,36397,4,10.99
屏東縣林邊鄉,19057,2,10.495
屏東縣車城鄉,9002,3,33.326
屏東縣滿州鄉,8068,1,12.395
屏東縣枋山鄉,5672,2,35.261
屏東縣牡丹鄉,4802,0,0
彰化縣社頭鄉,43557,6,13.775
彰化縣員林市,124653,7,5.616
彰化縣田中鎮,42569,3,7.047
彰化縣彰化市,234947,11,4.682
彰化縣和美鎮,90931,8,8.798
彰化縣線西鄉,17065,1,5.86
彰化縣伸港鄉,36221,1,2.761
彰化縣秀水鄉,39352,0,0
彰化縣花壇鄉,45867,5,10.901
彰化縣芬園鄉,24011,2,8.33
彰化縣溪湖鎮,55735,4,7.177
彰化縣大村鄉,36412,5,13.732
彰化縣埔鹽鄉,33045,0,0
彰化縣埔心鄉,34899,2,5.731
彰化縣永靖鄉,38128,1,2.623
彰化縣二水鄉,15715,3,19.09
彰化縣二林鎮,52038,6,11.53
彰化縣埤頭鄉,30928,2,6.467
彰化縣芳苑鄉,34461,0,0
彰化縣大城鄉,17610,3,17.036
彰化縣竹塘鄉,15739,1,6.354
彰化縣溪州鄉,30590,8,26.152
彰化縣鹿港鎮,86275,5,5.795
彰化縣福興鄉,47669,4,8.391
彰化縣北斗鎮,33208,1,3.011
彰化縣田尾鄉,27649,3,10.85
新北市永和區,226715,4,1.764
新北市新店區,299656,1,0.334
新北市土城區,238790,8,3.35
新北市蘆洲區,199739,3,1.502
新北市五股區,82437,5,6.065
新北市坪林區,6483,2,30.85
新北市平溪區,4900,1,20.408
新北市烏來區,6128,1,16.319
新北市淡水區,160444,8,4.986
新北市瑞芳區,41024,0,0
新北市林口區,98978,1,1.01
新北市三芝區,23469,2,8.522
新北市八里區,37288,3,8.045
新北市三峽區,112059,5,4.462
