area,population,death,rate
南投縣南投市,101622,12,11.808
南投縣埔里鎮,82212,18,21.895
南投縣草屯鎮,98837,17,17.2
南投縣竹山鎮,56053,18,32.112
南投縣集集鎮,11229,3,26.717
南投縣名間鄉,39666,10,25.211
南投縣鹿谷鄉,18234,3,16.453
南投縣中寮鄉,15353,3,19.54
南投縣魚池鄉,16289,2,12.278
南投縣國姓鄉,19360,2,10.331
南投縣水里鄉,18339,4,21.811
南投縣信義鄉,16525,5,30.257
南投縣仁愛鄉,15771,4,25.363
嘉義市東區,122900,9,7.323
嘉義市西區,147466,12,8.137
嘉義縣太保市,37212,14,37.622
嘉義縣中埔鄉,45724,14,30.618
嘉義縣番路鄉,11865,4,33.713
嘉義縣水上鄉,50431,11,21.812
嘉義縣東石鄉,25751,6,23.3
嘉義縣朴子市,42956,9,20.952
嘉義縣大林鎮,31697,8,25.239
嘉義縣民雄鄉,71862,11,15.307
嘉義縣溪口鄉,15113,5,33.084
嘉義縣新港鄉,32797,4,12.196
嘉義縣六腳鄉,24202,7,28.923
嘉義縣義竹鄉,19258,9,46.734
嘉義縣鹿草鄉,16119,5,31.019
嘉義縣竹崎鄉,36546,5,13.681
嘉義縣梅山鄉,20010,3,14.993
嘉義縣大埔鄉,4621,0,0
嘉義縣阿里山鄉,5721,0,0
嘉義縣布袋鎮,27954,3,10.732
基隆市暖暖區,38379,5,13.028
基隆市七堵區,54060,7,12.949
基隆市仁愛區,45626,4,8.767
基隆市信義區,51604,4,7.751
基隆市中正區,52710,4,7.589
基隆市中山區,48397,2,4.132
基隆市安樂區,81329,5,6.148
宜蘭縣蘇澳鎮,40726,7,17.188
宜蘭縣五結鄉,39559,10,25.279
宜蘭縣宜蘭市,96051,12,12.493
宜蘭縣壯圍鄉,24258,5,20.612
宜蘭縣羅東鎮,72404,10,13.811
宜蘭縣員山鄉,32277,8,24.785
宜蘭縣冬山鄉,53634,13,24.238
宜蘭縣三星鄉,21441,1,4.664
宜蘭縣大同鄉,6080,1,16.447
宜蘭縣頭城鎮,29798,11,36.915
宜蘭縣南澳鄉,6051,2,33.052
宜蘭縣礁溪鄉,35838,3,8.371
屏東縣佳冬鄉,19905,7,35.167
屏東縣竹田鄉,17544,7,39.9
屏東縣萬丹鄉,51647,16,30.98
屏東縣屏東市,202562,35,17.279
