area,population,death,rate
南投縣南投市,99002,2,2.02
南投縣埔里鎮,79032,3,3.796
南投縣草屯鎮,97388,1,1.027
南投縣竹山鎮,53359,0,0
南投縣集集鎮,10422,2,19.19
南投縣名間鄉,37465,1,2.669
南投縣鹿谷鄉,17180,1,5.821
南投縣中寮鄉,14240,0,0
南投縣魚池鄉,15406,0,0
南投縣國姓鄉,17924,0,0
南投縣水里鄉,16931,0,0
南投縣信義鄉,15856,0,0
南投縣仁愛鄉,15796,2,12.661
嘉義市東區,119556,1,0.836
嘉義市西區,146195,1,0.684
嘉義縣太保市,38586,1,2.592
嘉義縣中埔鄉,44050,3,6.81
嘉義縣番路鄉,11155,1,8.965
嘉義縣水上鄉,48908,0,0
嘉義縣東石鄉,23682,0,0
嘉義縣朴子市,41623,1,2.403
嘉義縣大林鎮,30340,1,3.296
嘉義縣民雄鄉,71229,1,1.404
嘉義縣溪口鄉,13988,1,7.149
嘉義縣新港鄉,31085,1,3.217
嘉義縣六腳鄉,22116,2,9.043
嘉義縣義竹鄉,17558,1,5.695
嘉義縣鹿草鄉,14874,2,13.446
嘉義縣竹崎鄉,34692,0,0
嘉義縣梅山鄉,18636,0,0
嘉義縣大埔鄉,4555,0,0
嘉義縣阿里山鄉,5502,0,0
嘉義縣布袋鎮,25920,1,3.858
基隆市暖暖區,38499,0,0
基隆市七堵區,53594,0,0
基隆市仁愛區,42741,2,4.679
基隆市信義區,53160,1,1.881
基隆市中正區,51186,1,1.954
基隆市中山區,46318,1,2.159
基隆市安樂區,81771,1,1.223
宜蘭縣蘇澳鎮,38780,0,0
宜蘭縣五結鄉,40310,1,2.481
宜蘭縣宜蘭市,95361,3,3.146
宜蘭縣壯圍鄉,24355,1,4.106
宜蘭縣羅東鎮,71496,3,4.196
宜蘭縣員山鄉,32198,5,15.529
宜蘭縣冬山鄉,53006,1,1.887
宜蘭縣三星鄉,21203,4,18.865
宜蘭縣大同鄉,6093,0,0
宜蘭縣頭城鎮,28784,1,3.474
宜蘭縣南澳鄉,5961,0,0
宜蘭縣礁溪鄉,35204,2,5.681
屏東縣佳冬鄉,18573,0,0
屏東縣竹田鄉,16546,3,18.131
屏東縣萬丹鄉,50080,3,5.99
屏東縣屏東市,197356,8,4.054
屏東縣潮州鎮,53880,2,3.712
屏東縣長治鄉,29410,1,3.4
屏東縣麟洛鄉,10729,0,0
屏東縣九如鄉,21893,1,4.568
屏東縣里港鄉,25693,1,3.892
屏東縣鹽埔鄉,24950,1,4.008
屏東縣高樹鄉,23681,0,0
屏東縣萬巒鄉,20162,1,4.96
屏東縣內埔鄉,53224,2,3.758
屏東縣新埤鄉,9537,0,0
屏東縣崁頂鄉,15344,2,13.034
屏東縣南州鄉,10342,1,9.669
屏東縣琉球鄉,12145,0,0
屏東縣三地門鄉,7682,0,0
屏東縣霧臺鄉,3246,0,0
屏東縣瑪家鄉,6770,0,0
屏東縣泰武鄉,5342,0,0
屏東縣來義鄉,7433,0,0
屏東縣春日鄉,4939,1,20.247
屏東縣獅子鄉,4832,0,0
屏東縣東港鎮,46707,1,2.141
屏東縣恆春鎮,30378,2,6.584
屏東縣枋寮鄉,23614,0,0
屏東縣新園鄉,33798,0,0
屏東縣林邊鄉,17219,0,0
屏東縣車城鄉,8260,0,0
屏東縣滿州鄉,7443,0,0
屏東縣枋山鄉,5211,3,57.571
屏東縣牡丹鄉,4856,0,0
彰化縣社頭鄉,42360,2,4.721
彰化縣員林市,123888,2,1.614
彰化縣田中鎮,40643,0,0
彰化縣彰化市,230891,2,0.866
彰化縣和美鎮,90012,4,4.444
彰化縣線西鄉,16638,0,0
彰化縣伸港鄉,37729,1,2.65
彰化縣秀水鄉,38883,2,5.144
彰化縣花壇鄉,45170,2,4.428
彰化縣芬園鄉,23127,1,4.324
彰化縣溪湖鎮,54742,0,0
彰化縣大村鄉,38830,2,5.151
彰化縣埔鹽鄉,31870,1,3.138
彰化縣埔心鄉,34368,2,5.819
彰化縣永靖鄉,36233,0,0
彰化縣二水鄉,14590,0,0
彰化縣二林鎮,49598,3,6.049
彰化縣埤頭鄉,30030,0,0
彰化縣芳苑鄉,32634,0,0
彰化縣大城鄉,16052,2,12.46
彰化縣竹塘鄉,14762,0,0
彰化縣溪州鄉,29110,0,0
彰化縣鹿港鎮,86486,3,3.469
彰化縣福興鄉,46265,2,4.323
彰化縣北斗鎮,33351,2,5.997
彰化縣田尾鄉,26635,0,0
新北市永和區,219077,1,0.456
新北市新店區,303180,3,0.99
新北市土城區,238266,2,0.839
新北市蘆洲區,202541,2,0.987
新北市五股區,89576,4,4.465
新北市坪林區,6695,0,0
新北市平溪區,4403,0,0
新北市烏來區,6387,0,0
新北市淡水區,183682,3,1.633
新北市瑞芳區,38950,0,0
新北市林口區,121728,2,1.643
新北市三芝區,22512,2,8.884
新北市八里區,39720,1,2.518
新北市三峽區,116801,2,1.712
新北市鶯歌區,87675,4,4.562
新北市中和區,410749,4,0.974
新北市樹林區,183167,3,1.638
新北市深坑區,23766,0,0
新北市板橋區,556682,7,1.257
新北市石碇區,7546,0,0
新北市新莊區,423014,5,1.182
新北市泰山區,78398,4,5.102
新北市三重區,384769,4,1.04
新北市雙溪區,8423,0,0
新北市貢寮區,11754,1,8.508
新北市汐止區,205853,0,0
新北市萬里區,21654,0,0
新北市金山區,21062,1,4.748
新北市石門區,11463,0,0
新竹市北區,152556,1,0.655
新竹市香山區,78747,2,2.54
新竹市東區,220454,2,0.907
新竹縣峨眉鄉,5379,1,18.591
新竹縣竹東鎮,96992,2,2.062
新竹縣新埔鎮,33042,1,3.026
新竹縣關西鎮,27708,1,3.609
新竹縣湖口鄉,79076,1,1.265
新竹縣芎林鄉,19861,3,15.105
新竹縣橫山鄉,12499,0,0
新竹縣北埔鄉,9012,0,0
新竹縣寶山鄉,14587,0,0
新竹縣尖石鄉,9610,1,10.406
新竹縣五峰鄉,4476,0,0
新竹縣竹北市,201542,3,1.489
新竹縣新豐鄉,57507,3,5.217
桃園市蘆竹區,166893,4,2.397
桃園市龜山區,164619,0,0
桃園市龍潭區,124408,3,2.411
桃園市復興區,12389,0,0
桃園市觀音區,69128,2,2.893
桃園市桃園區,457772,5,1.092
桃園市大園區,93843,5,5.328
桃園市新屋區,49319,2,4.055
桃園市楊梅區,175449,4,2.28
桃園市大溪區,95572,1,1.046
桃園市八德區,209191,4,1.912
桃園市中壢區,422698,7,1.656
桃園市平鎮區,228667,1,0.437
澎湖縣馬公市,63182,1,1.583
澎湖縣湖西鄉,15247,0,0
澎湖縣白沙鄉,9901,0,0
澎湖縣西嶼鄉,8340,1,11.99
澎湖縣望安鄉,5367,0,0
澎湖縣七美鄉,3871,0,0
臺中市南屯區,176418,2,1.134
臺中市烏日區,76641,0,0
臺中市新社區,24003,1,4.166
臺中市石岡區,14623,0,0
臺中市外埔區,31900,1,3.135
臺中市大肚區,56727,2,3.526
臺中市霧峰區,65046,1,1.537
臺中市太平區,195068,2,1.025
臺中市大里區,213032,3,1.408
臺中市和平區,10831,1,9.233
臺中市中區,18131,0,0
臺中市東區,75781,1,1.32
臺中市南區,126795,2,1.577
臺中市大甲區,76070,2,2.629
臺中市大安區,18791,1,5.322
臺中市龍井區,78126,4,5.12
臺中市西區,114496,1,0.873
臺中市北區,146454,2,1.366
臺中市西屯區,231802,3,1.294
臺中市北屯區,288202,3,1.041
臺中市豐原區,165984,3,1.807
臺中市東勢區,49096,0,0
臺中市沙鹿區,95326,2,2.098
臺中市后里區,54293,0,0
臺中市神岡區,65406,1,1.529
臺中市潭子區,109261,1,0.915
臺中市大雅區,95687,1,1.045
臺中市清水區,88162,2,2.269
臺中市梧棲區,59312,2,3.372
臺北市大安區,301178,4,1.328
臺北市文山區,267485,2,0.748
臺北市信義區,214178,0,0
臺北市萬華區,182216,6,3.293
臺北市中正區,155045,1,0.645
臺北市南港區,118314,1,0.845
臺北市松山區,199656,1,0.501
臺北市大同區,123490,0,0
臺北市中山區,222978,2,0.897
臺北市內湖區,281615,0,0
臺北市士林區,277308,4,1.442
臺北市北投區,249415,3,1.203
臺南市新營區,76307,2,2.621
臺南市鹽水區,25003,1,4
臺南市白河區,27185,1,3.678
臺南市柳營區,20788,1,4.81
臺南市後壁區,22680,0,0
臺南市東山區,20062,2,9.969
臺南市麻豆區,43656,2,4.581
臺南市下營區,23408,1,4.272
臺南市六甲區,21643,0,0
臺南市官田區,21198,1,4.717
臺南市大內區,9184,0,0
臺南市佳里區,58749,2,3.404
臺南市學甲區,25231,1,3.963
臺南市西港區,24498,1,4.082
臺南市新化區,43262,1,2.311
臺南市新市區,37660,0,0
臺南市安定區,30328,2,6.595
臺南市玉井區,13565,5,36.86
臺南市楠西區,9174,0,0
