area,population,death,rate
南投縣南投市,99251,10,10.075
南投縣埔里鎮,79942,17,21.265
南投縣草屯鎮,97577,10,10.248
南投縣竹山鎮,53991,7,12.965
南投縣集集鎮,10626,0,0
南投縣名間鄉,38011,6,15.785
南投縣鹿谷鄉,17542,5,28.503
南投縣中寮鄉,14528,1,6.883
南投縣魚池鄉,15619,2,12.805
南投縣國姓鄉,18299,4,21.859
南投縣水里鄉,17271,3,17.37
南投縣信義鄉,16011,0,0
南投縣仁愛鄉,15854,4,25.23
嘉義市東區,120912,8,6.616
嘉義市西區,146860,12,8.171
嘉義縣太保市,38251,12,31.372
嘉義縣中埔鄉,44358,7,15.781
嘉義縣番路鄉,11281,5,44.322
嘉義縣水上鄉,49196,4,8.131
嘉義縣東石鄉,24234,7,28.885
嘉義縣朴子市,41864,11,26.276
嘉義縣大林鎮,30740,6,19.519
嘉義縣民雄鄉,71322,10,14.021
嘉義縣溪口鄉,14322,4,27.929
嘉義縣新港鄉,31470,4,12.711
嘉義縣六腳鄉,22613,6,26.533
嘉義縣義竹鄉,17923,7,39.056
嘉義縣鹿草鄉,15146,2,13.205
嘉義縣竹崎鄉,35262,4,11.344
嘉義縣梅山鄉,18994,4,21.059
嘉義縣大埔鄉,4590,0,0
嘉義縣阿里山鄉,5537,0,0
嘉義縣布袋鎮,26382,1,3.79
基隆市暖暖區,38573,2,5.185
基隆市七堵區,53752,4,7.442
基隆市仁愛區,43255,4,9.247
基隆市信義區,52797,2,3.788
基隆市中正區,51521,5,9.705
基隆市中山區,46938,0,0
基隆市安樂區,82219,7,8.514
宜蘭縣蘇澳鎮,39216,6,15.3
宜蘭縣五結鄉,39864,6,15.051
宜蘭縣宜蘭市,95604,17,17.782
宜蘭縣壯圍鄉,24419,3,12.286
宜蘭縣羅東鎮,72027,5,6.942
宜蘭縣員山鄉,32251,2,6.201
宜蘭縣冬山鄉,53061,9,16.962
宜蘭縣三星鄉,21301,3,14.084
宜蘭縣大同鄉,6137,4,65.178
宜蘭縣頭城鎮,28996,5,17.244
宜蘭縣南澳鄉,5968,3,50.268
宜蘭縣礁溪鄉,35443,7,19.75
屏東縣佳冬鄉,18869,4,21.199
屏東縣竹田鄉,16916,7,41.381
屏東縣萬丹鄉,50450,8,15.857
屏東縣屏東市,199024,27,13.566
屏東縣潮州鎮,53848,4,7.428
屏東縣長治鄉,29584,11,37.182
屏東縣麟洛鄉,10944,2,18.275
屏東縣九如鄉,21987,7,31.837
屏東縣里港鄉,25821,7,27.11
屏東縣鹽埔鄉,25381,7,27.58
屏東縣高樹鄉,24006,4,16.663
屏東縣萬巒鄉,20484,1,4.882
屏東縣內埔鄉,53643,9,16.778
屏東縣新埤鄉,9750,5,51.282
屏東縣崁頂鄉,15383,2,13.001
屏東縣南州鄉,10548,2,18.961
屏東縣琉球鄉,12234,0,0
