area,population,death,rate
南投縣南投市,101481,3,2.956
南投縣埔里鎮,82049,4,4.875
南投縣草屯鎮,98677,6,6.08
南投縣竹山鎮,55878,1,1.79
南投縣集集鎮,11190,0,0
南投縣名間鄉,39443,2,5.071
南投縣鹿谷鄉,18146,0,0
南投縣中寮鄉,15285,0,0
南投縣魚池鄉,16284,4,24.564
南投縣國姓鄉,19275,1,5.188
南投縣水里鄉,18242,1,5.482
南投縣信義鄉,16458,0,0
南投縣仁愛鄉,15738,1,6.354
嘉義市東區,122875,0,0
嘉義市西區,147389,4,2.714
嘉義縣太保市,37243,2,5.37
嘉義縣中埔鄉,45596,3,6.58
嘉義縣番路鄉,11806,1,8.47
嘉義縣水上鄉,50298,7,13.917
嘉義縣東石鄉,25608,1,3.905
嘉義縣朴子市,42907,0,0
嘉義縣大林鎮,31610,1,3.164
嘉義縣民雄鄉,71926,2,2.781
嘉義縣溪口鄉,15057,0,0
嘉義縣新港鄉,32698,0,0
嘉義縣六腳鄉,24096,1,4.15
嘉義縣義竹鄉,19142,0,0
嘉義縣鹿草鄉,16010,3,18.738
嘉義縣竹崎鄉,36439,1,2.744
嘉義縣梅山鄉,19943,1,5.014
嘉義縣大埔鄉,4610,0,0
嘉義縣阿里山鄉,5699,0,0
嘉義縣布袋鎮,27819,1,3.595
基隆市暖暖區,38415,1,2.603
基隆市七堵區,54075,1,1.849
基隆市仁愛區,45504,1,2.198
基隆市信義區,51596,1,1.938
基隆市中正區,52744,1,1.896
基隆市中山區,48293,1,2.071
基隆市安樂區,81255,1,1.231
宜蘭縣蘇澳鎮,40624,2,4.923
宜蘭縣五結鄉,39599,2,5.051
宜蘭縣宜蘭市,96063,2,2.082
宜蘭縣壯圍鄉,24230,1,4.127
宜蘭縣羅東鎮,72443,1,1.38
宜蘭縣員山鄉,32254,1,3.1
宜蘭縣冬山鄉,53572,2,3.733
宜蘭縣三星鄉,21420,3,14.006
宜蘭縣大同鄉,6068,0,0
宜蘭縣頭城鎮,29751,1,3.361
宜蘭縣南澳鄉,6021,2,33.217
宜蘭縣礁溪鄉,35809,2,5.585
屏東縣佳冬鄉,19820,3,15.136
屏東縣竹田鄉,17495,1,5.716
屏東縣萬丹鄉,51522,4,7.764
屏東縣屏東市,202382,10,4.941
屏東縣潮州鎮,54729,4,7.309
屏東縣長治鄉,30255,5,16.526
屏東縣麟洛鄉,11214,2,17.835
屏東縣九如鄉,22069,1,4.531
屏東縣里港鄉,27067,0,0
屏東縣鹽埔鄉,26320,1,3.799
屏東縣高樹鄉,25059,1,3.991
屏東縣萬巒鄉,20751,2,9.638
屏東縣內埔鄉,55521,1,1.801
屏東縣新埤鄉,10039,2,19.922
屏東縣崁頂鄉,16057,3,18.683
屏東縣南州鄉,10857,1,9.211
屏東縣琉球鄉,12436,0,0
屏東縣三地門鄉,7696,0,0
屏東縣霧臺鄉,3313,0,0
屏東縣瑪家鄉,6773,0,0
屏東縣泰武鄉,5221,0,0
屏東縣來義鄉,7560,0,0
屏東縣春日鄉,4807,0,0
屏東縣獅子鄉,4810,2,41.58
屏東縣東港鎮,48238,3,6.219
屏東縣恆春鎮,30846,2,6.484
屏東縣枋寮鄉,25039,3,11.981
屏東縣新園鄉,35989,5,13.893
屏東縣林邊鄉,18671,1,5.356
屏東縣車城鄉,8858,2,22.578
屏東縣滿州鄉,7953,0,0
屏東縣枋山鄉,5611,4,71.289
屏東縣牡丹鄉,4782,0,0
彰化縣社頭鄉,43483,1,2.3
彰化縣員林市,125068,3,2.399
彰化縣田中鎮,42384,0,0
彰化縣彰化市,235124,5,2.127
彰化縣和美鎮,91158,1,1.097
彰化縣線西鄉,17004,5,29.405
彰化縣伸港鄉,36546,2,5.473
彰化縣秀水鄉,39351,0,0
彰化縣花壇鄉,46025,2,4.345
彰化縣芬園鄉,23977,0,0
彰化縣溪湖鎮,55753,2,3.587
彰化縣大村鄉,36597,0,0
彰化縣埔鹽鄉,32892,2,6.081
彰化縣埔心鄉,34740,2,5.757
彰化縣永靖鄉,37928,0,0
彰化縣二水鄉,15604,0,0
彰化縣二林鎮,51820,2,3.86
彰化縣埤頭鄉,30844,2,6.484
彰化縣芳苑鄉,34198,3,8.772
彰化縣大城鄉,17460,0,0
彰化縣竹塘鄉,15576,1,6.42
彰化縣溪州鄉,30512,0,0
彰化縣鹿港鎮,86492,4,4.625
彰化縣福興鄉,47589,5,10.507
彰化縣北斗鎮,33229,1,3.009
彰化縣田尾鄉,27591,0,0
新北市永和區,225366,5,2.219
新北市新店區,300162,3,0.999
新北市土城區,238628,5,2.095
新北市蘆洲區,200111,2,0.999
新北市五股區,83064,1,1.204
新北市坪林區,6505,0,0
新北市平溪區,4851,0,0
新北市烏來區,6185,0,0
新北市淡水區,162851,3,1.842
新北市瑞芳區,40869,3,7.341
新北市林口區,101015,2,1.98
新北市三芝區,23420,2,8.54
新北市八里區,37648,1,2.656
新北市三峽區,112998,2,1.77
新北市鶯歌區,87745,4,4.559
新北市中和區,413909,2,0.483
新北市樹林區,184274,3,1.628
新北市深坑區,23616,0,0
新北市板橋區,553781,10,1.806
新北市石碇區,7836,1,12.762
新北市新莊區,413550,7,1.693
新北市泰山區,78791,5,6.346
新北市三重區,388091,9,2.319
新北市雙溪區,9191,0,0
新北市貢寮區,12793,2,15.634
新北市汐止區,196137,3,1.53
新北市萬里區,22556,0,0
新北市金山區,22249,1,4.495
新北市石門區,12598,0,0
新竹市北區,149300,1,0.67
新竹市香山區,76992,0,0
新竹市東區,208200,6,2.882
新竹縣峨眉鄉,5632,0,0
新竹縣竹東鎮,96630,3,3.105
新竹縣新埔鎮,34048,0,0
新竹縣關西鎮,29775,2,6.717
新竹縣湖口鄉,77326,2,2.586
新竹縣芎林鄉,20245,2,9.879
新竹縣橫山鄉,13466,2,14.852
新竹縣北埔鄉,9646,0,0
新竹縣寶山鄉,14281,0,0
新竹縣尖石鄉,9325,0,0
新竹縣五峰鄉,4582,0,0
新竹縣竹北市,171998,3,1.744
