area,population,death,rate
南投縣南投市,102616,7,6.822
南投縣埔里鎮,83414,10,11.988
南投縣草屯鎮,99298,8,8.057
南投縣竹山鎮,56992,5,8.773
南投縣集集鎮,11467,6,52.324
南投縣名間鄉,40094,1,2.494
南投縣鹿谷鄉,18593,0,0
南投縣中寮鄉,15604,2,12.817
南投縣魚池鄉,16615,0,0
南投縣國姓鄉,19862,0,0
南投縣水里鄉,18854,3,15.912
南投縣信義鄉,16736,1,5.975
南投縣仁愛鄉,15851,1,6.309
嘉義市東區,123791,3,2.423
嘉義市西區,147192,3,2.038
嘉義縣太保市,36942,4,10.828
嘉義縣中埔鄉,46250,2,4.324
嘉義縣番路鄉,12169,1,8.218
嘉義縣水上鄉,50989,4,7.845
嘉義縣東石鄉,26340,4,15.186
嘉義縣朴子市,43427,0,0
嘉義縣大林鎮,32359,3,9.271
嘉義縣民雄鄉,72023,4,5.554
嘉義縣溪口鄉,15569,1,6.423
嘉義縣新港鄉,33410,4,11.972
嘉義縣六腳鄉,24822,3,12.086
嘉義縣義竹鄉,19711,3,15.22
嘉義縣鹿草鄉,16567,1,6.036
嘉義縣竹崎鄉,37158,1,2.691
嘉義縣梅山鄉,20480,1,4.883
嘉義縣大埔鄉,4638,0,0
嘉義縣阿里山鄉,5756,0,0
嘉義縣布袋鎮,28586,3,10.495
基隆市暖暖區,38014,3,7.892
基隆市七堵區,53961,2,3.706
基隆市仁愛區,46826,3,6.407
基隆市信義區,51111,2,3.913
基隆市中正區,53323,2,3.751
基隆市中山區,48922,3,6.132
基隆市安樂區,81841,4,4.888
宜蘭縣蘇澳鎮,41299,4,9.685
宜蘭縣五結鄉,39227,2,5.099
宜蘭縣宜蘭市,95772,7,7.309
宜蘭縣壯圍鄉,24508,3,12.241
宜蘭縣羅東鎮,72352,5,6.911
宜蘭縣員山鄉,32273,3,9.296
宜蘭縣冬山鄉,53705,5,9.31
宜蘭縣三星鄉,21319,2,9.381
宜蘭縣大同鄉,6096,0,0
宜蘭縣頭城鎮,29960,2,6.676
宜蘭縣南澳鄉,6051,0,0
宜蘭縣礁溪鄉,36006,5,13.887
屏東縣佳冬鄉,20377,4,19.63
屏東縣竹田鄉,17793,5,28.101
屏東縣萬丹鄉,52350,11,21.012
屏東縣屏東市,204941,15,7.319
屏東縣潮州鎮,54869,4,7.29
屏東縣長治鄉,30411,2,6.577
屏東縣麟洛鄉,11322,1,8.832
屏東縣九如鄉,22310,1,4.482
屏東縣里港鄉,26729,4,14.965
屏東縣鹽埔鄉,26624,3,11.268
屏東縣高樹鄉,25669,3,11.687
屏東縣萬巒鄉,21022,2,9.514
屏東縣內埔鄉,56364,2,3.548
屏東縣新埤鄉,10248,1,9.758
屏東縣崁頂鄉,16377,0,0
屏東縣南州鄉,11101,0,0
屏東縣琉球鄉,12666,0,0
屏東縣三地門鄉,7740,0,0
屏東縣霧臺鄉,3396,0,0
屏東縣瑪家鄉,6673,1,14.986
屏東縣泰武鄉,5232,0,0
屏東縣來義鄉,7600,1,13.158
屏東縣春日鄉,4839,0,0
屏東縣獅子鄉,4843,0,0
屏東縣東港鎮,48467,1,2.063
屏東縣恆春鎮,30847,2,6.484
屏東縣枋寮鄉,25631,4,15.606
屏東縣新園鄉,36870,2,5.424
屏東縣林邊鄉,19413,1,5.151
屏東縣車城鄉,9173,3,32.705
屏東縣滿州鄉,8149,3,36.814
屏東縣枋山鄉,5812,4,68.823
屏東縣牡丹鄉,4835,0,0
彰化縣社頭鄉,43754,3,6.857
彰化縣員林市,125041,7,5.598
彰化縣田中鎮,42965,2,4.655
彰化縣彰化市,235683,14,5.94
彰化縣和美鎮,90569,4,4.417
彰化縣線西鄉,17150,0,0
彰化縣伸港鄉,36119,3,8.306
彰化縣秀水鄉,39343,4,10.167
彰化縣花壇鄉,45942,8,17.413
彰化縣芬園鄉,24197,3,12.398
彰化縣溪湖鎮,55746,5,8.969
彰化縣大村鄉,36401,5,13.736
彰化縣埔鹽鄉,33345,4,11.996
彰化縣埔心鄉,34969,1,2.86
彰化縣永靖鄉,38398,1,2.604
彰化縣二水鄉,15900,2,12.579
彰化縣二林鎮,52680,5,9.491
彰化縣埤頭鄉,31133,1,3.212
彰化縣芳苑鄉,34932,7,20.039
彰化縣大城鄉,17938,1,5.575
彰化縣竹塘鄉,16009,1,6.246
彰化縣溪州鄉,30841,5,16.212
彰化縣鹿港鎮,86021,4,4.65
彰化縣福興鄉,47889,4,8.353
彰化縣北斗鎮,33172,4,12.058
彰化縣田尾鄉,27860,3,10.768
新北市永和區,228715,3,1.312
新北市新店區,298737,4,1.339
新北市土城區,239013,5,2.092
新北市蘆洲區,199234,1,0.502
新北市五股區,81857,7,8.551
新北市坪林區,6424,1,15.567
新北市平溪區,4986,0,0
新北市烏來區,6046,0,0
新北市淡水區,156807,6,3.826
新北市瑞芳區,41398,2,4.831
新北市林口區,95391,4,4.193
新北市三芝區,23460,1,4.263
新北市八里區,36442,2,5.488
新北市三峽區,110437,2,1.811
新北市鶯歌區,88769,6,6.759
新北市中和區,414879,4,0.964
新北市樹林區,183659,6,3.267
新北市深坑區,23545,0,0
新北市板橋區,556447,12,2.157
新北市石碇區,7875,0,0
新北市新莊區,410133,6,1.463
新北市泰山區,78121,1,1.28
新北市三重區,389240,8,2.055
新北市雙溪區,9419,0,0
新北市貢寮區,13243,0,0
