area,population,death,rate
南投縣南投市,102295,1,0.978
南投縣埔里鎮,82879,1,1.207
南投縣草屯鎮,99201,2,2.016
南投縣竹山鎮,56505,4,7.079
南投縣集集鎮,11376,0,0
南投縣名間鄉,39995,1,2.5
南投縣鹿谷鄉,18507,1,5.403
南投縣中寮鄉,15522,0,0
南投縣魚池鄉,16502,1,6.06
南投縣國姓鄉,19658,0,0
南投縣水里鄉,18645,0,0
南投縣信義鄉,16775,1,5.961
南投縣仁愛鄉,15836,2,12.629
嘉義市東區,123342,2,1.622
嘉義市西區,147533,1,0.678
嘉義縣太保市,37089,1,2.696
嘉義縣中埔鄉,46062,2,4.342
嘉義縣番路鄉,12053,2,16.593
嘉義縣水上鄉,50673,3,5.92
嘉義縣東石鄉,26143,2,7.65
嘉義縣朴子市,43220,1,2.314
嘉義縣大林鎮,32058,2,6.239
嘉義縣民雄鄉,71951,0,0
嘉義縣溪口鄉,15302,0,0
嘉義縣新港鄉,33121,3,9.058
嘉義縣六腳鄉,24496,1,4.082
嘉義縣義竹鄉,19517,3,15.371
嘉義縣鹿草鄉,16328,1,6.124
嘉義縣竹崎鄉,36854,1,2.713
嘉義縣梅山鄉,20252,0,0
嘉義縣大埔鄉,4653,0,0
嘉義縣阿里山鄉,5751,0,0
嘉義縣布袋鎮,28312,0,0
基隆市暖暖區,38196,1,2.618
基隆市七堵區,54006,3,5.555
基隆市仁愛區,46161,2,4.333
基隆市信義區,51267,0,0
基隆市中正區,53052,1,1.885
基隆市中山區,48655,0,0
基隆市安樂區,81619,0,0
宜蘭縣蘇澳鎮,40975,0,0
宜蘭縣五結鄉,39318,0,0
宜蘭縣宜蘭市,95865,3,3.129
宜蘭縣壯圍鄉,24417,0,0
宜蘭縣羅東鎮,72569,3,4.134
宜蘭縣員山鄉,32374,0,0
宜蘭縣冬山鄉,53486,5,9.348
宜蘭縣三星鄉,21493,0,0
宜蘭縣大同鄉,6127,0,0
宜蘭縣頭城鎮,29863,5,16.743
宜蘭縣南澳鄉,6115,0,0
宜蘭縣礁溪鄉,35888,2,5.573
屏東縣佳冬鄉,20207,1,4.949
屏東縣竹田鄉,17668,0,0
屏東縣萬丹鄉,52030,2,3.844
屏東縣屏東市,203708,3,1.473
屏東縣潮州鎮,54754,1,1.826
屏東縣長治鄉,30355,0,0
屏東縣麟洛鄉,11299,0,0
屏東縣九如鄉,22152,3,13.543
屏東縣里港鄉,26825,0,0
屏東縣鹽埔鄉,26612,1,3.758
屏東縣高樹鄉,25461,1,3.928
屏東縣萬巒鄉,20866,1,4.792
屏東縣內埔鄉,56042,3,5.353
屏東縣新埤鄉,10210,1,9.794
屏東縣崁頂鄉,16326,1,6.125
屏東縣南州鄉,10992,1,9.098
屏東縣琉球鄉,12632,0,0
屏東縣三地門鄉,7764,1,12.88
屏東縣霧臺鄉,3415,0,0
屏東縣瑪家鄉,6710,0,0
屏東縣泰武鄉,5265,0,0
屏東縣來義鄉,7629,0,0
屏東縣春日鄉,4856,0,0
屏東縣獅子鄉,4868,0,0
屏東縣東港鎮,48194,1,2.075
屏東縣恆春鎮,30866,2,6.48
屏東縣枋寮鄉,25469,1,3.926
屏東縣新園鄉,36602,1,2.732
屏東縣林邊鄉,19148,2,10.445
屏東縣車城鄉,9064,0,0
屏東縣滿州鄉,8093,0,0
屏東縣枋山鄉,5720,0,0
屏東縣牡丹鄉,4848,0,0
彰化縣社頭鄉,43672,4,9.159
彰化縣員林市,124747,2,1.603
彰化縣田中鎮,42682,2,4.686
彰化縣彰化市,235061,3,1.276
彰化縣和美鎮,90791,2,2.203
彰化縣線西鄉,17101,0,0
彰化縣伸港鄉,36237,1,2.76
彰化縣秀水鄉,39319,0,0
彰化縣花壇鄉,45913,1,2.178
彰化縣芬園鄉,24132,0,0
彰化縣溪湖鎮,55768,3,5.379
彰化縣大村鄉,36412,2,5.493
彰化縣埔鹽鄉,33159,0,0
彰化縣埔心鄉,34880,0,0
彰化縣永靖鄉,38180,0,0
彰化縣二水鄉,15795,0,0
彰化縣二林鎮,52290,1,1.912
彰化縣埤頭鄉,31031,0,0
彰化縣芳苑鄉,34656,0,0
彰化縣大城鄉,17780,1,5.624
彰化縣竹塘鄉,15833,0,0
彰化縣溪州鄉,30689,2,6.517
彰化縣鹿港鎮,86112,1,1.161
彰化縣福興鄉,47816,1,2.091
彰化縣北斗鎮,33223,1,3.01
彰化縣田尾鄉,27774,1,3.6
新北市永和區,227066,0,0
新北市新店區,299852,1,0.333
新北市土城區,239265,2,0.836
新北市蘆洲區,199745,2,1.001
新北市五股區,82292,2,2.43
新北市坪林區,6486,0,0
新北市平溪區,4947,0,0
新北市烏來區,6168,1,16.213
新北市淡水區,159386,4,2.51
新北市瑞芳區,41256,0,0
新北市林口區,98063,0,0
新北市三芝區,23508,0,0
新北市八里區,37255,0,0
新北市三峽區,111685,3,2.686
新北市鶯歌區,89024,1,1.123
新北市中和區,415055,2,0.482
新北市樹林區,184102,4,2.173
新北市深坑區,23590,0,0
新北市板橋區,555684,5,0.9
新北市石碇區,7861,0,0
新北市新莊區,412079,3,0.728
新北市泰山區,78508,3,3.821
新北市三重區,389112,3,0.771
新北市雙溪區,9403,1,10.635
新北市貢寮區,13070,0,0
新北市汐止區,195146,2,1.025
新北市萬里區,22680,0,0
新北市金山區,22391,0,0
新北市石門區,12740,0,0
新竹市北區,148757,3,2.017
新竹市香山區,76391,0,0
新竹市東區,207218,3,1.448
新竹縣峨眉鄉,5716,0,0
新竹縣竹東鎮,96054,4,4.164
新竹縣新埔鎮,34354,1,2.911
新竹縣關西鎮,30573,1,3.271
新竹縣湖口鄉,77156,1,1.296
新竹縣芎林鄉,20299,0,0
新竹縣橫山鄉,13739,3,21.836
新竹縣北埔鄉,9784,0,0
新竹縣寶山鄉,14314,0,0
新竹縣尖石鄉,9457,0,0
新竹縣五峰鄉,4708,0,0
新竹縣竹北市,165877,2,1.206
新竹縣新豐鄉,55947,3,5.362
桃園市蘆竹區,151942,2,1.316
桃園市龜山區,142496,1,0.702
桃園市龍潭區,116559,1,0.858
桃園市復興區,10934,0,0
桃園市觀音區,63731,2,3.138
桃園市桃園區,419079,2,0.477
桃園市大園區,84692,4,4.723
桃園市新屋區,48065,2,4.161
桃園市楊梅區,157769,1,0.634
桃園市大溪區,92116,2,2.171
桃園市八德區,182188,5,2.744
桃園市中壢區,383037,6,1.566
桃園市平鎮區,213358,5,2.343
澎湖縣馬公市,60454,1,1.654
澎湖縣湖西鄉,14319,0,0
澎湖縣白沙鄉,9786,0,0
澎湖縣西嶼鄉,8432,1,11.86
澎湖縣望安鄉,5107,0,0
澎湖縣七美鄉,3752,0,0
臺中市南屯區,162343,2,1.232
臺中市烏日區,71623,0,0
臺中市新社區,25236,1,3.963
臺中市石岡區,15371,0,0
臺中市外埔區,31808,0,0
臺中市大肚區,56420,1,1.772
臺中市霧峰區,64500,3,4.651
臺中市太平區,181975,2,1.099
臺中市大里區,206646,3,1.452
臺中市和平區,10805,0,0
臺中市中區,19313,1,5.178
臺中市東區,75002,3,4
臺中市南區,120310,1,0.831
臺中市大甲區,77545,9,11.606
臺中市大安區,19633,1,5.093
臺中市龍井區,76178,4,5.251
臺中市西區,115829,2,1.727
臺中市北區,147525,2,1.356
臺中市西屯區,219049,5,2.283
臺中市北屯區,260437,1,0.384
臺中市豐原區,166524,1,0.601
臺中市東勢區,51444,0,0
臺中市沙鹿區,88020,4,4.544
臺中市后里區,54113,1,1.848
臺中市神岡區,64975,0,0
臺中市潭子區,105394,0,0
臺中市大雅區,92806,1,1.078
臺中市清水區,85973,2,2.326
臺中市梧棲區,56682,2,3.528
臺北市大安區,313983,4,1.274
臺北市文山區,274276,3,1.094
臺北市信義區,229803,2,0.87
臺北市萬華區,194893,3,1.539
臺北市中正區,163469,5,3.059
臺北市南港區,121414,0,0
臺北市松山區,210504,0,0
臺北市大同區,131077,0,0
臺北市中山區,230892,0,0
臺北市內湖區,286254,1,0.349
臺北市士林區,290814,3,1.032
臺北市北投區,257734,1,0.388
