area,population,death,rate
南投縣南投市,99364,5,5.032
南投縣埔里鎮,80218,12,14.959
南投縣草屯鎮,97291,4,4.111
南投縣竹山鎮,54157,3,5.539
南投縣集集鎮,10687,0,0
南投縣名間鄉,38092,1,2.625
南投縣鹿谷鄉,17555,4,22.786
南投縣中寮鄉,14604,1,6.847
南投縣魚池鄉,15680,1,6.378
南投縣國姓鄉,18400,1,5.435
南投縣水里鄉,17361,1,5.76
南投縣信義鄉,16047,0,0
南投縣仁愛鄉,15827,2,12.637
嘉義市東區,121167,6,4.952
嘉義市西區,147268,7,4.753
嘉義縣太保市,38166,10,26.201
嘉義縣中埔鄉,44364,3,6.762
嘉義縣番路鄉,11324,3,26.492
嘉義縣水上鄉,49225,2,4.063
嘉義縣東石鄉,24314,5,20.564
嘉義縣朴子市,42081,5,11.882
嘉義縣大林鎮,30864,2,6.48
嘉義縣民雄鄉,71355,8,11.212
嘉義縣溪口鄉,14395,2,13.894
嘉義縣新港鄉,31606,2,6.328
嘉義縣六腳鄉,22697,4,17.623
嘉義縣義竹鄉,18054,4,22.156
嘉義縣鹿草鄉,15215,1,6.572
嘉義縣竹崎鄉,35345,3,8.488
嘉義縣梅山鄉,19088,0,0
嘉義縣大埔鄉,4595,0,0
嘉義縣阿里山鄉,5559,0,0
嘉義縣布袋鎮,26503,1,3.773
基隆市暖暖區,38611,1,2.59
基隆市七堵區,53783,3,5.578
基隆市仁愛區,43447,3,6.905
基隆市信義區,52614,2,3.801
基隆市中正區,51532,5,9.703
基隆市中山區,47156,0,0
基隆市安樂區,82332,6,7.288
宜蘭縣蘇澳鎮,39353,2,5.082
宜蘭縣五結鄉,39697,4,10.076
宜蘭縣宜蘭市,95727,9,9.402
宜蘭縣壯圍鄉,24335,2,8.219
宜蘭縣羅東鎮,72340,2,2.765
宜蘭縣員山鄉,32264,0,0
宜蘭縣冬山鄉,52979,7,13.213
宜蘭縣三星鄉,21381,2,9.354
宜蘭縣大同鄉,6149,4,65.051
宜蘭縣頭城鎮,29050,4,13.769
宜蘭縣南澳鄉,5971,3,50.243
宜蘭縣礁溪鄉,35460,3,8.46
屏東縣佳冬鄉,18941,3,15.839
屏東縣竹田鄉,16990,4,23.543
屏東縣萬丹鄉,50497,5,9.902
屏東縣屏東市,199358,15,7.524
屏東縣潮州鎮,53937,2,3.708
屏東縣長治鄉,29532,6,20.317
屏東縣麟洛鄉,10979,1,9.108
屏東縣九如鄉,21998,3,13.638
屏東縣里港鄉,25925,5,19.286
屏東縣鹽埔鄉,25479,1,3.925
屏東縣高樹鄉,24132,2,8.288
屏東縣萬巒鄉,20524,1,4.872
屏東縣內埔鄉,53898,8,14.843
屏東縣新埤鄉,9791,5,51.067
屏東縣崁頂鄉,15421,2,12.969
屏東縣南州鄉,10554,1,9.475
屏東縣琉球鄉,12241,0,0
屏東縣三地門鄉,7677,0,0
屏東縣霧臺鄉,3298,0,0
屏東縣瑪家鄉,6763,1,14.786
屏東縣泰武鄉,5372,0,0
屏東縣來義鄉,7428,0,0
屏東縣春日鄉,4935,0,0
屏東縣獅子鄉,4928,0,0
屏東縣東港鎮,47424,1,2.109
屏東縣恆春鎮,30697,2,6.515
屏東縣枋寮鄉,24159,6,24.835
屏東縣新園鄉,34649,6,17.317
屏東縣林邊鄉,17706,1,5.648
屏東縣車城鄉,8480,1,11.792
屏東縣滿州鄉,7801,2,25.638
屏東縣枋山鄉,5402,3,55.535
屏東縣牡丹鄉,4918,0,0
彰化縣社頭鄉,42725,3,7.022
彰化縣員林市,124863,10,8.009
彰化縣田中鎮,41441,0,0
彰化縣彰化市,232402,8,3.442
彰化縣和美鎮,90682,8,8.822
彰化縣線西鄉,16832,3,17.823
彰化縣伸港鄉,37237,0,0
彰化縣秀水鄉,39171,4,10.212
彰化縣花壇鄉,45681,7,15.324
彰化縣芬園鄉,23400,0,0
彰化縣溪湖鎮,55319,3,5.423
彰化縣大村鄉,36994,2,5.406
彰化縣埔鹽鄉,32319,6,18.565
彰化縣埔心鄉,34722,2,5.76
彰化縣永靖鄉,36799,0,0
彰化縣二水鄉,14983,1,6.674
彰化縣二林鎮,50295,7,13.918
彰化縣埤頭鄉,30397,5,16.449
彰化縣芳苑鄉,33274,7,21.037
彰化縣大城鄉,16532,3,18.147
彰化縣竹塘鄉,14999,3,20.001
彰化縣溪州鄉,29512,6,20.331
彰化縣鹿港鎮,86892,5,5.754
彰化縣福興鄉,46869,2,4.267
彰化縣北斗鎮,33296,2,6.007
彰化縣田尾鄉,27088,2,7.383
新北市永和區,221081,2,0.905
新北市新店區,302446,6,1.984
新北市土城區,237048,5,2.109
新北市蘆洲區,201647,7,3.471
新北市五股區,87046,3,3.446
新北市坪林區,6678,2,29.949
新北市平溪區,4604,0,0
新北市烏來區,6404,1,15.615
新北市淡水區,176068,4,2.272
新北市瑞芳區,39712,2,5.036
新北市林口區,112955,3,2.656
新北市三芝區,22837,2,8.758
新北市八里區,39008,4,10.254
新北市三峽區,116176,8,6.886
新北市鶯歌區,86589,2,2.31
新北市中和區,412101,6,1.456
新北市樹林區,183832,6,3.264
新北市深坑區,23618,1,4.234
新北市板橋區,555688,10,1.8
新北市石碇區,7664,1,13.048
新北市新莊區,419116,13,3.102
新北市泰山區,78801,6,7.614
新北市三重區,385403,16,4.151
新北市雙溪區,8767,0,0
新北市貢寮區,12150,2,16.461
新北市汐止區,201658,4,1.984
新北市萬里區,21948,2,9.112
新北市金山區,21554,1,4.64
新北市石門區,11999,0,0
新竹市北區,152018,8,5.263
新竹市香山區,78355,11,14.039
新竹市東區,216986,8,3.687
新竹縣峨眉鄉,5529,0,0
新竹縣竹東鎮,96369,5,5.188
新竹縣新埔鎮,32986,7,21.221
新竹縣關西鎮,28227,1,3.543
新竹縣湖口鄉,77677,6,7.724
新竹縣芎林鄉,19947,2,10.027
新竹縣橫山鄉,12855,1,7.779
新竹縣北埔鄉,9243,1,10.819
新竹縣寶山鄉,14560,2,13.736
新竹縣尖石鄉,9597,0,0
新竹縣五峰鄉,4649,1,21.51
新竹縣竹北市,190945,7,3.666
新竹縣新豐鄉,57150,1,1.75
桃園市蘆竹區,165345,12,7.258
桃園市龜山區,161770,7,4.327
桃園市龍潭區,123566,8,6.474
桃園市復興區,12119,0,0
桃園市觀音區,67593,5,7.397
桃園市桃園區,450028,11,2.444
桃園市大園區,92046,6,6.518
桃園市新屋區,49196,6,12.196
桃園市楊梅區,171776,11,6.404
桃園市大溪區,95146,14,14.714
桃園市八德區,204143,9,4.409
桃園市中壢區,414676,17,4.1
桃園市平鎮區,227601,12,5.272
澎湖縣馬公市,62633,1,1.597
澎湖縣湖西鄉,14804,3,20.265
澎湖縣白沙鄉,9816,0,0
澎湖縣西嶼鄉,8306,0,0
澎湖縣望安鄉,5295,0,0
澎湖縣七美鄉,3822,0,0
臺中市南屯區,171952,5,2.908
臺中市烏日區,75470,6,7.95
臺中市新社區,24424,3,12.283
臺中市石岡區,14854,0,0
臺中市外埔區,32209,2,6.209
臺中市大肚區,57261,4,6.986
臺中市霧峰區,65519,6,9.158
臺中市太平區,192993,5,2.591
臺中市大里區,212641,17,7.995
臺中市和平區,10947,0,0
臺中市中區,18505,2,10.808
臺中市東區,76113,2,2.628
臺中市南區,126271,6,4.752
臺中市大甲區,77375,6,7.754
臺中市大安區,19174,3,15.646
臺中市龍井區,77886,2,2.568
臺中市西區,115691,4,3.457
