area,population,death,rate
南投縣南投市,99476,1,1.005
南投縣埔里鎮,80276,2,2.491
南投縣草屯鎮,97146,1,1.029
南投縣竹山鎮,54460,2,3.672
南投縣集集鎮,10776,0,0
南投縣名間鄉,38226,0,0
南投縣鹿谷鄉,17661,0,0
南投縣中寮鄉,14651,1,6.825
南投縣魚池鄉,15767,1,6.342
南投縣國姓鄉,18583,0,0
南投縣水里鄉,17457,1,5.728
南投縣信義鄉,16193,0,0
南投縣仁愛鄉,15934,0,0
嘉義市東區,121126,0,0
嘉義市西區,147453,1,0.678
嘉義縣太保市,38116,4,10.494
嘉義縣中埔鄉,44544,1,2.245
嘉義縣番路鄉,11415,0,0
嘉義縣水上鄉,49290,0,0
嘉義縣東石鄉,24529,0,0
嘉義縣朴子市,42101,0,0
嘉義縣大林鎮,30889,0,0
嘉義縣民雄鄉,71342,2,2.803
嘉義縣溪口鄉,14555,1,6.87
嘉義縣新港鄉,31678,0,0
嘉義縣六腳鄉,22902,1,4.366
嘉義縣義竹鄉,18203,0,0
嘉義縣鹿草鄉,15327,0,0
嘉義縣竹崎鄉,35521,1,2.815
嘉義縣梅山鄉,19249,0,0
嘉義縣大埔鄉,4609,0,0
嘉義縣阿里山鄉,5584,0,0
嘉義縣布袋鎮,26705,0,0
基隆市暖暖區,38601,0,0
基隆市七堵區,53784,1,1.859
基隆市仁愛區,43727,0,0
基隆市信義區,52613,2,3.801
基隆市中正區,51655,1,1.936
基隆市中山區,47315,0,0
基隆市安樂區,82292,3,3.646
宜蘭縣蘇澳鎮,39595,2,5.051
宜蘭縣五結鄉,39514,0,0
宜蘭縣宜蘭市,95686,1,1.045
宜蘭縣壯圍鄉,24328,0,0
宜蘭縣羅東鎮,72449,1,1.38
宜蘭縣員山鄉,32283,0,0
宜蘭縣冬山鄉,52876,2,3.782
宜蘭縣三星鄉,21385,0,0
宜蘭縣大同鄉,6235,2,32.077
宜蘭縣頭城鎮,29095,0,0
宜蘭縣南澳鄉,6013,1,16.631
宜蘭縣礁溪鄉,35576,0,0
屏東縣佳冬鄉,19072,0,0
屏東縣竹田鄉,17099,1,5.848
屏東縣萬丹鄉,50485,2,3.962
屏東縣屏東市,199476,1,0.501
屏東縣潮州鎮,53907,0,0
屏東縣長治鄉,29630,1,3.375
屏東縣麟洛鄉,11035,1,9.062
屏東縣九如鄉,22062,0,0
屏東縣里港鄉,26018,1,3.843
屏東縣鹽埔鄉,25674,0,0
屏東縣高樹鄉,24335,0,0
屏東縣萬巒鄉,20565,1,4.863
屏東縣內埔鄉,54090,0,0
屏東縣新埤鄉,9940,1,10.06
屏東縣崁頂鄉,15518,0,0
屏東縣南州鄉,10618,0,0
屏東縣琉球鄉,12351,0,0
屏東縣三地門鄉,7700,0,0
屏東縣霧臺鄉,3348,0,0
屏東縣瑪家鄉,6815,0,0
屏東縣泰武鄉,5393,0,0
屏東縣來義鄉,7440,0,0
屏東縣春日鄉,4902,0,0
屏東縣獅子鄉,4941,0,0
屏東縣東港鎮,47569,1,2.102
屏東縣恆春鎮,30789,1,3.248
屏東縣枋寮鄉,24278,2,8.238
屏東縣新園鄉,34843,1,2.87
屏東縣林邊鄉,17780,0,0
屏東縣車城鄉,8546,1,11.701
屏東縣滿州鄉,7919,0,0
屏東縣枋山鄉,5479,0,0
屏東縣牡丹鄉,4970,0,0
彰化縣社頭鄉,42850,2,4.667
