area,population,death,rate
南投縣南投市,101673,12,11.803
南投縣埔里鎮,82254,17,20.668
南投縣草屯鎮,98853,17,17.197
南投縣竹山鎮,56083,15,26.746
南投縣集集鎮,11222,3,26.733
南投縣名間鄉,39691,9,22.675
南投縣鹿谷鄉,18250,3,16.438
南投縣中寮鄉,15360,3,19.531
南投縣魚池鄉,16302,2,12.268
南投縣國姓鄉,19388,1,5.158
南投縣水里鄉,18357,4,21.79
南投縣信義鄉,16540,5,30.23
南投縣仁愛鄉,15765,4,25.373
嘉義市東區,122912,8,6.509
嘉義市西區,147503,12,8.135
嘉義縣太保市,37202,13,34.944
嘉義縣中埔鄉,45746,13,28.418
嘉義縣番路鄉,11880,3,25.253
嘉義縣水上鄉,50461,10,19.817
嘉義縣東石鄉,25783,5,19.393
嘉義縣朴子市,42972,8,18.617
嘉義縣大林鎮,31713,7,22.073
嘉義縣民雄鄉,71914,11,15.296
嘉義縣溪口鄉,15104,5,33.104
嘉義縣新港鄉,32831,3,9.138
嘉義縣六腳鄉,24198,7,28.928
嘉義縣義竹鄉,19267,9,46.712
嘉義縣鹿草鄉,16129,5,31
嘉義縣竹崎鄉,36572,4,10.937
嘉義縣梅山鄉,20033,3,14.975
嘉義縣大埔鄉,4620,0,0
嘉義縣阿里山鄉,5720,0,0
嘉義縣布袋鎮,27974,3,10.724
基隆市暖暖區,38391,5,13.024
基隆市七堵區,54075,6,11.096
基隆市仁愛區,45659,4,8.761
基隆市信義區,51593,4,7.753
基隆市中正區,52757,4,7.582
基隆市中山區,48404,2,4.132
基隆市安樂區,81347,3,3.688
宜蘭縣蘇澳鎮,40738,7,17.183
宜蘭縣五結鄉,39510,9,22.779
宜蘭縣宜蘭市,96035,11,11.454
宜蘭縣壯圍鄉,24279,4,16.475
宜蘭縣羅東鎮,72441,9,12.424
宜蘭縣員山鄉,32283,5,15.488
宜蘭縣冬山鄉,53610,13,24.249
宜蘭縣三星鄉,21421,1,4.668
宜蘭縣大同鄉,6087,1,16.428
宜蘭縣頭城鎮,29792,11,36.923
宜蘭縣南澳鄉,6036,2,33.135
宜蘭縣礁溪鄉,35838,3,8.371
屏東縣佳冬鄉,19929,5,25.089
屏東縣竹田鄉,17576,6,34.137
屏東縣萬丹鄉,51709,14,27.075
屏東縣屏東市,202633,33,16.286
屏東縣潮州鎮,54730,6,10.963
屏東縣長治鄉,30303,14,46.2
屏東縣麟洛鄉,11245,1,8.893
屏東縣九如鄉,22090,8,36.215
屏東縣里港鄉,26979,9,33.359
屏東縣鹽埔鄉,26377,14,53.077
屏東縣高樹鄉,25183,10,39.709
屏東縣萬巒鄉,20760,5,24.085
屏東縣內埔鄉,55674,15,26.943
屏東縣新埤鄉,10065,6,59.613
屏東縣崁頂鄉,16160,4,24.752
屏東縣南州鄉,10867,3,27.607
屏東縣琉球鄉,12530,1,7.981
屏東縣三地門鄉,7704,1,12.98
屏東縣霧臺鄉,3327,0,0
屏東縣瑪家鄉,6773,0,0
屏東縣泰武鄉,5217,0,0
屏東縣來義鄉,7567,0,0
屏東縣春日鄉,4797,0,0
屏東縣獅子鄉,4818,1,20.756
屏東縣東港鎮,48086,8,16.637
屏東縣恆春鎮,30887,13,42.089
屏東縣枋寮鄉,25140,8,31.822
屏東縣新園鄉,36248,7,19.311
屏東縣林邊鄉,18918,4,21.144
屏東縣車城鄉,8937,3,33.568
屏東縣滿州鄉,8017,2,24.947
屏東縣枋山鄉,5660,3,53.004
屏東縣牡丹鄉,4763,0,0
彰化縣社頭鄉,43476,9,20.701
彰化縣員林市,124790,18,14.424
彰化縣田中鎮,42524,4,9.406
彰化縣彰化市,234861,17,7.238
彰化縣和美鎮,91053,14,15.376
彰化縣線西鄉,17037,1,5.87
彰化縣伸港鄉,36462,5,13.713
彰化縣秀水鄉,39354,1,2.541
彰化縣花壇鄉,45951,9,19.586
彰化縣芬園鄉,24010,3,12.495
彰化縣溪湖鎮,55727,9,16.15
彰化縣大村鄉,36492,6,16.442
彰化縣埔鹽鄉,32962,3,9.101
彰化縣埔心鄉,34840,7,20.092
彰化縣永靖鄉,38007,3,7.893
彰化縣二水鄉,15637,5,31.975
彰化縣二林鎮,51918,11,21.187
彰化縣埤頭鄉,30845,3,9.726
彰化縣芳苑鄉,34336,4,11.65
彰化縣大城鄉,17525,4,22.825
彰化縣竹塘鄉,15642,4,25.572
彰化縣溪州鄉,30539,12,39.294
彰化縣鹿港鎮,86351,9,10.423
彰化縣福興鄉,47588,11,23.115
彰化縣北斗鎮,33193,3,9.038
彰化縣田尾鄉,27576,3,10.879
新北市永和區,225482,7,3.104
新北市新店區,300201,5,1.666
新北市土城區,238588,14,5.868
新北市蘆洲區,200003,5,2.5
新北市五股區,82872,11,13.273
新北市坪林區,6481,3,46.289
新北市平溪區,4871,2,41.059
新北市烏來區,6182,1,16.176
新北市淡水區,161990,11,6.791
新北市瑞芳區,41009,2,4.877
新北市林口區,100101,4,3.996
新北市三芝區,23497,2,8.512
新北市八里區,37626,5,13.289
新北市三峽區,112569,10,8.883
新北市鶯歌區,88037,3,3.408
新北市中和區,414467,15,3.619
新北市樹林區,184205,14,7.6
新北市深坑區,23575,0,0
新北市板橋區,554289,18,3.247
新北市石碇區,7851,0,0
新北市新莊區,413026,14,3.39
新北市泰山區,78750,8,10.159
新北市三重區,388473,14,3.604
新北市雙溪區,9247,3,32.443
新北市貢寮區,12869,4,31.082
新北市汐止區,196054,7,3.57
新北市萬里區,22666,2,8.824
新北市金山區,22233,3,13.493
新北市石門區,12641,2,15.822
新竹市北區,149088,11,7.378
新竹市香山區,76746,9,11.727
新竹市東區,207940,17,8.175
新竹縣峨眉鄉,5637,2,35.48
新竹縣竹東鎮,96225,12,12.471
新竹縣新埔鎮,34096,7,20.53
新竹縣關西鎮,30002,7,23.332
新竹縣湖口鄉,77308,10,12.935
新竹縣芎林鄉,20269,5,24.668
新竹縣橫山鄉,13538,8,59.093
新竹縣北埔鄉,9687,2,20.646
新竹縣寶山鄉,14341,4,27.892
新竹縣尖石鄉,9369,1,10.673
新竹縣五峰鄉,4621,0,0
新竹縣竹北市,170348,8,4.696
新竹縣新豐鄉,56086,7,12.481
桃園市蘆竹區,155118,9,5.802
桃園市龜山區,145319,14,9.634
桃園市龍潭區,118271,16,13.528
桃園市復興區,10920,1,9.158
桃園市觀音區,64687,9,13.913
桃園市桃園區,426565,20,4.689
桃園市大園區,85423,16,18.73
桃園市新屋區,48360,8,16.543
桃園市楊梅區,160817,11,6.84
桃園市大溪區,93305,17,18.22
桃園市八德區,187003,18,9.626
桃園市中壢區,389230,23,5.909
桃園市平鎮區,217495,22,10.115
澎湖縣馬公市,60914,7,11.492
澎湖縣湖西鄉,14404,1,6.943
澎湖縣白沙鄉,9714,0,0
澎湖縣西嶼鄉,8426,3,35.604
澎湖縣望安鄉,5100,0,0
澎湖縣七美鄉,3759,1,26.603
臺中市南屯區,164290,11,6.695
臺中市烏日區,72465,9,12.42
臺中市新社區,25081,4,15.948
臺中市石岡區,15295,2,13.076
臺中市外埔區,31872,3,9.413
臺中市大肚區,56625,8,14.128
臺中市霧峰區,64625,9,13.926
臺中市太平區,183777,13,7.074
臺中市大里區,208248,5,2.401
臺中市和平區,10714,1,9.334
臺中市中區,19033,2,10.508
臺中市東區,75182,15,19.952
臺中市南區,121661,2,1.644
臺中市大甲區,77684,18,23.171
臺中市大安區,19572,4,20.437
臺中市龍井區,76563,8,10.449
臺中市西區,115705,6,5.186
臺中市北區,147454,7,4.747
臺中市西屯區,221632,22,9.926
臺中市北屯區,264696,20,7.556
臺中市豐原區,166745,9,5.397
臺中市東勢區,51313,6,11.693
臺中市沙鹿區,89529,15,16.754
臺中市后里區,54294,7,12.893
臺中市神岡區,65192,8,12.271
臺中市潭子區,106495,6,5.634
臺中市大雅區,93560,5,5.344
臺中市清水區,86142,8,9.287
臺中市梧棲區,57059,12,21.031
臺北市大安區,312795,14,4.476
臺北市文山區,275303,9,3.269
臺北市信義區,229223,11,4.799
臺北市萬華區,194324,14,7.204
臺北市中正區,162279,17,10.476
臺北市南港區,122134,7,5.731
臺北市松山區,209460,1,0.477
臺北市大同區,130836,5,3.822
臺北市中山區,231060,11,4.761
臺北市內湖區,287274,10,3.481
臺北市士林區,290532,8,2.754
臺北市北投區,257589,14,5.435
臺南市新營區,78144,10,12.797
臺南市鹽水區,26132,3,11.48
臺南市白河區,29315,2,6.822
臺南市柳營區,21647,6,27.717
臺南市後壁區,24359,5,20.526
臺南市東山區,21649,3,13.857
臺南市麻豆區,44966,13,28.911
臺南市下營區,24816,6,24.178
臺南市六甲區,22592,3,13.279
臺南市官田區,21716,4,18.42
臺南市大內區,10073,2,19.855
臺南市佳里區,59577,14,23.499
臺南市學甲區,26688,5,18.735
臺南市西港區,24921,4,16.051
臺南市新化區,43831,12,27.378
臺南市新市區,35844,14,39.058
臺南市安定區,30307,8,26.397
臺南市玉井區,14390,1,6.949
臺南市楠西區,10034,2,19.932
臺南市南化區,8902,1,11.233
臺南市左鎮區,5069,1,19.728
臺南市仁德區,73817,9,12.192
臺南市歸仁區,67894,13,19.147
臺南市關廟區,34725,7,20.158
臺南市龍崎區,4209,4,95.034
臺南市永康區,230698,19,8.236
臺南市北區,132741,13,9.794
臺南市七股區,23361,8,34.245
臺南市將軍區,20317,3,14.766
臺南市北門區,11536,4,34.674
臺南市安南區,189403,26,13.727
臺南市南區,125786,10,7.95
臺南市東區,188775,8,4.238
臺南市安平區,65359,5,7.65
臺南市中西區,77445,6,7.747
臺南市善化區,46905,6,12.792
臺南市山上區,7447,3,40.285
臺東縣成功鎮,14690,1,6.807
臺東縣綠島鄉,3790,0,0
臺東縣蘭嶼鄉,5051,1,19.798
臺東縣鹿野鄉,8129,6,73.81
臺東縣池上鄉,8503,2,23.521
臺東縣延平鄉,3576,0,0
臺東縣金峰鄉,3587,0,0
臺東縣臺東市,106788,0,0
臺東縣卑南鄉,17499,0,0
臺東縣東河鄉,8861,3,33.856
臺東縣長濱鄉,7591,5,65.867
臺東縣太麻里鄉,11380,9,79.086
臺東縣達仁鄉,3589,0,0
臺東縣大武鄉,6334,0,0
臺東縣關山鎮,8944,5,55.903
臺東縣海端鄉,4333,0,0
花蓮縣鳳林鎮,11116,3,26.988
