area,population,death,rate
南投縣南投市,98818,4,4.048
南投縣埔里鎮,78802,7,8.883
南投縣草屯鎮,97361,9,9.244
南投縣竹山鎮,53131,0,0
南投縣集集鎮,10360,2,19.305
南投縣名間鄉,37273,5,13.415
南投縣鹿谷鄉,17029,4,23.489
南投縣中寮鄉,14164,1,7.06
南投縣魚池鄉,15288,1,6.541
南投縣國姓鄉,17726,2,11.283
南投縣水里鄉,16836,0,0
南投縣信義鄉,15792,2,12.665
南投縣仁愛鄉,15757,4,25.386
嘉義市東區,119277,3,2.515
嘉義市西區,145769,5,3.43
嘉義縣太保市,38641,7,18.115
嘉義縣中埔鄉,43953,8,18.201
嘉義縣番路鄉,11109,4,36.007
嘉義縣水上鄉,48774,5,10.251
嘉義縣東石鄉,23600,1,4.237
嘉義縣朴子市,41471,5,12.057
嘉義縣大林鎮,30276,5,16.515
嘉義縣民雄鄉,71032,5,7.039
嘉義縣溪口鄉,13908,2,14.38
嘉義縣新港鄉,31001,4,12.903
嘉義縣六腳鄉,21958,3,13.662
嘉義縣義竹鄉,17454,2,11.459
嘉義縣鹿草鄉,14784,4,27.056
嘉義縣竹崎鄉,34512,3,8.693
嘉義縣梅山鄉,18514,2,10.803
嘉義縣大埔鄉,4558,1,21.939
嘉義縣阿里山鄉,5461,0,0
嘉義縣布袋鎮,25750,3,11.65
基隆市暖暖區,38521,2,5.192
基隆市七堵區,53530,1,1.868
基隆市仁愛區,42442,3,7.068
基隆市信義區,53103,1,1.883
基隆市中正區,50969,1,1.962
基隆市中山區,46132,1,2.168
基隆市安樂區,81499,3,3.681
宜蘭縣蘇澳鎮,38629,10,25.887
宜蘭縣五結鄉,40331,2,4.959
宜蘭縣宜蘭市,95300,9,9.444
宜蘭縣壯圍鄉,24419,3,12.286
宜蘭縣羅東鎮,71245,7,9.825
宜蘭縣員山鄉,32177,8,24.862
宜蘭縣冬山鄉,52954,3,5.665
宜蘭縣三星鄉,21221,6,28.274
宜蘭縣大同鄉,6075,0,0
宜蘭縣頭城鎮,28706,3,10.451
宜蘭縣南澳鄉,5966,1,16.762
宜蘭縣礁溪鄉,35128,6,17.08
屏東縣佳冬鄉,18429,0,0
屏東縣竹田鄉,16423,3,18.267
屏東縣萬丹鄉,49986,8,16.004
屏東縣屏東市,196839,21,10.669
屏東縣潮州鎮,53857,5,9.284
屏東縣長治鄉,29364,5,17.028
屏東縣麟洛鄉,10721,1,9.327
屏東縣九如鄉,21803,2,9.173
屏東縣里港鄉,25684,5,19.467
屏東縣鹽埔鄉,24824,3,12.085
屏東縣高樹鄉,23612,1,4.235
屏東縣萬巒鄉,20055,6,29.918
屏東縣內埔鄉,52978,4,7.55
屏東縣新埤鄉,9471,0,0
屏東縣崁頂鄉,15247,3,19.676
屏東縣南州鄉,10270,2,19.474
屏東縣琉球鄉,12112,0,0
屏東縣三地門鄉,7689,0,0
屏東縣霧臺鄉,3230,0,0
屏東縣瑪家鄉,6729,0,0
屏東縣泰武鄉,5351,0,0
屏東縣來義鄉,7395,0,0
屏東縣春日鄉,4926,1,20.3
屏東縣獅子鄉,4804,1,20.816
屏東縣東港鎮,46585,2,4.293
屏東縣恆春鎮,30262,4,13.218
屏東縣枋寮鄉,23503,4,17.019
屏東縣新園鄉,33672,2,5.94
屏東縣林邊鄉,17174,2,11.646
屏東縣車城鄉,8238,0,0
屏東縣滿州鄉,7403,0,0
屏東縣枋山鄉,5152,5,97.05
屏東縣牡丹鄉,4843,0,0
彰化縣社頭鄉,42288,2,4.729
彰化縣員林市,123570,5,4.046
彰化縣田中鎮,40438,3,7.419
彰化縣彰化市,230016,10,4.348
彰化縣和美鎮,89842,5,5.565
彰化縣線西鄉,16579,1,6.032
彰化縣伸港鄉,37798,4,10.583
彰化縣秀水鄉,38836,4,10.3
彰化縣花壇鄉,45068,4,8.875
彰化縣芬園鄉,22947,1,4.358
彰化縣溪湖鎮,54591,3,5.495
彰化縣大村鄉,39027,4,10.249
彰化縣埔鹽鄉,31814,2,6.287
彰化縣埔心鄉,34226,5,14.609
彰化縣永靖鄉,36098,5,13.851
彰化縣二水鄉,14510,0,0
彰化縣二林鎮,49380,6,12.151
彰化縣埤頭鄉,29904,2,6.688
彰化縣芳苑鄉,32413,3,9.256
彰化縣大城鄉,15940,2,12.547
彰化縣竹塘鄉,14688,1,6.808
彰化縣溪州鄉,28985,3,10.35
彰化縣鹿港鎮,86196,7,8.121
彰化縣福興鄉,46136,4,8.67
彰化縣北斗鎮,33363,3,8.992
彰化縣田尾鄉,26619,0,0
新北市永和區,218180,9,4.125
新北市新店區,302126,9,2.979
新北市土城區,238020,3,1.26
新北市蘆洲區,202258,3,1.483
新北市五股區,89949,13,14.453
新北市坪林區,6687,1,14.954
新北市平溪區,4360,0,0
新北市烏來區,6333,0,0
新北市淡水區,184256,5,2.714
新北市瑞芳區,38810,1,2.577
新北市林口區,122892,4,3.255
新北市三芝區,22469,2,8.901
新北市八里區,39791,3,7.539
新北市三峽區,116648,3,2.572
新北市鶯歌區,87947,7,7.959
新北市中和區,409235,5,1.222
新北市樹林區,182831,8,4.376
新北市深坑區,23743,1,4.212
新北市板橋區,555747,9,1.619
新北市石碇區,7495,2,26.684
新北市新莊區,422872,9,2.128
新北市泰山區,77996,8,10.257
新北市三重區,383566,13,3.389
新北市雙溪區,8329,0,0
新北市貢寮區,11676,1,8.565
新北市汐止區,205577,3,1.459
新北市萬里區,21549,0,0
新北市金山區,20963,1,4.77
新北市石門區,11329,0,0
新竹市北區,152432,5,3.28
新竹市香山區,78738,5,6.35
新竹市東區,221449,9,4.064
新竹縣峨眉鄉,5343,2,37.432
新竹縣竹東鎮,96894,3,3.096
新竹縣新埔鎮,33009,4,12.118
新竹縣關西鎮,27580,4,14.503
新竹縣湖口鄉,79356,7,8.821
新竹縣芎林鄉,19872,3,15.097
新竹縣橫山鄉,12445,1,8.035
新竹縣北埔鄉,8905,1,11.23
新竹縣寶山鄉,14555,2,13.741
新竹縣尖石鄉,9565,1,10.455
新竹縣五峰鄉,4448,0,0
新竹縣竹北市,203603,9,4.42
新竹縣新豐鄉,57668,5,8.67
桃園市蘆竹區,166678,12,7.2
桃園市龜山區,165501,10,6.042
桃園市龍潭區,124406,8,6.431
桃園市復興區,12378,0,0
桃園市觀音區,69287,9,12.989
桃園市桃園區,458625,16,3.489
桃園市大園區,93765,12,12.798
桃園市新屋區,49231,10,20.312
桃園市楊梅區,176054,10,5.68
桃園市大溪區,95291,4,4.198
桃園市八德區,209404,9,4.298
桃園市中壢區,422662,19,4.495
桃園市平鎮區,228687,4,1.749
澎湖縣馬公市,62968,4,6.352
澎湖縣湖西鄉,15232,0,0
澎湖縣白沙鄉,9922,0,0
澎湖縣西嶼鄉,8314,2,24.056
澎湖縣望安鄉,5404,0,0
澎湖縣七美鄉,3853,0,0
臺中市南屯區,176851,7,3.958
臺中市烏日區,76853,8,10.409
臺中市新社區,23910,5,20.912
臺中市石岡區,14537,1,6.879
臺中市外埔區,31787,2,6.292
臺中市大肚區,56598,4,7.067
臺中市霧峰區,64892,4,6.164
臺中市太平區,195329,6,3.072
臺中市大里區,212726,14,6.581
臺中市和平區,10827,3,27.709
臺中市中區,18014,2,11.102
臺中市東區,75506,3,3.973
臺中市南區,126578,9,7.11
臺中市大甲區,75876,4,5.272
臺中市大安區,18721,1,5.342
臺中市龍井區,78079,7,8.965
臺中市西區,113961,5,4.387
臺中市北區,145778,6,4.116
臺中市西屯區,231567,6,2.591
臺中市北屯區,289583,11,3.799
臺中市豐原區,165667,8,4.829
臺中市東勢區,48842,2,4.095
臺中市沙鹿區,95466,4,4.19
臺中市后里區,54133,4,7.389
臺中市神岡區,65206,5,7.668
臺中市潭子區,109149,3,2.749
臺中市大雅區,95800,1,1.044
臺中市清水區,88247,8,9.065
臺中市梧棲區,59447,8,13.457
臺北市大安區,297899,8,2.685
臺北市文山區,265547,5,1.883
臺北市信義區,211559,5,2.363
臺北市萬華區,179969,9,5.001
臺北市中正區,153670,4,2.603
臺北市南港區,117435,2,1.703
臺北市松山區,197740,3,1.517
臺北市大同區,122952,5,4.067
臺北市中山區,220540,7,3.174
臺北市內湖區,280086,3,1.071
臺北市士林區,274775,8,2.911
臺北市北投區,247918,7,2.824
臺南市新營區,76078,8,10.516
臺南市鹽水區,24910,5,20.072
臺南市白河區,27021,1,3.701
臺南市柳營區,20776,3,14.44
臺南市後壁區,22559,2,8.866
臺南市東山區,19951,6,30.074
臺南市麻豆區,43661,8,18.323
臺南市下營區,23261,3,12.897
臺南市六甲區,21590,0,0
臺南市官田區,21138,2,9.462
臺南市大內區,9106,0,0
臺南市佳里區,58594,7,11.947
臺南市學甲區,25154,4,15.902
臺南市西港區,24520,6,24.47
臺南市新化區,43090,2,4.641
臺南市新市區,37728,2,5.301
臺南市安定區,30286,4,13.207
臺南市玉井區,13499,6,44.448
臺南市楠西區,9116,0,0
臺南市南化區,8320,0,0
臺南市左鎮區,4487,1,22.287
臺南市仁德區,76085,9,11.829
臺南市歸仁區,68072,8,11.752
臺南市關廟區,33989,1,2.942
臺南市龍崎區,3738,3,80.257
臺南市永康區,235385,8,3.399
臺南市北區,129247,8,6.19
臺南市七股區,22038,10,45.376
臺南市將軍區,18963,1,5.273
臺南市北門區,10477,1,9.545
臺南市安南區,196168,16,8.156
臺南市南區,123052,6,4.876
臺南市東區,183925,9,4.893
臺南市安平區,67218,4,5.951
臺南市中西區,78325,9,11.491
臺南市善化區,51022,8,15.68
臺南市山上區,7061,1,14.162
臺東縣成功鎮,13408,2,14.916
臺東縣綠島鄉,4079,0,0
臺東縣蘭嶼鄉,5202,0,0
臺東縣鹿野鄉,7539,2,26.529
臺東縣池上鄉,8045,1,12.43
臺東縣延平鄉,3566,0,0
臺東縣金峰鄉,3663,0,0
臺東縣臺東市,104486,5,4.785
臺東縣卑南鄉,16876,6,35.553
臺東縣東河鄉,8138,3,36.864
臺東縣長濱鄉,6843,0,0
臺東縣太麻里鄉,10823,1,9.24
臺東縣達仁鄉,3459,1,28.91
臺東縣大武鄉,5669,2,35.28
臺東縣關山鎮,8344,2,23.969
臺東縣海端鄉,4134,0,0
花蓮縣鳳林鎮,10783,2,18.548
花蓮縣光復鄉,12292,0,0
花蓮縣瑞穗鄉,11243,1,8.894
花蓮縣富里鄉,9920,2,20.161
花蓮縣萬榮鄉,6193,0,0
花蓮縣吉安鄉,83498,7,8.383
花蓮縣壽豐鄉,17454,2,11.459
花蓮縣豐濱鄉,4339,1,23.047
花蓮縣秀林鄉,16183,3,18.538
花蓮縣玉里鎮,23169,3,12.948
