area,population,death,rate
南投縣南投市,102060,7,6.859
南投縣埔里鎮,82560,10,12.112
南投縣草屯鎮,98854,9,9.104
南投縣竹山鎮,56206,12,21.35
南投縣集集鎮,11267,1,8.875
南投縣名間鄉,39797,4,10.051
南投縣鹿谷鄉,18333,2,10.909
南投縣中寮鄉,15429,2,12.963
南投縣魚池鄉,16377,1,6.106
南投縣國姓鄉,19469,1,5.136
南投縣水里鄉,18476,3,16.237
南投縣信義鄉,16559,5,30.195
南投縣仁愛鄉,15673,3,19.141
嘉義市東區,123216,6,4.869
嘉義市西區,147516,5,3.389
嘉義縣太保市,37057,5,13.493
嘉義縣中埔鄉,45837,9,19.635
嘉義縣番路鄉,11936,2,16.756
嘉義縣水上鄉,50541,5,9.893
嘉義縣東石鄉,25843,4,15.478
嘉義縣朴子市,43089,4,9.283
嘉義縣大林鎮,31877,4,12.548
嘉義縣民雄鄉,71880,3,4.174
嘉義縣溪口鄉,15175,2,13.18
嘉義縣新港鄉,32951,3,9.104
嘉義縣六腳鄉,24300,4,16.461
嘉義縣義竹鄉,19337,7,36.2
嘉義縣鹿草鄉,16179,3,18.543
嘉義縣竹崎鄉,36700,3,8.174
嘉義縣梅山鄉,20122,3,14.909
嘉義縣大埔鄉,4601,0,0
嘉義縣阿里山鄉,5709,0,0
嘉義縣布袋鎮,28052,2,7.13
基隆市暖暖區,38342,3,7.824
基隆市七堵區,54062,5,9.249
基隆市仁愛區,45958,4,8.704
基隆市信義區,51403,2,3.891
基隆市中正區,52873,2,3.783
基隆市中山區,48423,1,2.065
基隆市安樂區,81559,2,2.452
宜蘭縣蘇澳鎮,40827,6,14.696
宜蘭縣五結鄉,39427,6,15.218
宜蘭縣宜蘭市,96039,7,7.289
宜蘭縣壯圍鄉,24292,2,8.233
宜蘭縣羅東鎮,72584,8,11.022
宜蘭縣員山鄉,32314,3,9.284
宜蘭縣冬山鄉,53540,6,11.207
宜蘭縣三星鄉,21434,0,0
宜蘭縣大同鄉,6098,1,16.399
宜蘭縣頭城鎮,29857,7,23.445
宜蘭縣南澳鄉,6036,1,16.567
宜蘭縣礁溪鄉,35851,3,8.368
屏東縣佳冬鄉,20053,4,19.947
屏東縣竹田鄉,17589,2,11.371
屏東縣萬丹鄉,51871,13,25.062
屏東縣屏東市,203060,17,8.372
屏東縣潮州鎮,54727,2,3.655
屏東縣長治鄉,30368,9,29.636
屏東縣麟洛鄉,11241,1,8.896
屏東縣九如鄉,22098,6,27.152
屏東縣里港鄉,26932,6,22.278
屏東縣鹽埔鄉,26449,11,41.589
屏東縣高樹鄉,25253,4,15.84
屏東縣萬巒鄉,20814,4,19.218
屏東縣內埔鄉,55892,11,19.681
屏東縣新埤鄉,10078,4,39.69
屏東縣崁頂鄉,16212,2,12.337
屏東縣南州鄉,10924,2,18.308
屏東縣琉球鄉,12515,0,0
屏東縣三地門鄉,7729,1,12.938
屏東縣霧臺鄉,3359,0,0
屏東縣瑪家鄉,6702,0,0
屏東縣泰武鄉,5235,0,0
屏東縣來義鄉,7541,0,0
屏東縣春日鄉,4816,0,0
屏東縣獅子鄉,4828,1,20.713
屏東縣東港鎮,48084,5,10.398
屏東縣恆春鎮,30888,8,25.9
屏東縣枋寮鄉,25298,4,15.812
屏東縣新園鄉,36402,4,10.988
屏東縣林邊鄉,19041,2,10.504
屏東縣車城鄉,9004,3,33.319
屏東縣滿州鄉,8047,1,12.427
屏東縣枋山鄉,5669,2,35.28
屏東縣牡丹鄉,4803,0,0
彰化縣社頭鄉,43516,6,13.788
彰化縣員林市,124677,11,8.823
彰化縣田中鎮,42579,4,9.394
彰化縣彰化市,234864,12,5.109
彰化縣和美鎮,90913,9,9.9
彰化縣線西鄉,17023,1,5.874
彰化縣伸港鄉,36272,5,13.785
彰化縣秀水鄉,39347,0,0
彰化縣花壇鄉,45887,6,13.076
彰化縣芬園鄉,24026,2,8.324
彰化縣溪湖鎮,55723,4,7.178
彰化縣大村鄉,36435,6,16.468
彰化縣埔鹽鄉,33009,1,3.029
彰化縣埔心鄉,34875,2,5.735
彰化縣永靖鄉,38097,2,5.25
彰化縣二水鄉,15687,3,19.124
