縣市,鄉鎮市區,路口,件數,死亡人數,受傷人數,補助
桃園市,桃園區,經國路、南平路,6,0,7,有
臺北市,大安區,信義路四段、敦化南路一段,6,0,7,有
臺南市,永康區,復國一路、復華三街,6,0,7,有
臺中市,南區,高工路、工學二街,6,0,7,有
桃園市,中壢區,中央西路一段、中豐路,6,0,7,有
臺北市,中山區,林森北路、民生東路一段,6,0,7,有
桃園市,桃園區,中山路、國際路二段,6,0,7,無
桃園市,桃園區,中山路、上海路,6,0,7,無
新北市,板橋區,中山路、民權路,5,1,6,無
臺北市,萬華區,漢中街、成都路,5,2,3,有
新北市,三重區,重新路、重陽路,5,0,8,無
臺北市,文山區,辛亥路五段、辛亥路五段25巷,5,0,8,有
高雄市,左營區,自由三路、孟子路,5,0,8,有
臺中市,北區,進化北路、榮華街,5,0,8,有
臺北市,萬華區,昆明街、長沙街二段,5,0,8,有
桃園市,八德區,中華路、高城路,5,0,8,無
桃園市,桃園區,中山路、育樂街,5,0,8,無
臺中市,沙鹿區,沙田路、中正街,6,0,6,有
臺北市,中山區,松江路、長春路,6,0,6,有
臺南市,永康區,中華路、大橋二街,6,0,6,無
桃園市,八德區,介壽路一段、陸光街,6,0,6,無
桃園市,八德區,介壽路一段、建國路,6,0,6,無
臺北市,萬華區,昆明街、內江街,6,0,6,有
桃園市,中壢區,民族路二段、正光街,6,0,6,有
臺北市,中山區,吉林路、錦州街,6,0,6,有
新北市,三重區,集賢路、集英路,6,0,6,無
新北市,三峽區,民生街、國光街,6,0,6,無
新北市,林口區,文化一路一段、忠孝路,6,0,6,無
臺北市,中正區,中華路一段、愛國西路,6,0,6,有
高雄市,苓雅區,五福一路、和平一路,6,0,6,有
新北市,板橋區,縣民大道、漢生東路,6,0,6,無
新北市,新莊區,思源路、幸福路,5,1,5,無
新北市,汐止區,新台五路二段、秀峰路,5,1,5,無
桃園市,桃園區,中正路、南平路,5,1,5,有
新北市,淡水區,中正東路、學府路,5,1,5,無
新北市,板橋區,縣民大道一段、南雅南路二段,4,0,9,無
桃園市,楊梅區,中興路、中興路80巷,4,0,9,有
新北市,土城區,立德路、延和路,4,0,9,有
新北市,土城區,金城路三段、峰廷街,5,0,7,無
