area,population,death,rate
南投縣南投市,98540,7,7.104
南投縣埔里鎮,78499,10,12.739
南投縣草屯鎮,97064,15,15.454
南投縣竹山鎮,52878,1,1.891
南投縣集集鎮,10279,3,29.186
南投縣名間鄉,37119,7,18.858
南投縣鹿谷鄉,16922,4,23.638
南投縣中寮鄉,14069,1,7.108
南投縣魚池鄉,15203,1,6.578
南投縣國姓鄉,17628,4,22.691
南投縣水里鄉,16721,0,0
南投縣信義鄉,15792,2,12.665
南投縣仁愛鄉,15741,5,31.764
嘉義市東區,119174,4,3.356
嘉義市西區,145828,7,4.8
嘉義縣太保市,38591,11,28.504
嘉義縣中埔鄉,43807,10,22.827
嘉義縣番路鄉,11075,4,36.117
嘉義縣水上鄉,48672,8,16.437
嘉義縣東石鄉,23540,4,16.992
嘉義縣朴子市,41309,7,16.945
嘉義縣大林鎮,30152,8,26.532
嘉義縣民雄鄉,70825,9,12.707
嘉義縣溪口鄉,13818,3,21.711
嘉義縣新港鄉,30823,5,16.222
嘉義縣六腳鄉,21856,6,27.452
嘉義縣義竹鄉,17300,4,23.121
嘉義縣鹿草鄉,14713,6,40.78
嘉義縣竹崎鄉,34372,4,11.637
嘉義縣梅山鄉,18426,2,10.854
嘉義縣大埔鄉,4549,2,43.966
嘉義縣阿里山鄉,5428,0,0
嘉義縣布袋鎮,25612,5,19.522
基隆市暖暖區,38469,4,10.398
基隆市七堵區,53476,1,1.87
基隆市仁愛區,42069,5,11.885
基隆市信義區,53154,1,1.881
基隆市中正區,50786,1,1.969
基隆市中山區,45951,1,2.176
基隆市安樂區,81212,5,6.157
宜蘭縣蘇澳鎮,38452,13,33.808
宜蘭縣五結鄉,40498,5,12.346
宜蘭縣宜蘭市,95111,13,13.668
宜蘭縣壯圍鄉,24409,4,16.387
宜蘭縣羅東鎮,70862,9,12.701
宜蘭縣員山鄉,32102,8,24.921
宜蘭縣冬山鄉,53005,8,15.093
宜蘭縣三星鄉,21222,7,32.985
宜蘭縣大同鄉,6104,1,16.383
宜蘭縣頭城鎮,28588,3,10.494
宜蘭縣南澳鄉,5968,2,33.512
宜蘭縣礁溪鄉,35101,6,17.094
屏東縣佳冬鄉,18397,1,5.436
屏東縣竹田鄉,16385,4,24.413
屏東縣萬丹鄉,49852,14,28.083
屏東縣屏東市,196037,30,15.303
屏東縣潮州鎮,53776,6,11.157
屏東縣長治鄉,29443,6,20.378
屏東縣麟洛鄉,10691,1,9.354
屏東縣九如鄉,21758,7,32.172
屏東縣里港鄉,25637,6,23.404
屏東縣鹽埔鄉,24721,4,16.181
屏東縣高樹鄉,23550,1,4.246
屏東縣萬巒鄉,19953,7,35.082
屏東縣內埔鄉,52784,5,9.473
屏東縣新埤鄉,9427,2,21.216
屏東縣崁頂鄉,15240,4,26.247
屏東縣南州鄉,10199,4,39.22
屏東縣琉球鄉,12087,0,0
屏東縣三地門鄉,7702,0,0
屏東縣霧臺鄉,3241,0,0
屏東縣瑪家鄉,6720,0,0
屏東縣泰武鄉,5358,0,0
屏東縣來義鄉,7397,0,0
屏東縣春日鄉,4925,1,20.305
屏東縣獅子鄉,4825,1,20.725
屏東縣東港鎮,46427,4,8.616
屏東縣恆春鎮,30190,7,23.186
屏東縣枋寮鄉,23363,5,21.401
屏東縣新園鄉,33567,7,20.854
屏東縣林邊鄉,17088,4,23.408
屏東縣車城鄉,8201,1,12.194
屏東縣滿州鄉,7374,0,0
屏東縣枋山鄉,5136,9,175.234
屏東縣牡丹鄉,4854,0,0
彰化縣社頭鄉,42169,3,7.114
彰化縣員林市,123105,8,6.499
彰化縣田中鎮,40260,7,17.387
彰化縣彰化市,229111,18,7.856
彰化縣和美鎮,89716,7,7.802
彰化縣線西鄉,16533,1,6.049
彰化縣伸港鄉,37818,4,10.577
彰化縣秀水鄉,38746,6,15.485
彰化縣花壇鄉,44939,5,11.126
彰化縣芬園鄉,22909,5,21.825
彰化縣溪湖鎮,54469,5,9.18
彰化縣大村鄉,39313,7,17.806
彰化縣埔鹽鄉,31806,2,6.288
彰化縣埔心鄉,34130,9,26.37
彰化縣永靖鄉,35992,6,16.67
彰化縣二水鄉,14422,2,13.868
彰化縣二林鎮,49209,10,20.321
彰化縣埤頭鄉,29830,4,13.409
彰化縣芳苑鄉,32257,8,24.801
彰化縣大城鄉,15828,3,18.954
彰化縣竹塘鄉,14633,1,6.834
彰化縣溪州鄉,28925,5,17.286
彰化縣鹿港鎮,85982,11,12.793
彰化縣福興鄉,46045,5,10.859
彰化縣北斗鎮,33358,3,8.993
彰化縣田尾鄉,26487,1,3.775
新北市永和區,216713,12,5.537
新北市新店區,301209,12,3.984
新北市土城區,237820,6,2.523
新北市蘆洲區,201903,4,1.981
新北市五股區,90375,16,17.704
新北市坪林區,6656,4,60.096
新北市平溪區,4339,0,0
新北市烏來區,6365,0,0
新北市淡水區,184969,8,4.325
新北市瑞芳區,38620,2,5.179
新北市林口區,123879,4,3.229
新北市三芝區,22408,3,13.388
新北市八里區,40012,5,12.496
新北市三峽區,116280,5,4.3
新北市鶯歌區,88131,7,7.943
新北市中和區,407910,9,2.206
新北市樹林區,182497,10,5.48
