area,population,death,rate
南投縣南投市,99264,2,2.015
南投縣埔里鎮,79680,2,2.51
南投縣草屯鎮,97653,5,5.12
南投縣竹山鎮,53865,1,1.856
南投縣集集鎮,10587,0,0
南投縣名間鄉,37888,2,5.279
南投縣鹿谷鄉,17456,0,0
南投縣中寮鄉,14489,0,0
南投縣魚池鄉,15601,0,0
南投縣國姓鄉,18164,0,0
南投縣水里鄉,17242,1,5.8
南投縣信義鄉,15950,1,6.27
南投縣仁愛鄉,15904,0,0
嘉義市東區,120740,1,0.828
嘉義市西區,146858,4,2.724
嘉義縣太保市,38340,2,5.216
嘉義縣中埔鄉,44258,3,6.778
嘉義縣番路鄉,11249,4,35.559
嘉義縣水上鄉,49167,1,2.034
嘉義縣東石鄉,24117,1,4.146
嘉義縣朴子市,41787,2,4.786
嘉義縣大林鎮,30626,2,6.53
嘉義縣民雄鄉,71357,2,2.803
嘉義縣溪口鄉,14294,0,0
嘉義縣新港鄉,31356,2,6.378
嘉義縣六腳鄉,22456,1,4.453
嘉義縣義竹鄉,17826,0,0
嘉義縣鹿草鄉,15077,1,6.633
嘉義縣竹崎鄉,35126,1,2.847
嘉義縣梅山鄉,18915,1,5.287
嘉義縣大埔鄉,4595,0,0
嘉義縣阿里山鄉,5542,1,18.044
嘉義縣布袋鎮,26297,2,7.605
基隆市暖暖區,38563,0,0
基隆市七堵區,53758,0,0
基隆市仁愛區,43216,1,2.314
基隆市信義區,52795,2,3.788
基隆市中正區,51393,0,0
基隆市中山區,46790,0,0
基隆市安樂區,82355,0,0
宜蘭縣蘇澳鎮,39099,2,5.115
宜蘭縣五結鄉,40045,1,2.497
宜蘭縣宜蘭市,95593,2,2.092
宜蘭縣壯圍鄉,24398,1,4.099
宜蘭縣羅東鎮,71847,0,0
宜蘭縣員山鄉,32291,0,0
宜蘭縣冬山鄉,53168,2,3.762
宜蘭縣三星鄉,21242,2,9.415
宜蘭縣大同鄉,6142,0,0
宜蘭縣頭城鎮,28940,1,3.455
宜蘭縣南澳鄉,5953,1,16.798
宜蘭縣礁溪鄉,35381,3,8.479
屏東縣佳冬鄉,18806,0,0
屏東縣竹田鄉,16806,1,5.95
屏東縣萬丹鄉,50353,3,5.958
屏東縣屏東市,198730,8,4.026
屏東縣潮州鎮,53870,3,5.569
屏東縣長治鄉,29532,1,3.386
屏東縣麟洛鄉,10901,1,9.173
屏東縣九如鄉,21983,1,4.549
屏東縣里港鄉,25804,1,3.875
屏東縣鹽埔鄉,25294,0,0
屏東縣高樹鄉,23952,2,8.35
屏東縣萬巒鄉,20409,2,9.8
屏東縣內埔鄉,53547,3,5.603
屏東縣新埤鄉,9715,0,0
屏東縣崁頂鄉,15362,1,6.51
屏東縣南州鄉,10460,2,19.12
屏東縣琉球鄉,12193,0,0
屏東縣三地門鄉,7658,0,0
屏東縣霧臺鄉,3295,0,0
屏東縣瑪家鄉,6783,1,14.743
屏東縣泰武鄉,5398,0,0
屏東縣來義鄉,7458,0,0
屏東縣春日鄉,4927,0,0
屏東縣獅子鄉,4909,0,0
屏東縣東港鎮,47050,2,4.251
屏東縣恆春鎮,30620,1,3.266
屏東縣枋寮鄉,23921,3,12.541
屏東縣新園鄉,34384,2,5.817
屏東縣林邊鄉,17491,0,0
屏東縣車城鄉,8369,0,0
屏東縣滿州鄉,7638,1,13.092
屏東縣枋山鄉,5316,3,56.433
屏東縣牡丹鄉,4869,0,0
彰化縣社頭鄉,42554,0,0
彰化縣員林市,125069,1,0.8
彰化縣田中鎮,41147,1,2.43
彰化縣彰化市,232259,2,0.861
彰化縣和美鎮,90462,1,1.105
彰化縣線西鄉,16703,0,0
彰化縣伸港鄉,37498,3,8
彰化縣秀水鄉,39069,0,0
彰化縣花壇鄉,45478,0,0
彰化縣芬園鄉,23327,2,8.574
彰化縣溪湖鎮,55177,2,3.625
彰化縣大村鄉,37091,1,2.696
彰化縣埔鹽鄉,32113,2,6.228
彰化縣埔心鄉,34714,0,0
彰化縣永靖鄉,36543,2,5.473
彰化縣二水鄉,14826,1,6.745
彰化縣二林鎮,49970,1,2.001
彰化縣埤頭鄉,30354,0,0
彰化縣芳苑鄉,33034,2,6.054
彰化縣大城鄉,16317,0,0
彰化縣竹塘鄉,14899,1,6.712
彰化縣溪州鄉,29310,3,10.235
彰化縣鹿港鎮,86858,2,2.303
彰化縣福興鄉,46696,1,2.142
彰化縣北斗鎮,33337,1,3
彰化縣田尾鄉,26956,2,7.419
新北市永和區,220708,0,0
新北市新店區,303750,3,0.988
新北市土城區,237819,4,1.682
新北市蘆洲區,202135,1,0.495
新北市五股區,88312,2,2.265
新北市坪林區,6719,0,0
新北市平溪區,4519,0,0
新北市烏來區,6407,0,0
新北市淡水區,179514,2,1.114
新北市瑞芳區,39456,2,5.069
新北市林口區,116426,4,3.436
新北市三芝區,22736,0,0
新北市八里區,39573,2,5.054
新北市三峽區,116642,2,1.715
新北市鶯歌區,87073,2,2.297
新北市中和區,413063,5,1.21
新北市樹林區,183956,0,0
新北市深坑區,23756,1,4.209
新北市板橋區,557183,6,1.077
新北市石碇區,7607,1,13.146
新北市新莊區,420927,5,1.188
新北市泰山區,78684,0,0
新北市三重區,386098,6,1.554
新北市雙溪區,8631,0,0
新北市貢寮區,11979,0,0
新北市汐止區,203864,2,0.981
新北市萬里區,21801,1,4.587
新北市金山區,21357,0,0
新北市石門區,11755,0,0
新竹市北區,152388,4,2.625
新竹市香山區,78672,5,6.356
新竹市東區,218191,2,0.917
新竹縣峨眉鄉,5464,0,0
新竹縣竹東鎮,97203,2,2.058
新竹縣新埔鎮,32811,0,0
新竹縣關西鎮,28015,3,10.709
