area,population,death,rate
南投縣南投市,98244,12,12.214
南投縣埔里鎮,78107,13,16.644
南投縣草屯鎮,96923,20,20.635
南投縣竹山鎮,52629,2,3.8
南投縣集集鎮,10227,3,29.334
南投縣名間鄉,36925,8,21.666
南投縣鹿谷鄉,16850,4,23.739
南投縣中寮鄉,14013,3,21.409
南投縣魚池鄉,15162,1,6.595
南投縣國姓鄉,17557,5,28.479
南投縣水里鄉,16665,3,18.002
南投縣信義鄉,15785,2,12.67
南投縣仁愛鄉,15810,6,37.951
嘉義市東區,118956,8,6.725
嘉義市西區,145771,13,8.918
嘉義縣太保市,38571,13,33.704
嘉義縣中埔鄉,43602,14,32.109
嘉義縣番路鄉,11033,5,45.319
嘉義縣水上鄉,48529,9,18.546
嘉義縣東石鄉,23464,5,21.309
嘉義縣朴子市,41256,10,24.239
嘉義縣大林鎮,30068,8,26.606
嘉義縣民雄鄉,70675,12,16.979
嘉義縣溪口鄉,13761,3,21.801
嘉義縣新港鄉,30705,12,39.082
嘉義縣六腳鄉,21774,6,27.556
嘉義縣義竹鄉,17232,4,23.213
嘉義縣鹿草鄉,14658,6,40.933
嘉義縣竹崎鄉,34190,5,14.624
嘉義縣梅山鄉,18324,3,16.372
嘉義縣大埔鄉,4533,3,66.181
嘉義縣阿里山鄉,5420,0,0
嘉義縣布袋鎮,25521,6,23.51
基隆市暖暖區,38398,5,13.022
基隆市七堵區,53276,4,7.508
基隆市仁愛區,41842,7,16.73
基隆市信義區,53051,3,5.655
基隆市中正區,50654,2,3.948
基隆市中山區,45755,5,10.928
基隆市安樂區,81001,6,7.407
宜蘭縣蘇澳鎮,38272,15,39.193
宜蘭縣五結鄉,40539,5,12.334
宜蘭縣宜蘭市,94869,18,18.974
宜蘭縣壯圍鄉,24391,6,24.599
宜蘭縣羅東鎮,70732,10,14.138
宜蘭縣員山鄉,32056,8,24.956
宜蘭縣冬山鄉,52928,10,18.894
宜蘭縣三星鄉,21206,11,51.872
宜蘭縣大同鄉,6088,1,16.426
宜蘭縣頭城鎮,28544,5,17.517
宜蘭縣南澳鄉,6010,4,66.556
