area,population,death,rate
南投縣南投市,99026,0,0
南投縣埔里鎮,79125,2,2.528
南投縣草屯鎮,97449,0,0
南投縣竹山鎮,53413,0,0
南投縣集集鎮,10455,0,0
南投縣名間鄉,37468,1,2.669
南投縣鹿谷鄉,17207,0,0
南投縣中寮鄉,14279,0,0
南投縣魚池鄉,15443,0,0
南投縣國姓鄉,17931,0,0
南投縣水里鄉,16943,0,0
南投縣信義鄉,15865,0,0
南投縣仁愛鄉,15795,1,6.331
嘉義市東區,119616,1,0.836
嘉義市西區,146236,0,0
嘉義縣太保市,38537,0,0
嘉義縣中埔鄉,44100,0,0
嘉義縣番路鄉,11166,1,8.956
嘉義縣水上鄉,48976,0,0
嘉義縣東石鄉,23725,0,0
嘉義縣朴子市,41648,1,2.401
嘉義縣大林鎮,30352,1,3.295
嘉義縣民雄鄉,71238,0,0
嘉義縣溪口鄉,14019,1,7.133
嘉義縣新港鄉,31120,0,0
嘉義縣六腳鄉,22143,1,4.516
嘉義縣義竹鄉,17597,0,0
嘉義縣鹿草鄉,14885,0,0
嘉義縣竹崎鄉,34716,0,0
嘉義縣梅山鄉,18647,0,0
嘉義縣大埔鄉,4559,0,0
嘉義縣阿里山鄉,5508,0,0
嘉義縣布袋鎮,25958,1,3.852
基隆市暖暖區,38536,0,0
基隆市七堵區,53600,0,0
基隆市仁愛區,42743,1,2.34
基隆市信義區,53161,1,1.881
基隆市中正區,51226,0,0
基隆市中山區,46359,1,2.157
基隆市安樂區,81754,1,1.223
宜蘭縣蘇澳鎮,38816,0,0
宜蘭縣五結鄉,40311,1,2.481
宜蘭縣宜蘭市,95376,2,2.097
宜蘭縣壯圍鄉,24345,1,4.108
宜蘭縣羅東鎮,71465,2,2.799
宜蘭縣員山鄉,32227,2,6.206
宜蘭縣冬山鄉,53036,1,1.886
宜蘭縣三星鄉,21226,3,14.134
宜蘭縣大同鄉,6119,0,0
宜蘭縣頭城鎮,28809,0,0
宜蘭縣南澳鄉,5956,0,0
宜蘭縣礁溪鄉,35255,1,2.836
屏東縣佳冬鄉,18590,0,0
屏東縣竹田鄉,16583,2,12.061
屏東縣萬丹鄉,50101,2,3.992
屏東縣屏東市,197476,4,2.026
屏東縣潮州鎮,53850,0,0
屏東縣長治鄉,29441,1,3.397
屏東縣麟洛鄉,10758,0,0
屏東縣九如鄉,21925,1,4.561
屏東縣里港鄉,25709,1,3.89
屏東縣鹽埔鄉,24982,1,4.003
屏東縣高樹鄉,23729,0,0
屏東縣萬巒鄉,20186,1,4.954
屏東縣內埔鄉,53278,1,1.877
屏東縣新埤鄉,9554,0,0
屏東縣崁頂鄉,15383,1,6.501
屏東縣南州鄉,10356,0,0
屏東縣琉球鄉,12124,0,0
屏東縣三地門鄉,7688,0,0
屏東縣霧臺鄉,3249,0,0
屏東縣瑪家鄉,6756,0,0
屏東縣泰武鄉,5345,0,0
屏東縣來義鄉,7441,0,0
屏東縣春日鄉,4941,0,0
屏東縣獅子鄉,4824,0,0
屏東縣東港鎮,46736,0,0
屏東縣恆春鎮,30396,2,6.58
屏東縣枋寮鄉,23651,0,0
屏東縣新園鄉,33865,0,0
屏東縣林邊鄉,17238,0,0
屏東縣車城鄉,8278,0,0
屏東縣滿州鄉,7456,0,0
屏東縣枋山鄉,5234,1,19.106
屏東縣牡丹鄉,4855,0,0
彰化縣社頭鄉,42409,2,4.716
彰化縣員林市,123985,2,1.613
彰化縣田中鎮,40679,0,0
彰化縣彰化市,231056,2,0.866
彰化縣和美鎮,90047,1,1.111
彰化縣線西鄉,16650,0,0
彰化縣伸港鄉,37711,1,2.652
彰化縣秀水鄉,38870,1,2.573
彰化縣花壇鄉,45205,1,2.212
彰化縣芬園鄉,23145,0,0
彰化縣溪湖鎮,54764,0,0
彰化縣大村鄉,38710,2,5.167
彰化縣埔鹽鄉,31874,1,3.137
彰化縣埔心鄉,34403,1,2.907
彰化縣永靖鄉,36288,0,0
彰化縣二水鄉,14621,0,0
彰化縣二林鎮,49637,2,4.029
彰化縣埤頭鄉,30048,0,0
彰化縣芳苑鄉,32685,0,0
彰化縣大城鄉,16078,0,0
彰化縣竹塘鄉,14786,0,0
彰化縣溪州鄉,29117,0,0
彰化縣鹿港鎮,86538,0,0
彰化縣福興鄉,46331,1,2.158
彰化縣北斗鎮,33340,1,2.999
彰化縣田尾鄉,26677,0,0
新北市永和區,219171,0,0
新北市新店區,303293,1,0.33
新北市土城區,238192,1,0.42
新北市蘆洲區,202536,1,0.494
新北市五股區,89529,3,3.351
新北市坪林區,6700,0,0
新北市平溪區,4412,0,0
新北市烏來區,6420,0,0
新北市淡水區,183488,3,1.635
新北市瑞芳區,38993,0,0
新北市林口區,121437,0,0
新北市三芝區,22529,2,8.877
新北市八里區,39751,0,0
新北市三峽區,116866,1,0.856
新北市鶯歌區,87673,3,3.422
新北市中和區,410834,2,0.487
新北市樹林區,183302,1,0.546
新北市深坑區,23742,0,0
新北市板橋區,556901,5,0.898
新北市石碇區,7562,0,0
新北市新莊區,422851,4,0.946
新北市泰山區,78399,3,3.827
新北市三重區,384975,0,0
新北市雙溪區,8436,0,0
新北市貢寮區,11751,0,0
新北市汐止區,205788,0,0
新北市萬里區,21672,0,0
新北市金山區,21096,0,0
新北市石門區,11475,0,0
新竹市北區,152540,1,0.656
新竹市香山區,78775,2,2.539
新竹市東區,220340,1,0.454
新竹縣峨眉鄉,5388,0,0
新竹縣竹東鎮,97013,1,1.031
新竹縣新埔鎮,33008,0,0
新竹縣關西鎮,27744,1,3.604
新竹縣湖口鄉,79044,0,0
新竹縣芎林鄉,19860,3,15.106
新竹縣橫山鄉,12526,0,0
新竹縣北埔鄉,9014,0,0
新竹縣寶山鄉,14611,0,0
新竹縣尖石鄉,9637,1,10.377
新竹縣五峰鄉,4489,0,0
新竹縣竹北市,201134,1,0.497
新竹縣新豐鄉,57514,0,0
桃園市蘆竹區,166994,1,0.599
桃園市龜山區,164462,0,0
桃園市龍潭區,124402,2,1.608
桃園市復興區,12380,0,0
桃園市觀音區,69101,0,0
桃園市桃園區,457382,2,0.437
桃園市大園區,93855,3,3.196
桃園市新屋區,49313,2,4.056
桃園市楊梅區,175278,2,1.141
桃園市大溪區,95601,1,1.046
桃園市八德區,209219,1,0.478
桃園市中壢區,422582,3,0.71
