area,population,death,rate
南投縣南投市,99538,9,9.042
南投縣埔里鎮,80408,17,21.142
南投縣草屯鎮,97223,9,9.257
南投縣竹山鎮,54689,5,9.143
南投縣集集鎮,10871,4,36.795
南投縣名間鄉,38376,8,20.846
南投縣鹿谷鄉,17698,1,5.65
南投縣中寮鄉,14734,2,13.574
南投縣魚池鄉,15823,0,0
南投縣國姓鄉,18699,2,10.696
南投縣水里鄉,17582,5,28.438
南投縣信義鄉,16281,0,0
南投縣仁愛鄉,15954,0,0
嘉義市東區,121279,6,4.947
嘉義市西區,147462,6,4.069
嘉義縣太保市,38048,15,39.424
嘉義縣中埔鄉,44605,8,17.935
嘉義縣番路鄉,11470,5,43.592
嘉義縣水上鄉,49406,15,30.361
嘉義縣東石鄉,24658,7,28.388
嘉義縣朴子市,42143,6,14.237
嘉義縣大林鎮,30954,1,3.231
嘉義縣民雄鄉,71327,12,16.824
嘉義縣溪口鄉,14670,3,20.45
嘉義縣新港鄉,31755,7,22.044
嘉義縣六腳鄉,23049,6,26.031
嘉義縣義竹鄉,18297,2,10.931
嘉義縣鹿草鄉,15422,3,19.453
嘉義縣竹崎鄉,35625,3,8.421
嘉義縣梅山鄉,19303,3,15.542
嘉義縣大埔鄉,4592,1,21.777
嘉義縣阿里山鄉,5610,2,35.651
嘉義縣布袋鎮,26846,2,7.45
基隆市暖暖區,38606,5,12.951
基隆市七堵區,53819,2,3.716
基隆市仁愛區,43950,5,11.377
基隆市信義區,52487,3,5.716
基隆市中正區,51716,4,7.735
基隆市中山區,47428,2,4.217
基隆市安樂區,82263,6,7.294
宜蘭縣蘇澳鎮,39785,4,10.054
宜蘭縣五結鄉,39577,6,15.16
宜蘭縣宜蘭市,95747,11,11.489
宜蘭縣壯圍鄉,24315,1,4.113
宜蘭縣羅東鎮,72457,5,6.901
宜蘭縣員山鄉,32281,8,24.782
宜蘭縣冬山鄉,52843,9,17.032
宜蘭縣三星鄉,21391,5,23.374
宜蘭縣大同鄉,6247,2,32.015
宜蘭縣頭城鎮,29173,7,23.995
宜蘭縣南澳鄉,6024,3,49.801
宜蘭縣礁溪鄉,35668,8,22.429
屏東縣佳冬鄉,19172,2,10.432
屏東縣竹田鄉,17181,2,11.641
屏東縣萬丹鄉,50595,9,17.788
屏東縣屏東市,199807,28,14.014
屏東縣潮州鎮,53924,13,24.108
屏東縣長治鄉,29714,10,33.654
屏東縣麟洛鄉,11068,6,54.21
屏東縣九如鄉,22095,5,22.63
屏東縣里港鄉,26092,4,15.33
屏東縣鹽埔鄉,25740,5,19.425
屏東縣高樹鄉,24444,2,8.182
屏東縣萬巒鄉,20585,1,4.858
屏東縣內埔鄉,54167,14,25.846
屏東縣新埤鄉,10035,1,9.965
屏東縣崁頂鄉,15524,7,45.091
屏東縣南州鄉,10650,2,18.779
屏東縣琉球鄉,12395,2,16.136
屏東縣三地門鄉,7694,0,0
屏東縣霧臺鄉,3376,0,0
屏東縣瑪家鄉,6833,2,29.27
屏東縣泰武鄉,5403,0,0
屏東縣來義鄉,7445,0,0
屏東縣春日鄉,4903,1,20.396
屏東縣獅子鄉,5018,1,19.928
屏東縣東港鎮,47654,8,16.788
屏東縣恆春鎮,30812,9,29.209
屏東縣枋寮鄉,24413,5,20.481
屏東縣新園鄉,34961,9,25.743
屏東縣林邊鄉,17842,4,22.419
屏東縣車城鄉,8619,0,0
屏東縣滿州鄉,8068,2,24.789
屏東縣枋山鄉,5547,7,126.194
屏東縣牡丹鄉,5003,1,19.988
彰化縣社頭鄉,42917,4,9.32
彰化縣員林市,124755,5,4.008
彰化縣田中鎮,41599,7,16.827
彰化縣彰化市,232709,15,6.446
彰化縣和美鎮,90786,18,19.827
彰化縣線西鄉,16872,2,11.854
