area,population,death,rate
南投縣南投市,98901,4,4.044
南投縣埔里鎮,78908,6,7.604
南投縣草屯鎮,97324,7,7.192
南投縣竹山鎮,53183,0,0
南投縣集集鎮,10363,2,19.299
南投縣名間鄉,37312,3,8.04
南投縣鹿谷鄉,17071,4,23.432
南投縣中寮鄉,14165,1,7.06
南投縣魚池鄉,15314,1,6.53
南投縣國姓鄉,17759,2,11.262
南投縣水里鄉,16859,0,0
南投縣信義鄉,15781,2,12.673
南投縣仁愛鄉,15749,4,25.398
嘉義市東區,119316,1,0.838
嘉義市西區,145918,3,2.056
嘉義縣太保市,38648,6,15.525
嘉義縣中埔鄉,43956,7,15.925
嘉義縣番路鄉,11134,4,35.926
嘉義縣水上鄉,48799,3,6.148
嘉義縣東石鄉,23621,0,0
嘉義縣朴子市,41528,4,9.632
嘉義縣大林鎮,30292,5,16.506
嘉義縣民雄鄉,71074,5,7.035
嘉義縣溪口鄉,13937,1,7.175
嘉義縣新港鄉,31004,4,12.902
嘉義縣六腳鄉,22003,3,13.635
嘉義縣義竹鄉,17471,2,11.448
嘉義縣鹿草鄉,14813,3,20.252
嘉義縣竹崎鄉,34555,3,8.682
嘉義縣梅山鄉,18527,1,5.398
嘉義縣大埔鄉,4559,1,21.935
嘉義縣阿里山鄉,5467,0,0
嘉義縣布袋鎮,25784,2,7.757
基隆市暖暖區,38538,2,5.19
基隆市七堵區,53575,1,1.867
基隆市仁愛區,42575,2,4.698
基隆市信義區,53108,1,1.883
基隆市中正區,51017,1,1.96
基隆市中山區,46189,1,2.165
基隆市安樂區,81641,1,1.225
宜蘭縣蘇澳鎮,38680,10,25.853
宜蘭縣五結鄉,40285,1,2.482
宜蘭縣宜蘭市,95314,6,6.295
宜蘭縣壯圍鄉,24399,3,12.296
宜蘭縣羅東鎮,71394,6,8.404
宜蘭縣員山鄉,32173,8,24.866
宜蘭縣冬山鄉,52959,3,5.665
宜蘭縣三星鄉,21212,6,28.286
宜蘭縣大同鄉,6081,0,0
宜蘭縣頭城鎮,28731,3,10.442
宜蘭縣南澳鄉,5956,1,16.79
宜蘭縣礁溪鄉,35150,5,14.225
屏東縣佳冬鄉,18462,0,0
屏東縣竹田鄉,16442,3,18.246
屏東縣萬丹鄉,50003,5,9.999
屏東縣屏東市,196883,20,10.158
屏東縣潮州鎮,53867,5,9.282
屏東縣長治鄉,29362,5,17.029
屏東縣麟洛鄉,10724,1,9.325
屏東縣九如鄉,21809,1,4.585
