area,population,death,rate
南投縣南投市,101402,5,4.931
南投縣埔里鎮,81939,8,9.763
南投縣草屯鎮,98656,8,8.109
南投縣竹山鎮,55780,3,5.378
南投縣集集鎮,11103,0,0
南投縣名間鄉,39328,5,12.714
南投縣鹿谷鄉,18075,2,11.065
南投縣中寮鄉,15224,0,0
南投縣魚池鄉,16259,4,24.602
南投縣國姓鄉,19195,5,26.048
南投縣水里鄉,18139,2,11.026
南投縣信義鄉,16452,0,0
南投縣仁愛鄉,15658,2,12.773
嘉義市東區,122751,1,0.815
嘉義市西區,147503,8,5.424
嘉義縣太保市,37323,7,18.755
嘉義縣中埔鄉,45496,7,15.386
嘉義縣番路鄉,11758,4,34.019
嘉義縣水上鄉,50132,11,21.942
嘉義縣東石鄉,25498,2,7.844
嘉義縣朴子市,42811,2,4.672
嘉義縣大林鎮,31572,2,6.335
嘉義縣民雄鄉,71907,4,5.563
嘉義縣溪口鄉,15020,1,6.658
嘉義縣新港鄉,32644,3,9.19
嘉義縣六腳鄉,23978,3,12.511
嘉義縣義竹鄉,19030,0,0
嘉義縣鹿草鄉,15963,3,18.793
嘉義縣竹崎鄉,36398,2,5.495
嘉義縣梅山鄉,19879,1,5.03
嘉義縣大埔鄉,4599,0,0
嘉義縣阿里山鄉,5669,0,0
嘉義縣布袋鎮,27662,1,3.615
基隆市暖暖區,38436,1,2.602
基隆市七堵區,54085,3,5.547
基隆市仁愛區,45473,3,6.597
基隆市信義區,51694,1,1.934
基隆市中正區,52555,1,1.903
基隆市中山區,48204,1,2.075
基隆市安樂區,81390,2,2.457
宜蘭縣蘇澳鎮,40581,2,4.928
宜蘭縣五結鄉,39624,2,5.047
宜蘭縣宜蘭市,96077,4,4.163
宜蘭縣壯圍鄉,24266,1,4.121
宜蘭縣羅東鎮,72560,3,4.135
宜蘭縣員山鄉,32250,3,9.302
宜蘭縣冬山鄉,53408,8,14.979
宜蘭縣三星鄉,21421,4,18.673
宜蘭縣大同鄉,6059,0,0
宜蘭縣頭城鎮,29776,1,3.358
宜蘭縣南澳鄉,5940,2,33.67
宜蘭縣礁溪鄉,35846,2,5.579
屏東縣佳冬鄉,19776,5,25.283
屏東縣竹田鄉,17464,4,22.904
屏東縣萬丹鄉,51415,12,23.339
屏東縣屏東市,202307,16,7.909
屏東縣潮州鎮,54773,7,12.78
屏東縣長治鄉,30185,8,26.503
屏東縣麟洛鄉,11193,5,44.671
屏東縣九如鄉,22084,1,4.528
屏東縣里港鄉,27137,1,3.685
屏東縣鹽埔鄉,26251,2,7.619
屏東縣高樹鄉,24976,5,20.019
屏東縣萬巒鄉,20703,3,14.491
屏東縣內埔鄉,55422,6,10.826
屏東縣新埤鄉,9979,5,50.105
屏東縣崁頂鄉,15988,7,43.783
屏東縣南州鄉,10845,1,9.221
屏東縣琉球鄉,12441,0,0
屏東縣三地門鄉,7683,0,0
屏東縣霧臺鄉,3299,0,0
屏東縣瑪家鄉,6736,1,14.846
屏東縣泰武鄉,5210,0,0
屏東縣來義鄉,7530,0,0
屏東縣春日鄉,4804,0,0
屏東縣獅子鄉,4806,2,41.615
屏東縣東港鎮,48241,4,8.292
屏東縣恆春鎮,30778,4,12.996
屏東縣枋寮鄉,24974,7,28.029
屏東縣新園鄉,35904,8,22.282
屏東縣林邊鄉,18504,2,10.808
屏東縣車城鄉,8860,5,56.433
屏東縣滿州鄉,7943,1,12.59
屏東縣枋山鄉,5558,5,89.96
屏東縣牡丹鄉,4815,0,0
彰化縣社頭鄉,43378,1,2.305
彰化縣員林市,125120,6,4.795
彰化縣田中鎮,42317,3,7.089
彰化縣彰化市,235127,8,3.402
彰化縣和美鎮,91250,1,1.096
彰化縣線西鄉,16992,6,35.311
彰化縣伸港鄉,36555,2,5.471
彰化縣秀水鄉,39367,0,0
彰化縣花壇鄉,46040,5,10.86
彰化縣芬園鄉,23927,1,4.179
彰化縣溪湖鎮,55730,4,7.177
彰化縣大村鄉,36640,2,5.459
彰化縣埔鹽鄉,32900,3,9.119
彰化縣埔心鄉,34755,2,5.755
彰化縣永靖鄉,37933,1,2.636
彰化縣二水鄉,15600,0,0
彰化縣二林鎮,51729,7,13.532
彰化縣埤頭鄉,30859,4,12.962
彰化縣芳苑鄉,34121,8,23.446
彰化縣大城鄉,17390,3,17.251
彰化縣竹塘鄉,15553,1,6.43
彰化縣溪州鄉,30492,2,6.559
彰化縣鹿港鎮,86662,5,5.77
彰化縣福興鄉,47494,11,23.161
彰化縣北斗鎮,33267,3,9.018
彰化縣田尾鄉,27605,0,0
新北市永和區,225060,6,2.666
新北市新店區,300074,7,2.333
新北市土城區,238389,7,2.936
新北市蘆洲區,200150,2,0.999
新北市五股區,83380,7,8.395
新北市坪林區,6515,1,15.349
新北市平溪區,4803,0,0
新北市烏來區,6167,0,0
新北市淡水區,163704,8,4.887
新北市瑞芳區,40742,5,12.272
新北市林口區,101731,4,3.932
新北市三芝區,23369,3,12.838
新北市八里區,37835,2,5.286
新北市三峽區,113442,4,3.526
新北市鶯歌區,87592,7,7.992
新北市中和區,413709,2,0.483
新北市樹林區,184284,5,2.713
新北市深坑區,23624,0,0
新北市板橋區,553430,19,3.433
新北市石碇區,7770,5,64.35
新北市新莊區,413805,12,2.9
新北市泰山區,78912,6,7.603
新北市三重區,388014,13,3.35
新北市雙溪區,9158,0,0
新北市貢寮區,12791,2,15.636
新北市汐止區,196408,4,2.037
新北市萬里區,22561,0,0
新北市金山區,22225,1,4.499
新北市石門區,12560,2,15.924
新竹市北區,149439,4,2.677
新竹市香山區,77065,2,2.595
新竹市東區,208734,11,5.27
新竹縣峨眉鄉,5618,1,17.8
新竹縣竹東鎮,96812,5,5.165
新竹縣新埔鎮,33984,2,5.885
新竹縣關西鎮,29636,4,13.497
新竹縣湖口鄉,77406,7,9.043
新竹縣芎林鄉,20163,3,14.879
新竹縣橫山鄉,13425,2,14.898
新竹縣北埔鄉,9602,1,10.414
新竹縣寶山鄉,14294,1,6.996
新竹縣尖石鄉,9300,1,10.753
新竹縣五峰鄉,4552,0,0
新竹縣竹北市,173539,6,3.457
新竹縣新豐鄉,56293,3,5.329
桃園市蘆竹區,156921,9,5.735
桃園市龜山區,147651,8,5.418
桃園市龍潭區,119318,2,1.676
桃園市復興區,11077,1,9.028
桃園市觀音區,65139,4,6.141
桃園市桃園區,430992,4,0.928
桃園市大園區,86153,2,2.321
桃園市新屋區,48683,2,4.108
桃園市楊梅區,162419,8,4.926
桃園市大溪區,93724,11,11.737
桃園市八德區,189982,13,6.843
桃園市中壢區,392651,11,2.801
桃園市平鎮區,219629,7,3.187
澎湖縣馬公市,61009,4,6.556
澎湖縣湖西鄉,14386,2,13.902
澎湖縣白沙鄉,9699,0,0
澎湖縣西嶼鄉,8366,1,11.953
澎湖縣望安鄉,5123,0,0
澎湖縣七美鄉,3746,0,0
臺中市南屯區,165510,5,3.021
臺中市烏日區,73066,6,8.212
臺中市新社區,24999,4,16.001
臺中市石岡區,15252,2,13.113
臺中市外埔區,31891,2,6.271
臺中市大肚區,56937,1,1.756
臺中市霧峰區,64739,6,9.268
臺中市太平區,185188,3,1.62
臺中市大里區,209311,4,1.911
臺中市和平區,10745,0,0
臺中市中區,18912,2,10.575
臺中市東區,75209,6,7.978
臺中市南區,122541,3,2.448
臺中市大甲區,77729,10,12.865
臺中市大安區,19496,1,5.129
臺中市龍井區,76741,3,3.909
臺中市西區,115727,6,5.185
臺中市北區,147577,4,2.71
臺中市西屯區,222946,13,5.831
臺中市北屯區,267487,8,2.991
臺中市豐原區,166737,4,2.399
臺中市東勢區,51152,4,7.82
臺中市沙鹿區,90432,6,6.635
臺中市后里區,54238,1,1.844
臺中市神岡區,65264,3,4.597
臺中市潭子區,106859,5,4.679
臺中市大雅區,93929,3,3.194
臺中市清水區,86216,11,12.759
臺中市梧棲區,57361,7,12.203
臺北市大安區,312896,8,2.557
臺北市文山區,275673,3,1.088
臺北市信義區,228462,4,1.751
臺北市萬華區,193819,5,2.58
臺北市中正區,162080,6,3.702
臺北市南港區,122329,3,2.452
臺北市松山區,209574,2,0.954
臺北市大同區,130640,2,1.531
臺北市中山區,231190,10,4.325
臺北市內湖區,287871,7,2.432
臺北市士林區,290622,21,7.226
臺北市北投區,257769,6,2.328
臺南市新營區,78202,6,7.672
臺南市鹽水區,25979,1,3.849
臺南市白河區,29023,6,20.673
臺南市柳營區,21497,7,32.563
臺南市後壁區,24208,4,16.523
臺南市東山區,21466,1,4.659
臺南市麻豆區,44887,4,8.911
臺南市下營區,24607,8,32.511
臺南市六甲區,22520,0,0
臺南市官田區,21532,2,9.289
臺南市大內區,9966,0,0
臺南市佳里區,59556,3,5.037
臺南市學甲區,26527,5,18.849
臺南市西港區,24919,2,8.026
臺南市新化區,43797,5,11.416
臺南市新市區,36021,8,22.209
臺南市安定區,30443,3,9.854
臺南市玉井區,14341,2,13.946
臺南市楠西區,9950,1,10.05
臺南市南化區,8837,0,0
臺南市左鎮區,5029,1,19.885
臺南市仁德區,74348,1,1.345
臺南市歸仁區,68054,6,8.817
臺南市關廟區,34699,2,5.764
臺南市龍崎區,4138,0,0
臺南市永康區,231384,7,3.025
臺南市北區,132916,7,5.266
臺南市七股區,23259,1,4.299
臺南市將軍區,20171,6,29.746
臺南市北門區,11418,0,0
臺南市安南區,190329,11,5.779
臺南市南區,125691,7,5.569
臺南市東區,188295,4,2.124
臺南市安平區,65554,3,4.576
臺南市中西區,77121,5,6.483
臺南市善化區,47314,6,12.681
臺南市山上區,7390,0,0
臺東縣成功鎮,14503,4,27.581
臺東縣綠島鄉,3739,0,0
臺東縣蘭嶼鄉,5041,0,0
臺東縣鹿野鄉,8058,0,0
臺東縣池上鄉,8447,0,0
臺東縣延平鄉,3527,0,0
臺東縣金峰鄉,3579,0,0
臺東縣臺東市,106642,0,0
臺東縣卑南鄉,17468,7,40.073
臺東縣東河鄉,8773,2,22.797
臺東縣長濱鄉,7462,5,67.006
臺東縣太麻里鄉,11293,1,8.855
臺東縣達仁鄉,3568,0,0
臺東縣大武鄉,6232,1,16.046
臺東縣關山鎮,8907,0,0
臺東縣海端鄉,4265,0,0
花蓮縣鳳林鎮,11064,0,0
花蓮縣光復鄉,13132,3,22.845
花蓮縣瑞穗鄉,11858,2,16.866
花蓮縣富里鄉,10595,3,28.315
花蓮縣萬榮鄉,6447,0,0
花蓮縣吉安鄉,83421,15,17.981
花蓮縣壽豐鄉,18084,1,5.53
花蓮縣豐濱鄉,4495,0,0
花蓮縣秀林鄉,15738,2,12.708
花蓮縣玉里鎮,24831,4,16.109
花蓮縣卓溪鄉,6004,0,0
花蓮縣花蓮市,105507,8,7.582
花蓮縣新城鄉,20196,3,14.854
苗栗縣三灣鄉,6939,1,14.411
苗栗縣南庄鄉,10457,2,19.126
苗栗縣苗栗市,90211,6,6.651
苗栗縣卓蘭鎮,17800,2,11.236
苗栗縣大湖鄉,15186,1,6.585
苗栗縣公館鄉,34422,2,5.81
苗栗縣銅鑼鄉,18562,0,0
苗栗縣頭屋鄉,11164,0,0
苗栗縣三義鄉,16946,0,0
苗栗縣西湖鄉,7361,1,13.585
苗栗縣造橋鄉,13247,2,15.098
苗栗縣獅潭鄉,4543,1,22.012
苗栗縣泰安鄉,5963,0,0
苗栗縣苑裡鎮,47436,5,10.541
苗栗縣通霄鎮,35804,0,0
苗栗縣竹南鎮,84823,7,8.252
苗栗縣後龍鎮,37515,7,18.659
苗栗縣頭份市,103116,8,7.758
連江縣南竿鄉,7359,1,13.589
連江縣北竿鄉,2340,0,0
連江縣莒光鄉,1557,0,0
連江縣東引鄉,1280,0,0
金門縣金寧鄉,28911,0,0
金門縣烏坵鄉,658,0,0
金門縣金城鎮,42509,1,2.352
金門縣金沙鎮,20155,0,0
金門縣金湖鎮,28493,0,0
金門縣烈嶼鄉,12459,0,0
雲林縣麥寮鄉,44585,12,26.915
雲林縣斗六市,108481,10,9.218
雲林縣斗南鎮,45436,7,15.406
雲林縣虎尾鎮,70613,10,14.162
雲林縣西螺鎮,46781,10,21.376
雲林縣土庫鎮,29384,1,3.403
雲林縣北港鎮,40864,3,7.341
雲林縣古坑鄉,32103,2,6.23
雲林縣大埤鄉,19559,4,20.451
雲林縣莿桐鄉,29121,8,27.472
雲林縣林內鄉,18663,1,5.358
雲林縣二崙鄉,27748,6,21.623
雲林縣崙背鄉,25284,5,19.775
雲林縣東勢鄉,15276,3,19.639
雲林縣褒忠鄉,13267,1,7.537
雲林縣元長鄉,26583,1,3.762
雲林縣水林鄉,26338,1,3.797
雲林縣臺西鄉,24339,0,0
雲林縣四湖鄉,24430,1,4.093
雲林縣口湖鄉,28250,1,3.54
高雄市旗津區,28902,0,0
高雄市小港區,156396,10,6.394
高雄市鹽埕區,24829,1,4.028
高雄市三民區,345404,18,5.211
高雄市新興區,51753,3,5.797
高雄市楠梓區,180893,6,3.317
高雄市鳳山區,357040,11,3.081
高雄市大寮區,111816,11,9.838
高雄市大樹區,43095,4,9.282
高雄市大社區,34610,1,2.889
高雄市仁武區,83262,11,13.211
高雄市鳥松區,44068,8,18.154
高雄市岡山區,97787,11,11.249
高雄市橋頭區,37332,8,21.429
高雄市燕巢區,30019,5,16.656
高雄市田寮區,7395,0,0
高雄市阿蓮區,29201,3,10.274
高雄市路竹區,53069,3,5.653
高雄市湖內區,29664,4,13.484
高雄市旗山區,37574,9,23.953
高雄市前金區,27240,5,18.355
高雄市美濃區,40614,2,4.924
高雄市六龜區,13346,2,14.986
高雄市甲仙區,6242,0,0
高雄市杉林區,12310,0,0
高雄市內門區,14832,1,6.742
高雄市苓雅區,173803,7,4.028
高雄市前鎮區,191884,14,7.296
高雄市茂林區,1899,0,0
高雄市桃源區,4224,1,23.674
高雄市那瑪夏區,3142,0,0
高雄市林園區,70261,4,5.693
高雄市茄萣區,30419,5,16.437
高雄市永安區,14053,2,14.232
高雄市彌陀區,19640,1,5.092
高雄市梓官區,36251,0,0
高雄市鼓山區,137110,8,5.835
高雄市左營區,196713,10,5.084
