area,population,death,rate
南投縣南投市,98243,3,3.054
南投縣埔里鎮,77920,3,3.85
南投縣草屯鎮,96871,4,4.129
南投縣竹山鎮,52459,1,1.906
南投縣集集鎮,10178,0,0
南投縣名間鄉,36758,2,5.441
南投縣鹿谷鄉,16767,1,5.964
南投縣中寮鄉,14011,0,0
南投縣魚池鄉,15108,0,0
南投縣國姓鄉,17494,1,5.716
南投縣水里鄉,16605,0,0
南投縣信義鄉,15768,0,0
南投縣仁愛鄉,15798,2,12.66
嘉義市東區,118757,1,0.842
嘉義市西區,145587,2,1.374
嘉義縣太保市,38605,2,5.181
嘉義縣中埔鄉,43502,2,4.597
嘉義縣番路鄉,10994,0,0
嘉義縣水上鄉,48377,1,2.067
嘉義縣東石鄉,23423,2,8.539
嘉義縣朴子市,41149,2,4.86
嘉義縣大林鎮,30040,2,6.658
嘉義縣民雄鄉,70549,2,2.835
嘉義縣溪口鄉,13712,0,0
嘉義縣新港鄉,30651,4,13.05
嘉義縣六腳鄉,21718,1,4.604
嘉義縣義竹鄉,17175,0,0
嘉義縣鹿草鄉,14595,1,6.852
嘉義縣竹崎鄉,34103,0,0
嘉義縣梅山鄉,18273,1,5.473
嘉義縣大埔鄉,4520,0,0
嘉義縣阿里山鄉,5412,0,0
嘉義縣布袋鎮,25405,1,3.936
基隆市暖暖區,38338,0,0
基隆市七堵區,53139,2,3.764
基隆市仁愛區,41664,0,0
基隆市信義區,52949,1,1.889
基隆市中正區,50570,0,0
基隆市中山區,45635,0,0
基隆市安樂區,80796,1,1.238
宜蘭縣蘇澳鎮,38176,2,5.239
宜蘭縣五結鄉,40512,1,2.468
宜蘭縣宜蘭市,94784,0,0
宜蘭縣壯圍鄉,24343,1,4.108
宜蘭縣羅東鎮,70591,1,1.417
宜蘭縣員山鄉,32005,0,0
宜蘭縣冬山鄉,52935,3,5.667
宜蘭縣三星鄉,21176,3,14.167
宜蘭縣大同鄉,6099,0,0
宜蘭縣頭城鎮,28459,0,0
宜蘭縣南澳鄉,5988,1,16.7
宜蘭縣礁溪鄉,35012,0,0
屏東縣佳冬鄉,18262,0,0
屏東縣竹田鄉,16261,0,0
屏東縣萬丹鄉,49613,3,6.047
屏東縣屏東市,195220,5,2.561
屏東縣潮州鎮,53528,4,7.473
屏東縣長治鄉,29277,0,0
屏東縣麟洛鄉,10615,1,9.421
屏東縣九如鄉,21670,0,0
屏東縣里港鄉,25743,2,7.769
屏東縣鹽埔鄉,24497,1,4.082
屏東縣高樹鄉,23388,0,0
屏東縣萬巒鄉,19837,2,10.082
屏東縣內埔鄉,52491,2,3.81
屏東縣新埤鄉,9479,1,10.55
屏東縣崁頂鄉,15248,1,6.558
屏東縣南州鄉,10115,0,0
屏東縣琉球鄉,12108,0,0
屏東縣三地門鄉,7721,1,12.952
屏東縣霧臺鄉,3274,0,0
屏東縣瑪家鄉,6722,0,0
屏東縣泰武鄉,5353,0,0
屏東縣來義鄉,7405,0,0
屏東縣春日鄉,4918,0,0
屏東縣獅子鄉,4882,0,0
屏東縣東港鎮,46246,3,6.487
屏東縣恆春鎮,30049,1,3.328
屏東縣枋寮鄉,23184,0,0
屏東縣新園鄉,33396,1,2.994
屏東縣林邊鄉,16976,1,5.891
屏東縣車城鄉,8192,2,24.414
屏東縣滿州鄉,7370,0,0
屏東縣枋山鄉,5139,1,19.459
屏東縣牡丹鄉,4844,0,0
彰化縣社頭鄉,41915,0,0
彰化縣員林市,122642,3,2.446
彰化縣田中鎮,40031,3,7.494
彰化縣彰化市,227937,4,1.755
彰化縣和美鎮,89378,0,0
彰化縣線西鄉,16440,1,6.083
彰化縣伸港鄉,37874,2,5.281
彰化縣秀水鄉,38535,1,2.595
彰化縣花壇鄉,44693,1,2.237
彰化縣芬園鄉,22768,2,8.784
彰化縣溪湖鎮,54249,1,1.843
彰化縣大村鄉,39869,0,0
彰化縣埔鹽鄉,31605,3,9.492
彰化縣埔心鄉,34040,0,0
彰化縣永靖鄉,35833,3,8.372
彰化縣二水鄉,14335,0,0
彰化縣二林鎮,48943,2,4.086
彰化縣埤頭鄉,29612,2,6.754
彰化縣芳苑鄉,32010,1,3.124
彰化縣大城鄉,15691,3,19.119
彰化縣竹塘鄉,14570,0,0
彰化縣溪州鄉,28874,1,3.463
彰化縣鹿港鎮,85747,3,3.499
彰化縣福興鄉,45831,1,2.182
彰化縣北斗鎮,33275,0,0
彰化縣田尾鄉,26300,0,0
新北市永和區,213734,0,0
新北市新店區,298671,5,1.674
新北市土城區,237299,3,1.264
新北市蘆洲區,201274,1,0.497
新北市五股區,90446,2,2.211
新北市坪林區,6604,0,0
新北市平溪區,4313,0,0
新北市烏來區,6340,0,0
新北市淡水區,185077,2,1.081
新北市瑞芳區,38313,1,2.61
新北市林口區,124838,1,0.801
新北市三芝區,22254,0,0
新北市八里區,40143,0,0
新北市三峽區,115862,1,0.863
新北市鶯歌區,88091,3,3.406
新北市中和區,404694,2,0.494
新北市樹林區,181422,2,1.102
新北市深坑區,23552,0,0
新北市板橋區,551455,4,0.725
新北市石碇區,7461,1,13.403
新北市新莊區,420598,6,1.427
新北市泰山區,77311,1,1.293
新北市三重區,380748,3,0.788
新北市雙溪區,8201,0,0
新北市貢寮區,11496,0,0
新北市汐止區,205819,1,0.486
新北市萬里區,21343,0,0
新北市金山區,20797,0,0
新北市石門區,11149,0,0
新竹市北區,152016,6,3.947
新竹市香山區,78560,4,5.092
新竹市東區,221479,1,0.452
新竹縣峨眉鄉,5315,1,18.815
新竹縣竹東鎮,96565,1,1.036
新竹縣新埔鎮,32913,0,0
新竹縣關西鎮,27352,2,7.312
新竹縣湖口鄉,79664,9,11.297
新竹縣芎林鄉,19928,1,5.018
新竹縣橫山鄉,12277,2,16.291
新竹縣北埔鄉,8741,0,0
新竹縣寶山鄉,14419,0,0
