area,population,death,rate
南投縣南投市,100797,4,3.968
南投縣埔里鎮,81456,2,2.455
南投縣草屯鎮,98330,4,4.068
南投縣竹山鎮,55404,3,5.415
南投縣集集鎮,10966,0,0
南投縣名間鄉,39102,0,0
南投縣鹿谷鄉,17938,1,5.575
南投縣中寮鄉,14998,1,6.668
南投縣魚池鄉,16099,1,6.212
南投縣國姓鄉,18987,2,10.534
南投縣水里鄉,17986,3,16.68
南投縣信義鄉,16343,4,24.475
南投縣仁愛鄉,15692,1,6.373
嘉義市東區,122459,3,2.45
嘉義市西區,147479,1,0.678
嘉義縣太保市,37568,1,2.662
嘉義縣中埔鄉,45265,3,6.628
嘉義縣番路鄉,11672,1,8.568
嘉義縣水上鄉,49951,2,4.004
嘉義縣東石鄉,25162,1,3.974
嘉義縣朴子市,42594,2,4.695
嘉義縣大林鎮,31332,0,0
嘉義縣民雄鄉,71845,2,2.784
嘉義縣溪口鄉,14862,0,0
嘉義縣新港鄉,32328,1,3.093
嘉義縣六腳鄉,23606,1,4.236
嘉義縣義竹鄉,18727,1,5.34
嘉義縣鹿草鄉,15723,2,12.72
嘉義縣竹崎鄉,36142,3,8.301
嘉義縣梅山鄉,19714,0,0
嘉義縣大埔鄉,4589,0,0
嘉義縣阿里山鄉,5657,0,0
嘉義縣布袋鎮,27397,0,0
基隆市暖暖區,38509,1,2.597
基隆市七堵區,54016,3,5.554
基隆市仁愛區,44884,0,0
基隆市信義區,51868,1,1.928
基隆市中正區,52483,0,0
基隆市中山區,47956,2,4.17
基隆市安樂區,82257,1,1.216
宜蘭縣蘇澳鎮,40416,1,2.474
宜蘭縣五結鄉,39643,1,2.523
宜蘭縣宜蘭市,95977,2,2.084
宜蘭縣壯圍鄉,24207,2,8.262
宜蘭縣羅東鎮,72469,0,0
宜蘭縣員山鄉,32301,0,0
宜蘭縣冬山鄉,53348,0,0
宜蘭縣三星鄉,21412,1,4.67
宜蘭縣大同鄉,6098,0,0
宜蘭縣頭城鎮,29613,2,6.754
宜蘭縣南澳鄉,5891,0,0
宜蘭縣礁溪鄉,35830,1,2.791
屏東縣佳冬鄉,19620,0,0
屏東縣竹田鄉,17286,3,17.355
屏東縣萬丹鄉,51142,6,11.732
屏東縣屏東市,201347,5,2.483
屏東縣潮州鎮,54696,2,3.657
屏東縣長治鄉,30098,3,9.967
屏東縣麟洛鄉,11119,1,8.994
屏東縣九如鄉,22117,0,0
屏東縣里港鄉,26861,4,14.891
屏東縣鹽埔鄉,26124,1,3.828
屏東縣高樹鄉,24807,0,0
屏東縣萬巒鄉,20627,0,0
屏東縣內埔鄉,55024,2,3.635
屏東縣新埤鄉,9920,0,0
屏東縣崁頂鄉,15913,1,6.284
屏東縣南州鄉,10775,0,0
屏東縣琉球鄉,12399,0,0
屏東縣三地門鄉,7657,0,0
屏東縣霧臺鄉,3281,0,0
屏東縣瑪家鄉,6760,1,14.793
屏東縣泰武鄉,5247,0,0
屏東縣來義鄉,7495,0,0
屏東縣春日鄉,4851,0,0
屏東縣獅子鄉,4812,0,0
屏東縣東港鎮,48084,1,2.08
屏東縣恆春鎮,30717,2,6.511
屏東縣枋寮鄉,24763,2,8.077
屏東縣新園鄉,35551,2,5.626
屏東縣林邊鄉,18237,0,0
屏東縣車城鄉,8653,0,0
屏東縣滿州鄉,7817,1,12.793
屏東縣枋山鄉,5503,0,0
屏東縣牡丹鄉,4888,0,0
彰化縣社頭鄉,43277,2,4.621
彰化縣員林市,124911,5,4.003
彰化縣田中鎮,42080,2,4.753
彰化縣彰化市,234442,1,0.427
彰化縣和美鎮,91159,1,1.097
彰化縣線西鄉,16910,1,5.914
彰化縣伸港鄉,36767,2,5.44
彰化縣秀水鄉,39365,1,2.54
彰化縣花壇鄉,46103,2,4.338
彰化縣芬園鄉,23809,2,8.4
彰化縣溪湖鎮,55704,1,1.795
彰化縣大村鄉,36769,1,2.72
彰化縣埔鹽鄉,32680,1,3.06
彰化縣埔心鄉,34774,2,5.751
彰化縣永靖鄉,37712,1,2.652
彰化縣二水鄉,15438,0,0
彰化縣二林鎮,51422,4,7.779
彰化縣埤頭鄉,30735,1,3.254
彰化縣芳苑鄉,33925,6,17.686
彰化縣大城鄉,17176,2,11.644
彰化縣竹塘鄉,15418,1,6.486
彰化縣溪州鄉,30311,3,9.897
彰化縣鹿港鎮,86751,3,3.458
彰化縣福興鄉,47421,4,8.435
彰化縣北斗鎮,33316,2,6.003
彰化縣田尾鄉,27510,3,10.905
新北市永和區,224081,1,0.446
新北市新店區,301133,5,1.66
新北市土城區,238495,2,0.839
新北市蘆洲區,200959,1,0.498
新北市五股區,84188,2,2.376
新北市坪林區,6551,2,30.53
新北市平溪區,4744,1,21.079
新北市烏來區,6226,0,0
新北市淡水區,166591,0,0
新北市瑞芳區,40578,0,0
新北市林口區,103866,1,0.963
新北市三芝區,23309,0,0
新北市八里區,38153,1,2.621
新北市三峽區,114349,3,2.624
新北市鶯歌區,87008,0,0
新北市中和區,413621,3,0.725
新北市樹林區,184379,1,0.542
新北市深坑區,23673,0,0
新北市板橋區,552306,6,1.086
新北市石碇區,7713,0,0
新北市新莊區,414585,8,1.93
新北市泰山區,78919,0,0
新北市三重區,388267,7,1.803
新北市雙溪區,9040,0,0
新北市貢寮區,12648,0,0
新北市汐止區,198130,5,2.524
新北市萬里區,22341,1,4.476
新北市金山區,22123,0,0
新北市石門區,12438,2,16.08
新竹市北區,150147,1,0.666
新竹市香山區,77485,5,6.453
新竹市東區,210690,2,0.949
新竹縣峨眉鄉,5569,0,0
新竹縣竹東鎮,96877,2,2.064
新竹縣新埔鎮,33638,5,14.864
新竹縣關西鎮,29271,3,10.249
新竹縣湖口鄉,77508,4,5.161
新竹縣芎林鄉,20068,0,0
新竹縣橫山鄉,13281,0,0
新竹縣北埔鄉,9518,0,0
新竹縣寶山鄉,14394,0,0
新竹縣尖石鄉,9428,0,0
新竹縣五峰鄉,4569,0,0
新竹縣竹北市,177751,3,1.688
新竹縣新豐鄉,56546,1,1.768
桃園市蘆竹區,159468,5,3.135
桃園市龜山區,153991,3,1.948
桃園市龍潭區,120589,6,4.976
桃園市復興區,11266,0,0
桃園市觀音區,65714,0,0
桃園市桃園區,435979,8,1.835
桃園市大園區,87649,3,3.423
桃園市新屋區,48770,2,4.101
桃園市楊梅區,164683,3,1.822
桃園市大溪區,94144,3,3.187
桃園市八德區,193920,5,2.578
桃園市中壢區,398449,4,1.004
桃園市平鎮區,222377,9,4.047
澎湖縣馬公市,61804,3,4.854
澎湖縣湖西鄉,14444,1,6.923
澎湖縣白沙鄉,9772,0,0
澎湖縣西嶼鄉,8389,0,0
澎湖縣望安鄉,5155,0,0
澎湖縣七美鄉,3779,0,0
臺中市南屯區,166932,1,0.599
臺中市烏日區,73954,0,0
臺中市新社區,24880,1,4.019
臺中市石岡區,15140,0,0
臺中市外埔區,31986,1,3.126
臺中市大肚區,57238,0,0
臺中市霧峰區,64985,3,4.616
臺中市太平區,186769,2,1.071
臺中市大里區,210769,1,0.474
臺中市和平區,10829,0,0
臺中市中區,18739,1,5.336
臺中市東區,75464,1,1.325
臺中市南區,123750,3,2.424
臺中市大甲區,77730,2,2.573
臺中市大安區,19387,1,5.158
臺中市龍井區,77214,2,2.59
臺中市西區,115882,6,5.178
臺中市北區,147741,1,0.677
臺中市西屯區,225324,6,2.663
臺中市北屯區,271569,4,1.473
臺中市豐原區,166815,4,2.398
臺中市東勢區,50884,2,3.931
臺中市沙鹿區,91708,2,2.181
臺中市后里區,54321,1,1.841
臺中市神岡區,65599,0,0
臺中市潭子區,107624,2,1.858
臺中市大雅區,94725,2,2.111
臺中市清水區,86409,2,2.315
臺中市梧棲區,57751,1,1.732
臺北市大安區,311360,3,0.964
臺北市文山區,275058,2,0.727
臺北市信義區,227044,1,0.44
臺北市萬華區,193036,2,1.036
臺北市中正區,160724,3,1.867
臺北市南港區,122322,0,0
臺北市松山區,208142,1,0.48
臺北市大同區,129827,0,0
臺北市中山區,231194,3,1.298
臺北市內湖區,287770,2,0.695
臺北市士林區,289729,2,0.69
臺北市北投區,257107,1,0.389
臺南市新營區,78185,2,2.558
臺南市鹽水區,25777,2,7.759
臺南市白河區,28717,1,3.482
臺南市柳營區,21404,0,0
臺南市後壁區,23980,0,0
臺南市東山區,21228,0,0
臺南市麻豆區,44794,0,0
臺南市下營區,24426,1,4.094
臺南市六甲區,22375,1,4.469
臺南市官田區,21505,0,0
臺南市大內區,9937,0,0
臺南市佳里區,59477,3,5.044
臺南市學甲區,26266,1,3.807
臺南市西港區,24873,0,0
臺南市新化區,43692,3,6.866
臺南市新市區,36291,1,2.756
臺南市安定區,30446,0,0
臺南市玉井區,14217,3,21.101
臺南市楠西區,9836,1,10.167
臺南市南化區,8819,0,0
臺南市左鎮區,4940,1,20.243
臺南市仁德區,74951,3,4.003
臺南市歸仁區,68274,5,7.323
臺南市關廟區,34530,1,2.896
臺南市龍崎區,4087,0,0
臺南市永康區,232685,1,0.43
臺南市北區,132842,4,3.011
臺南市七股區,23179,3,12.943
臺南市將軍區,19972,2,10.014
臺南市北門區,11277,1,8.868
臺南市安南區,191478,7,3.656
臺南市南區,125781,2,1.59
臺南市東區,187838,6,3.194
臺南市安平區,65957,1,1.516
臺南市中西區,77153,1,1.296
臺南市善化區,47836,2,4.181
臺南市山上區,7343,0,0
臺東縣成功鎮,14384,3,20.857
臺東縣綠島鄉,3741,0,0
臺東縣蘭嶼鄉,5052,0,0
