area,population,death,rate
南投縣南投市,100154,0,0
南投縣埔里鎮,80859,3,3.71
南投縣草屯鎮,97742,3,3.069
南投縣竹山鎮,55032,0,0
南投縣集集鎮,10890,2,18.365
南投縣名間鄉,38684,1,2.585
南投縣鹿谷鄉,17812,0,0
南投縣中寮鄉,14816,1,6.749
南投縣魚池鄉,15912,0,0
南投縣國姓鄉,18769,0,0
南投縣水里鄉,17755,0,0
南投縣信義鄉,16238,0,0
南投縣仁愛鄉,15786,0,0
嘉義市東區,121978,2,1.64
嘉義市西區,147349,1,0.679
嘉義縣太保市,37907,2,5.276
嘉義縣中埔鄉,44916,1,2.226
嘉義縣番路鄉,11560,1,8.651
嘉義縣水上鄉,49676,1,2.013
嘉義縣東石鄉,24877,1,4.02
嘉義縣朴子市,42333,2,4.724
嘉義縣大林鎮,31153,0,0
嘉義縣民雄鄉,71674,5,6.976
嘉義縣溪口鄉,14702,0,0
嘉義縣新港鄉,31900,0,0
嘉義縣六腳鄉,23250,0,0
嘉義縣義竹鄉,18443,0,0
嘉義縣鹿草鄉,15520,0,0
嘉義縣竹崎鄉,35914,1,2.784
嘉義縣梅山鄉,19434,0,0
嘉義縣大埔鄉,4569,0,0
嘉義縣阿里山鄉,5602,1,17.851
嘉義縣布袋鎮,27068,0,0
基隆市暖暖區,38666,1,2.586
基隆市七堵區,53951,1,1.854
基隆市仁愛區,44261,1,2.259
基隆市信義區,52038,0,0
基隆市中正區,52060,0,0
基隆市中山區,47841,0,0
基隆市安樂區,82387,1,1.214
宜蘭縣蘇澳鎮,39989,1,2.501
宜蘭縣五結鄉,39601,1,2.525
宜蘭縣宜蘭市,95891,0,0
宜蘭縣壯圍鄉,24194,0,0
宜蘭縣羅東鎮,72485,2,2.759
宜蘭縣員山鄉,32393,2,6.174
宜蘭縣冬山鄉,53171,1,1.881
宜蘭縣三星鄉,21412,1,4.67
宜蘭縣大同鄉,6144,0,0
宜蘭縣頭城鎮,29320,2,6.821
宜蘭縣南澳鄉,5921,0,0
宜蘭縣礁溪鄉,35738,3,8.394
屏東縣佳冬鄉,19310,1,5.179
屏東縣竹田鄉,17157,0,0
屏東縣萬丹鄉,50897,0,0
屏東縣屏東市,200227,5,2.497
屏東縣潮州鎮,54303,6,11.049
屏東縣長治鄉,29972,3,10.009
屏東縣麟洛鄉,11075,0,0
屏東縣九如鄉,22096,0,0
屏東縣里港鄉,26432,1,3.783
屏東縣鹽埔鄉,25916,0,0
屏東縣高樹鄉,24584,0,0
屏東縣萬巒鄉,20523,0,0
屏東縣內埔鄉,54620,6,10.985
屏東縣新埤鄉,9939,0,0
屏東縣崁頂鄉,15655,1,6.388
屏東縣南州鄉,10680,1,9.363
屏東縣琉球鄉,12318,0,0
屏東縣三地門鄉,7661,0,0
屏東縣霧臺鄉,3271,0,0
屏東縣瑪家鄉,6761,2,29.581
屏東縣泰武鄉,5292,0,0
屏東縣來義鄉,7433,0,0
屏東縣春日鄉,4877,0,0
屏東縣獅子鄉,4850,0,0
屏東縣東港鎮,47844,5,10.451
屏東縣恆春鎮,30741,3,9.759
屏東縣枋寮鄉,24554,0,0
屏東縣新園鄉,35230,3,8.515
屏東縣林邊鄉,18014,1,5.551
屏東縣車城鄉,8586,0,0
屏東縣滿州鄉,7871,0,0
屏東縣枋山鄉,5466,1,18.295
屏東縣牡丹鄉,4939,0,0
彰化縣社頭鄉,43112,0,0
彰化縣員林市,124562,0,0
彰化縣田中鎮,41867,0,0
彰化縣彰化市,233341,4,1.714
彰化縣和美鎮,90946,5,5.498
彰化縣線西鄉,16925,0,0
彰化縣伸港鄉,36964,0,0
彰化縣秀水鄉,39354,2,5.082
彰化縣花壇鄉,45882,1,2.18
彰化縣芬園鄉,23735,2,8.426
彰化縣溪湖鎮,55660,1,1.797
彰化縣大村鄉,36857,3,8.14
彰化縣埔鹽鄉,32543,0,0
彰化縣埔心鄉,34787,0,0
彰化縣永靖鄉,37255,2,5.368
彰化縣二水鄉,15277,0,0
彰化縣二林鎮,50941,2,3.926
彰化縣埤頭鄉,30669,2,6.521
彰化縣芳苑鄉,33656,4,11.885
彰化縣大城鄉,16936,1,5.905
彰化縣竹塘鄉,15233,0,0
彰化縣溪州鄉,29946,0,0
彰化縣鹿港鎮,86812,2,2.304
彰化縣福興鄉,47253,2,4.233
彰化縣北斗鎮,33335,2,6
彰化縣田尾鄉,27456,0,0
新北市永和區,222419,0,0
新北市新店區,302030,5,1.655
新北市土城區,237858,2,0.841
新北市蘆洲區,201258,0,0
新北市五股區,85121,5,5.874
新北市坪林區,6515,2,30.698
新北市平溪區,4710,0,0
新北市烏來區,6319,0,0
新北市淡水區,169996,2,1.176
新北市瑞芳區,40256,1,2.484
新北市林口區,106509,0,0
新北市三芝區,23161,2,8.635
新北市八里區,38481,1,2.599
新北市三峽區,115049,2,1.738
新北市鶯歌區,86580,1,1.155
新北市中和區,413201,4,0.968
新北市樹林區,184055,2,1.087
新北市深坑區,23633,0,0
新北市板橋區,551473,4,0.725
新北市石碇區,7671,2,26.072
新北市新莊區,416909,2,0.48
新北市泰山區,78872,0,0
新北市三重區,387044,4,1.033
新北市雙溪區,8913,0,0
新北市貢寮區,12518,0,0
新北市汐止區,199473,0,0
新北市萬里區,22227,0,0
新北市金山區,21987,1,4.548
新北市石門區,12263,0,0
新竹市北區,150735,2,1.327
新竹市香山區,78016,0,0
新竹市東區,213066,2,0.939
新竹縣峨眉鄉,5530,0,0
新竹縣竹東鎮,96843,1,1.033
新竹縣新埔鎮,33351,0,0
新竹縣關西鎮,28827,1,3.469
新竹縣湖口鄉,77477,3,3.872
新竹縣芎林鄉,20080,0,0
新竹縣橫山鄉,13008,0,0
新竹縣北埔鄉,9355,0,0
新竹縣寶山鄉,14560,0,0
新竹縣尖石鄉,9540,0,0
新竹縣五峰鄉,4586,0,0
新竹縣竹北市,182538,3,1.643
