area,population,death,rate
南投縣南投市,102356,1,0.977
南投縣埔里鎮,82919,1,1.206
南投縣草屯鎮,99183,2,2.016
南投縣竹山鎮,56559,3,5.304
南投縣集集鎮,11387,0,0
南投縣名間鄉,40007,1,2.5
南投縣鹿谷鄉,18521,1,5.399
南投縣中寮鄉,15539,0,0
南投縣魚池鄉,16496,0,0
南投縣國姓鄉,19672,0,0
南投縣水里鄉,18676,0,0
南投縣信義鄉,16803,1,5.951
南投縣仁愛鄉,15852,2,12.617
嘉義市東區,123365,2,1.621
嘉義市西區,147560,0,0
嘉義縣太保市,37055,0,0
嘉義縣中埔鄉,46119,2,4.337
嘉義縣番路鄉,12058,2,16.586
嘉義縣水上鄉,50699,2,3.945
嘉義縣東石鄉,26184,0,0
嘉義縣朴子市,43240,0,0
嘉義縣大林鎮,32106,0,0
嘉義縣民雄鄉,71929,0,0
嘉義縣溪口鄉,15333,0,0
嘉義縣新港鄉,33158,3,9.048
嘉義縣六腳鄉,24562,0,0
嘉義縣義竹鄉,19556,1,5.114
嘉義縣鹿草鄉,16344,1,6.118
嘉義縣竹崎鄉,36870,1,2.712
嘉義縣梅山鄉,20279,0,0
嘉義縣大埔鄉,4662,0,0
嘉義縣阿里山鄉,5755,0,0
嘉義縣布袋鎮,28367,0,0
基隆市暖暖區,38203,1,2.618
基隆市七堵區,53989,2,3.704
基隆市仁愛區,46214,1,2.164
基隆市信義區,51257,0,0
基隆市中正區,53070,1,1.884
基隆市中山區,48672,0,0
基隆市安樂區,81606,0,0
宜蘭縣蘇澳鎮,40988,0,0
宜蘭縣五結鄉,39345,0,0
宜蘭縣宜蘭市,95914,0,0
宜蘭縣壯圍鄉,24443,0,0
宜蘭縣羅東鎮,72584,1,1.378
宜蘭縣員山鄉,32396,0,0
宜蘭縣冬山鄉,53473,4,7.48
宜蘭縣三星鄉,21487,0,0
宜蘭縣大同鄉,6121,0,0
宜蘭縣頭城鎮,29869,3,10.044
宜蘭縣南澳鄉,6125,0,0
宜蘭縣礁溪鄉,35946,2,5.564
屏東縣佳冬鄉,20228,1,4.944
屏東縣竹田鄉,17680,0,0
屏東縣萬丹鄉,52034,2,3.844
屏東縣屏東市,203809,3,1.472
屏東縣潮州鎮,54731,0,0
屏東縣長治鄉,30385,0,0
屏東縣麟洛鄉,11310,0,0
屏東縣九如鄉,22148,0,0
屏東縣里港鄉,26813,0,0
屏東縣鹽埔鄉,26621,0,0
屏東縣高樹鄉,25482,0,0
屏東縣萬巒鄉,20877,1,4.79
屏東縣內埔鄉,56090,1,1.783
屏東縣新埤鄉,10223,1,9.782
屏東縣崁頂鄉,16350,1,6.116
屏東縣南州鄉,10996,1,9.094
屏東縣琉球鄉,12643,0,0
屏東縣三地門鄉,7767,0,0
屏東縣霧臺鄉,3417,0,0
屏東縣瑪家鄉,6707,0,0
屏東縣泰武鄉,5268,0,0
屏東縣來義鄉,7645,0,0
屏東縣春日鄉,4873,0,0
屏東縣獅子鄉,4873,0,0
屏東縣東港鎮,48241,0,0
屏東縣恆春鎮,30884,1,3.238
屏東縣枋寮鄉,25472,1,3.926
屏東縣新園鄉,36635,1,2.73
屏東縣林邊鄉,19188,1,5.212
屏東縣車城鄉,9077,0,0
屏東縣滿州鄉,8101,0,0
屏東縣枋山鄉,5732,0,0
屏東縣牡丹鄉,4855,0,0
彰化縣社頭鄉,43674,2,4.579
彰化縣員林市,124741,2,1.603
彰化縣田中鎮,42720,2,4.682
彰化縣彰化市,235078,2,0.851
彰化縣和美鎮,90765,0,0
彰化縣線西鄉,17123,0,0
彰化縣伸港鄉,36218,1,2.761
彰化縣秀水鄉,39340,0,0
彰化縣花壇鄉,45897,0,0
彰化縣芬園鄉,24131,0,0
彰化縣溪湖鎮,55786,1,1.793
彰化縣大村鄉,36461,0,0
彰化縣埔鹽鄉,33162,0,0
彰化縣埔心鄉,34853,0,0
彰化縣永靖鄉,38181,0,0
彰化縣二水鄉,15821,0,0
彰化縣二林鎮,52320,0,0
彰化縣埤頭鄉,31041,0,0
彰化縣芳苑鄉,34683,0,0
彰化縣大城鄉,17779,1,5.625
彰化縣竹塘鄉,15846,0,0
彰化縣溪州鄉,30709,2,6.513
彰化縣鹿港鎮,86156,0,0
彰化縣福興鄉,47807,1,2.092
彰化縣北斗鎮,33219,0,0
彰化縣田尾鄉,27801,1,3.597
新北市永和區,227221,0,0
新北市新店區,299691,1,0.334
新北市土城區,239310,0,0
新北市蘆洲區,199739,1,0.501
新北市五股區,82255,1,1.216
新北市坪林區,6468,0,0
新北市平溪區,4942,0,0
新北市烏來區,6164,0,0
新北市淡水區,159187,2,1.256
新北市瑞芳區,41280,0,0
新北市林口區,97887,0,0
新北市三芝區,23490,0,0
新北市八里區,37226,0,0
新北市三峽區,111641,2,1.791
新北市鶯歌區,89136,1,1.122
新北市中和區,415277,1,0.241
新北市樹林區,184153,3,1.629
新北市深坑區,23622,0,0
新北市板橋區,555924,1,0.18
新北市石碇區,7865,0,0
新北市新莊區,411913,3,0.728
新北市泰山區,78491,2,2.548
新北市三重區,389199,1,0.257
新北市雙溪區,9413,1,10.624
新北市貢寮區,13097,0,0
新北市汐止區,195167,2,1.025
新北市萬里區,22687,0,0
新北市金山區,22396,0,0
新北市石門區,12730,0,0
新竹市北區,148766,3,2.017
新竹市香山區,76412,0,0
新竹市東區,207081,3,1.449
新竹縣峨眉鄉,5734,0,0
新竹縣竹東鎮,96046,1,1.041
新竹縣新埔鎮,34407,0,0
新竹縣關西鎮,30657,1,3.262
新竹縣湖口鄉,77215,0,0
新竹縣芎林鄉,20314,0,0
新竹縣橫山鄉,13741,2,14.555
新竹縣北埔鄉,9782,0,0
新竹縣寶山鄉,14337,0,0
新竹縣尖石鄉,9498,0,0
新竹縣五峰鄉,4712,0,0
新竹縣竹北市,165540,1,0.604
新竹縣新豐鄉,55924,1,1.788
桃園市蘆竹區,151546,2,1.32
桃園市龜山區,142213,1,0.703
桃園市龍潭區,116420,1,0.859
桃園市復興區,10921,0,0
桃園市觀音區,63680,0,0
桃園市桃園區,418040,2,0.478
桃園市大園區,84618,1,1.182
桃園市新屋區,48054,2,4.162
桃園市楊梅區,157407,1,0.635
桃園市大溪區,91994,0,0
桃園市八德區,181717,2,1.101
桃園市中壢區,382074,4,1.047
桃園市平鎮區,212817,0,0
澎湖縣馬公市,60391,0,0
澎湖縣湖西鄉,14308,0,0
澎湖縣白沙鄉,9801,0,0
澎湖縣西嶼鄉,8435,1,11.855
澎湖縣望安鄉,5118,0,0
澎湖縣七美鄉,3750,0,0
臺中市南屯區,162100,0,0
臺中市烏日區,71550,0,0
臺中市新社區,25243,0,0
臺中市石岡區,15391,0,0
臺中市外埔區,31796,0,0
臺中市大肚區,56388,0,0
臺中市霧峰區,64495,1,1.551
臺中市太平區,181807,1,0.55
臺中市大里區,206536,2,0.968
臺中市和平區,10817,0,0
臺中市中區,19338,0,0
臺中市東區,74944,2,2.669
臺中市南區,120182,1,0.832
臺中市大甲區,77575,6,7.734
臺中市大安區,19631,1,5.094
臺中市龍井區,76169,1,1.313
臺中市西區,115767,2,1.728
臺中市北區,147529,1,0.678
臺中市西屯區,218788,4,1.828
臺中市北屯區,260117,0,0
臺中市豐原區,166472,0,0
臺中市東勢區,51473,0,0
臺中市沙鹿區,87905,3,3.413
臺中市后里區,54119,0,0
臺中市神岡區,64941,0,0
臺中市潭子區,105280,0,0
臺中市大雅區,92721,0,0
臺中市清水區,85969,1,1.163
臺中市梧棲區,56666,2,3.529
臺北市大安區,313926,3,0.956
臺北市文山區,274129,2,0.73
臺北市信義區,229854,1,0.435
臺北市萬華區,194833,0,0
臺北市中正區,163403,2,1.224
臺北市南港區,121386,0,0
臺北市松山區,210433,0,0
臺北市大同區,131036,0,0
臺北市中山區,230833,0,0
臺北市內湖區,286047,1,0.35
臺北市士林區,290649,3,1.032
臺北市北投區,257604,0,0
臺南市新營區,78248,0,0
臺南市鹽水區,26304,1,3.802
臺南市白河區,29710,0,0
臺南市柳營區,21825,0,0
臺南市後壁區,24545,0,0
臺南市東山區,21894,1,4.567
臺南市麻豆區,45057,1,2.219
臺南市下營區,25054,1,3.991
臺南市六甲區,22801,0,0
臺南市官田區,21670,0,0
臺南市大內區,10241,0,0
臺南市佳里區,59530,1,1.68
臺南市學甲區,26913,0,0
臺南市西港區,24885,0,0
臺南市新化區,43773,0,0
臺南市新市區,35524,1,2.815
臺南市安定區,30275,1,3.303
臺南市玉井區,14537,0,0
臺南市楠西區,10114,0,0
臺南市南化區,8991,0,0
臺南市左鎮區,5175,0,0
臺南市仁德區,73179,1,1.367
臺南市歸仁區,67509,1,1.481
臺南市關廟區,34874,0,0
臺南市龍崎區,4283,0,0
臺南市永康區,228818,0,0
臺南市北區,132597,0,0
臺南市七股區,23613,0,0
臺南市將軍區,20548,1,4.867
臺南市北門區,11666,2,17.144
臺南市安南區,187922,0,0
臺南市南區,125726,1,0.795
臺南市東區,190243,1,0.526
臺南市安平區,64992,0,0
臺南市中西區,77925,2,2.567
臺南市善化區,46181,0,0
臺南市山上區,7499,1,13.335
臺東縣成功鎮,14907,0,0
臺東縣綠島鄉,3812,0,0
臺東縣蘭嶼鄉,4977,1,20.092
臺東縣鹿野鄉,8183,0,0
臺東縣池上鄉,8588,0,0
臺東縣延平鄉,3613,0,0
臺東縣金峰鄉,3665,0,0
臺東縣臺東市,106908,0,0
臺東縣卑南鄉,17674,0,0
臺東縣東河鄉,8981,0,0
臺東縣長濱鄉,7730,1,12.937
臺東縣太麻里鄉,11486,0,0
臺東縣達仁鄉,3705,0,0
臺東縣大武鄉,6529,0,0
臺東縣關山鎮,9089,0,0
臺東縣海端鄉,4371,0,0
花蓮縣鳳林鎮,11216,0,0
花蓮縣光復鄉,13381,0,0
花蓮縣瑞穗鄉,12066,1,8.288
花蓮縣富里鄉,10817,0,0
花蓮縣萬榮鄉,6525,0,0
花蓮縣吉安鄉,82589,0,0
花蓮縣壽豐鄉,18231,2,10.97
花蓮縣豐濱鄉,4684,0,0
花蓮縣秀林鄉,15509,1,6.448
花蓮縣玉里鎮,25359,0,0
花蓮縣卓溪鄉,6193,0,0
花蓮縣花蓮市,106393,1,0.94
花蓮縣新城鄉,20277,1,4.932
苗栗縣三灣鄉,7121,0,0
苗栗縣南庄鄉,10663,0,0
苗栗縣苗栗市,90946,0,0
苗栗縣卓蘭鎮,18339,0,0
苗栗縣大湖鄉,15518,0,0
苗栗縣公館鄉,34812,0,0
苗栗縣銅鑼鄉,18885,2,10.59
苗栗縣頭屋鄉,11392,0,0
苗栗縣三義鄉,17238,0,0
苗栗縣西湖鄉,7583,0,0
苗栗縣造橋鄉,13458,0,0
苗栗縣獅潭鄉,4717,0,0
苗栗縣泰安鄉,6154,0,0
苗栗縣苑裡鎮,48578,0,0
苗栗縣通霄鎮,36894,0,0
苗栗縣竹南鎮,83737,2,2.388
苗栗縣後龍鎮,38319,1,2.61
苗栗縣頭份市,102738,0,0
連江縣南竿鄉,7518,0,0
連江縣北竿鄉,2321,0,0
連江縣莒光鄉,1431,0,0
連江縣東引鄉,1268,0,0
金門縣金寧鄉,27408,1,3.649
金門縣烏坵鄉,675,0,0
金門縣金城鎮,41064,0,0
金門縣金沙鎮,19529,0,0
金門縣金湖鎮,27476,0,0
金門縣烈嶼鄉,12035,0,0
雲林縣麥寮鄉,43937,0,0
雲林縣斗六市,108175,0,0
雲林縣斗南鎮,45966,0,0
雲林縣虎尾鎮,70367,3,4.263
雲林縣西螺鎮,47157,1,2.121
雲林縣土庫鎮,29646,0,0
雲林縣北港鎮,41474,0,0
雲林縣古坑鄉,32630,0,0
雲林縣大埤鄉,19956,0,0
雲林縣莿桐鄉,29572,1,3.382
雲林縣林內鄉,18935,1,5.281
雲林縣二崙鄉,28321,0,0
雲林縣崙背鄉,25844,1,3.869
雲林縣東勢鄉,15807,0,0
雲林縣褒忠鄉,13584,0,0
雲林縣元長鄉,27232,0,0
雲林縣水林鄉,26950,0,0
雲林縣臺西鄉,24968,0,0
雲林縣四湖鄉,25309,0,0
雲林縣口湖鄉,28954,0,0
高雄市旗津區,28907,0,0
高雄市小港區,156205,0,0
高雄市鹽埕區,25411,0,0
高雄市三民區,347611,3,0.863
高雄市新興區,52540,0,0
高雄市楠梓區,178666,2,1.119
高雄市鳳山區,354412,2,0.564
高雄市大寮區,111231,4,3.596
高雄市大樹區,43237,1,2.313
高雄市大社區,34449,0,0
高雄市仁武區,81088,0,0
高雄市鳥松區,43809,1,2.283
高雄市岡山區,97787,3,3.068
高雄市橋頭區,37227,0,0
高雄市燕巢區,30364,0,0
高雄市田寮區,7643,0,0
高雄市阿蓮區,29555,0,0
高雄市路竹區,53071,0,0
高雄市湖內區,29418,1,3.399
高雄市旗山區,38079,0,0
高雄市前金區,27733,0,0
高雄市美濃區,41167,0,0
高雄市六龜區,13652,0,0
高雄市甲仙區,6415,0,0
高雄市杉林區,12520,0,0
高雄市內門區,15158,0,0
高雄市苓雅區,175762,0,0
高雄市前鎮區,193842,1,0.516
高雄市茂林區,1910,0,0
高雄市桃源區,4278,0,0
高雄市那瑪夏區,3194,0,0
高雄市林園區,70485,1,1.419
高雄市茄萣區,30649,0,0
高雄市永安區,14111,0,0
高雄市彌陀區,19827,0,0
高雄市梓官區,36406,0,0
高雄市鼓山區,135759,1,0.737
高雄市左營區,195777,0,0
