area,population,death,rate
南投縣南投市,99231,12,12.093
南投縣埔里鎮,79876,19,23.787
南投縣草屯鎮,97608,11,11.27
南投縣竹山鎮,53971,8,14.823
南投縣集集鎮,10620,1,9.416
南投縣名間鄉,37972,6,15.801
南投縣鹿谷鄉,17528,5,28.526
南投縣中寮鄉,14521,1,6.887
南投縣魚池鄉,15610,2,12.812
南投縣國姓鄉,18277,5,27.357
南投縣水里鄉,17259,3,17.382
南投縣信義鄉,16002,0,0
南投縣仁愛鄉,15877,4,25.194
嘉義市東區,120886,9,7.445
嘉義市西區,146847,12,8.172
嘉義縣太保市,38287,14,36.566
嘉義縣中埔鄉,44330,10,22.558
嘉義縣番路鄉,11265,6,53.262
嘉義縣水上鄉,49198,4,8.13
嘉義縣東石鄉,24234,8,33.011
嘉義縣朴子市,41873,11,26.27
嘉義縣大林鎮,30714,7,22.791
嘉義縣民雄鄉,71368,10,14.012
嘉義縣溪口鄉,14295,4,27.982
嘉義縣新港鄉,31459,4,12.715
嘉義縣六腳鄉,22582,7,30.998
嘉義縣義竹鄉,17898,7,39.111
嘉義縣鹿草鄉,15129,2,13.22
嘉義縣竹崎鄉,35219,6,17.036
嘉義縣梅山鄉,18986,4,21.068
嘉義縣大埔鄉,4591,0,0
嘉義縣阿里山鄉,5542,0,0
嘉義縣布袋鎮,26387,1,3.79
基隆市暖暖區,38551,2,5.188
基隆市七堵區,53721,4,7.446
基隆市仁愛區,43234,4,9.252
基隆市信義區,52763,2,3.791
基隆市中正區,51506,5,9.708
基隆市中山區,46896,0,0
基隆市安樂區,82234,8,9.728
宜蘭縣蘇澳鎮,39173,6,15.317
宜蘭縣五結鄉,39929,6,15.027
宜蘭縣宜蘭市,95591,17,17.784
宜蘭縣壯圍鄉,24416,3,12.287
宜蘭縣羅東鎮,71950,5,6.949
宜蘭縣員山鄉,32286,2,6.195
宜蘭縣冬山鄉,53072,11,20.727
宜蘭縣三星鄉,21286,3,14.094
宜蘭縣大同鄉,6139,4,65.157
宜蘭縣頭城鎮,28981,5,17.253
宜蘭縣南澳鄉,5976,3,50.201
宜蘭縣礁溪鄉,35427,7,19.759
屏東縣佳冬鄉,18861,4,21.208
屏東縣竹田鄉,16897,7,41.427
屏東縣萬丹鄉,50419,9,17.85
屏東縣屏東市,199014,32,16.079
屏東縣潮州鎮,53820,5,9.29
屏東縣長治鄉,29563,13,43.974
屏東縣麟洛鄉,10925,2,18.307
屏東縣九如鄉,21976,7,31.853
屏東縣里港鄉,25824,7,27.107
屏東縣鹽埔鄉,25361,7,27.601
屏東縣高樹鄉,24014,4,16.657
屏東縣萬巒鄉,20475,1,4.884
屏東縣內埔鄉,53612,9,16.787
屏東縣新埤鄉,9748,5,51.293
屏東縣崁頂鄉,15393,2,12.993
屏東縣南州鄉,10539,2,18.977
屏東縣琉球鄉,12225,0,0
屏東縣三地門鄉,7680,0,0
屏東縣霧臺鄉,3293,0,0
屏東縣瑪家鄉,6783,2,29.485
屏東縣泰武鄉,5411,0,0
屏東縣來義鄉,7430,0,0
屏東縣春日鄉,4943,0,0
屏東縣獅子鄉,4907,0,0
屏東縣東港鎮,47177,3,6.359
屏東縣恆春鎮,30648,5,16.314
屏東縣枋寮鄉,24060,7,29.094
屏東縣新園鄉,34501,8,23.188
屏東縣林邊鄉,17591,2,11.369
屏東縣車城鄉,8420,4,47.506
屏東縣滿州鄉,7696,2,25.988
屏東縣枋山鄉,5352,7,130.792
屏東縣牡丹鄉,4871,0,0
彰化縣社頭鄉,42587,3,7.044
彰化縣員林市,124948,17,13.606
彰化縣田中鎮,41251,1,2.424
彰化縣彰化市,232158,17,7.323
彰化縣和美鎮,90519,16,17.676
彰化縣線西鄉,16732,3,17.93
彰化縣伸港鄉,37424,3,8.016
彰化縣秀水鄉,39082,7,17.911
彰化縣花壇鄉,45602,11,24.122
彰化縣芬園鄉,23369,2,8.558
彰化縣溪湖鎮,55163,11,19.941
彰化縣大村鄉,37139,2,5.385
彰化縣埔鹽鄉,32203,8,24.842
彰化縣埔心鄉,34746,3,8.634
彰化縣永靖鄉,36670,1,2.727
彰化縣二水鄉,14850,3,20.202
彰化縣二林鎮,50093,13,25.952
彰化縣埤頭鄉,30401,6,19.736
彰化縣芳苑鄉,33141,13,39.226
彰化縣大城鄉,16383,5,30.519
彰化縣竹塘鄉,14927,5,33.496
彰化縣溪州鄉,29431,9,30.58
彰化縣鹿港鎮,86877,15,17.266
彰化縣福興鄉,46765,7,14.968
彰化縣北斗鎮,33333,4,12
彰化縣田尾鄉,26995,3,11.113
新北市永和區,220563,7,3.174
新北市新店區,303365,13,4.285
新北市土城區,237564,7,2.947
新北市蘆洲區,201871,9,4.458
新北市五股區,87917,6,6.825
新北市坪林區,6690,2,29.895
新北市平溪區,4555,0,0
新北市烏來區,6417,1,15.584
新北市淡水區,178358,10,5.607
新北市瑞芳區,39560,4,10.111
新北市林口區,115120,3,2.606
新北市三芝區,22760,2,8.787
新北市八里區,39451,8,20.278
新北市三峽區,116414,13,11.167
新北市鶯歌區,86827,4,4.607
新北市中和區,412937,13,3.148
新北市樹林區,183966,11,5.979
新北市深坑區,23709,3,12.653
新北市板橋區,556484,19,3.414
新北市石碇區,7632,1,13.103
新北市新莊區,420140,24,5.712
新北市泰山區,78766,7,8.887
新北市三重區,386251,24,6.214
新北市雙溪區,8678,0,0
新北市貢寮區,12052,3,24.892
新北市汐止區,203250,9,4.428
新北市萬里區,21909,4,18.257
新北市金山區,21412,3,14.011
新北市石門區,11859,0,0
新竹市北區,152271,18,11.821
新竹市香山區,78585,15,19.088
新竹市東區,217616,15,6.893
新竹縣峨眉鄉,5477,0,0
新竹縣竹東鎮,97104,11,11.328
新竹縣新埔鎮,32817,12,36.566
新竹縣關西鎮,28066,4,14.252
新竹縣湖口鄉,77890,12,15.406
新竹縣芎林鄉,19935,2,10.033
新竹縣橫山鄉,12801,3,23.436
新竹縣北埔鄉,9172,1,10.903
新竹縣寶山鄉,14591,2,13.707
新竹縣尖石鄉,9633,1,10.381
新竹縣五峰鄉,4600,1,21.739
新竹縣竹北市,193980,17,8.764
新竹縣新豐鄉,57302,4,6.981
桃園市蘆竹區,166322,21,12.626
桃園市龜山區,162748,22,13.518
桃園市龍潭區,123969,19,15.326
桃園市復興區,12153,1,8.228
桃園市觀音區,67834,11,16.216
桃園市桃園區,452343,20,4.421
