area,population,death,rate
南投縣南投市,99284,4,4.029
南投縣埔里鎮,79607,6,7.537
南投縣草屯鎮,97624,9,9.219
南投縣竹山鎮,53733,4,7.444
南投縣集集鎮,10558,0,0
南投縣名間鄉,37747,2,5.298
南投縣鹿谷鄉,17339,1,5.767
南投縣中寮鄉,14435,0,0
南投縣魚池鄉,15553,2,12.859
南投縣國姓鄉,18067,1,5.535
南投縣水里鄉,17206,3,17.436
南投縣信義鄉,15893,1,6.292
南投縣仁愛鄉,15831,1,6.317
嘉義市東區,120383,2,1.661
嘉義市西區,146820,9,6.13
嘉義縣太保市,38382,5,13.027
嘉義縣中埔鄉,44212,3,6.785
嘉義縣番路鄉,11206,4,35.695
嘉義縣水上鄉,49056,1,2.038
嘉義縣東石鄉,23973,3,12.514
嘉義縣朴子市,41815,4,9.566
嘉義縣大林鎮,30579,3,9.811
嘉義縣民雄鄉,71293,4,5.611
嘉義縣溪口鄉,14207,2,14.078
嘉義縣新港鄉,31350,7,22.329
嘉義縣六腳鄉,22383,2,8.935
嘉義縣義竹鄉,17760,3,16.892
嘉義縣鹿草鄉,15009,2,13.325
嘉義縣竹崎鄉,35002,5,14.285
嘉義縣梅山鄉,18837,1,5.309
嘉義縣大埔鄉,4581,0,0
嘉義縣阿里山鄉,5534,1,18.07
嘉義縣布袋鎮,26197,4,15.269
基隆市暖暖區,38610,1,2.59
基隆市七堵區,53690,1,1.863
基隆市仁愛區,43183,1,2.316
基隆市信義區,52861,4,7.567
基隆市中正區,51391,0,0
基隆市中山區,46697,1,2.141
基隆市安樂區,82254,0,0
宜蘭縣蘇澳鎮,39053,3,7.682
宜蘭縣五結鄉,40138,4,9.966
宜蘭縣宜蘭市,95630,3,3.137
宜蘭縣壯圍鄉,24356,6,24.635
宜蘭縣羅東鎮,71813,2,2.785
宜蘭縣員山鄉,32269,1,3.099
宜蘭縣冬山鄉,53218,6,11.274
宜蘭縣三星鄉,21222,4,18.848
宜蘭縣大同鄉,6116,0,0
宜蘭縣頭城鎮,28922,2,6.915
宜蘭縣南澳鄉,5889,3,50.942
宜蘭縣礁溪鄉,35344,4,11.317
屏東縣佳冬鄉,18745,1,5.335
屏東縣竹田鄉,16749,1,5.971
屏東縣萬丹鄉,50334,5,9.934
屏東縣屏東市,198633,21,10.572
屏東縣潮州鎮,53947,5,9.268
屏東縣長治鄉,29540,4,13.541
屏東縣麟洛鄉,10867,3,27.607
屏東縣九如鄉,21967,2,9.105
