area,population,death,rate
南投縣南投市,101211,7,6.916
南投縣埔里鎮,81832,10,12.22
南投縣草屯鎮,98582,12,12.173
南投縣竹山鎮,55719,5,8.974
南投縣集集鎮,11087,1,9.02
南投縣名間鄉,39295,7,17.814
南投縣鹿谷鄉,18045,2,11.083
南投縣中寮鄉,15186,0,0
南投縣魚池鄉,16220,5,30.826
南投縣國姓鄉,19152,6,31.328
南投縣水里鄉,18102,3,16.573
南投縣信義鄉,16424,1,6.089
南投縣仁愛鄉,15675,2,12.759
嘉義市東區,122640,3,2.446
嘉義市西區,147352,9,6.108
嘉義縣太保市,37431,9,24.044
嘉義縣中埔鄉,45499,10,21.979
嘉義縣番路鄉,11756,4,34.025
嘉義縣水上鄉,50197,13,25.898
嘉義縣東石鄉,25453,2,7.858
嘉義縣朴子市,42738,2,4.68
嘉義縣大林鎮,31502,2,6.349
嘉義縣民雄鄉,71892,4,5.564
嘉義縣溪口鄉,15019,1,6.658
嘉義縣新港鄉,32573,4,12.28
嘉義縣六腳鄉,23921,3,12.541
嘉義縣義竹鄉,18922,2,10.57
嘉義縣鹿草鄉,15924,5,31.399
嘉義縣竹崎鄉,36361,4,11.001
嘉義縣梅山鄉,19861,2,10.07
嘉義縣大埔鄉,4597,0,0
嘉義縣阿里山鄉,5672,0,0
嘉義縣布袋鎮,27597,2,7.247
基隆市暖暖區,38418,1,2.603
基隆市七堵區,54100,4,7.394
基隆市仁愛區,45256,3,6.629
基隆市信義區,51837,1,1.929
基隆市中正區,52488,1,1.905
基隆市中山區,48191,2,4.15
基隆市安樂區,81696,2,2.448
宜蘭縣蘇澳鎮,40575,3,7.394
宜蘭縣五結鄉,39641,2,5.045
宜蘭縣宜蘭市,95983,9,9.377
宜蘭縣壯圍鄉,24283,2,8.236
宜蘭縣羅東鎮,72530,3,4.136
宜蘭縣員山鄉,32298,3,9.289
宜蘭縣冬山鄉,53333,9,16.875
宜蘭縣三星鄉,21412,6,28.022
宜蘭縣大同鄉,6081,0,0
宜蘭縣頭城鎮,29787,1,3.357
宜蘭縣南澳鄉,5941,8,134.657
宜蘭縣礁溪鄉,35924,3,8.351
屏東縣佳冬鄉,19742,6,30.392
屏東縣竹田鄉,17438,4,22.938
屏東縣萬丹鄉,51362,15,29.204
屏東縣屏東市,202045,18,8.909
屏東縣潮州鎮,54840,7,12.764
屏東縣長治鄉,30171,9,29.83
屏東縣麟洛鄉,11173,6,53.701
屏東縣九如鄉,22064,1,4.532
屏東縣里港鄉,27110,1,3.689
屏東縣鹽埔鄉,26233,4,15.248
屏東縣高樹鄉,24945,5,20.044
屏東縣萬巒鄉,20667,3,14.516
屏東縣內埔鄉,55299,7,12.658
屏東縣新埤鄉,9963,5,50.186
屏東縣崁頂鄉,15944,7,43.904
屏東縣南州鄉,10858,1,9.21
屏東縣琉球鄉,12444,0,0
屏東縣三地門鄉,7675,1,13.029
屏東縣霧臺鄉,3286,0,0
屏東縣瑪家鄉,6742,1,14.832
屏東縣泰武鄉,5228,0,0
屏東縣來義鄉,7516,0,0
屏東縣春日鄉,4812,0,0
屏東縣獅子鄉,4814,3,62.318
屏東縣東港鎮,48230,4,8.294
屏東縣恆春鎮,30765,6,19.503
屏東縣枋寮鄉,24925,10,40.12
屏東縣新園鄉,35841,8,22.321
屏東縣林邊鄉,18452,2,10.839
屏東縣車城鄉,8845,5,56.529
屏東縣滿州鄉,7905,1,12.65
屏東縣枋山鄉,5522,5,90.547
屏東縣牡丹鄉,4844,0,0
彰化縣社頭鄉,43349,3,6.921
彰化縣員林市,125057,9,7.197
彰化縣田中鎮,42265,5,11.83
彰化縣彰化市,234884,15,6.386
彰化縣和美鎮,91250,4,4.384
彰化縣線西鄉,16992,6,35.311
彰化縣伸港鄉,36623,3,8.192
彰化縣秀水鄉,39369,1,2.54
彰化縣花壇鄉,46130,6,13.007
彰化縣芬園鄉,23947,2,8.352
彰化縣溪湖鎮,55711,4,7.18
彰化縣大村鄉,36702,2,5.449
彰化縣埔鹽鄉,32875,5,15.209
彰化縣埔心鄉,34787,2,5.749
彰化縣永靖鄉,37862,1,2.641
彰化縣二水鄉,15572,1,6.422
彰化縣二林鎮,51645,11,21.299
彰化縣埤頭鄉,30836,4,12.972
彰化縣芳苑鄉,34137,11,32.223
彰化縣大城鄉,17361,4,23.04
彰化縣竹塘鄉,15539,2,12.871
彰化縣溪州鄉,30444,5,16.424
彰化縣鹿港鎮,86672,10,11.538
彰化縣福興鄉,47434,12,25.298
彰化縣北斗鎮,33291,4,12.015
彰化縣田尾鄉,27611,1,3.622
新北市永和區,224563,8,3.562
新北市新店區,300584,8,2.661
新北市土城區,238350,11,4.615
新北市蘆洲區,200365,2,0.998
新北市五股區,83665,10,11.952
新北市坪林區,6513,1,15.354
新北市平溪區,4791,1,20.872
新北市烏來區,6166,0,0
新北市淡水區,164434,8,4.865
新北市瑞芳區,40721,5,12.279
