area,population,death,rate
南投縣南投市,98079,5,5.098
南投縣埔里鎮,77681,5,6.437
南投縣草屯鎮,96658,4,4.138
南投縣竹山鎮,52350,2,3.82
南投縣集集鎮,10135,0,0
南投縣名間鄉,36655,2,5.456
南投縣鹿谷鄉,16669,1,5.999
南投縣中寮鄉,13977,0,0
南投縣魚池鄉,15073,0,0
南投縣國姓鄉,17449,1,5.731
南投縣水里鄉,16572,0,0
南投縣信義鄉,15747,0,0
南投縣仁愛鄉,15796,3,18.992
嘉義市東區,118524,2,1.687
嘉義市西區,145297,3,2.065
嘉義縣太保市,38645,3,7.763
嘉義縣中埔鄉,43358,6,13.838
嘉義縣番路鄉,11005,0,0
嘉義縣水上鄉,48315,2,4.14
嘉義縣東石鄉,23416,2,8.541
嘉義縣朴子市,41123,3,7.295
嘉義縣大林鎮,29994,2,6.668
嘉義縣民雄鄉,70518,3,4.254
嘉義縣溪口鄉,13702,1,7.298
嘉義縣新港鄉,30568,4,13.086
嘉義縣六腳鄉,21635,3,13.866
嘉義縣義竹鄉,17146,0,0
嘉義縣鹿草鄉,14581,1,6.858
嘉義縣竹崎鄉,34009,0,0
嘉義縣梅山鄉,18241,1,5.482
嘉義縣大埔鄉,4514,0,0
嘉義縣阿里山鄉,5410,0,0
嘉義縣布袋鎮,25327,1,3.948
基隆市暖暖區,38244,0,0
基隆市七堵區,53058,2,3.769
基隆市仁愛區,41552,0,0
基隆市信義區,52817,1,1.893
基隆市中正區,50514,0,0
基隆市中山區,45435,0,0
基隆市安樂區,80619,2,2.481
宜蘭縣蘇澳鎮,38059,2,5.255
宜蘭縣五結鄉,40430,2,4.947
宜蘭縣宜蘭市,94700,0,0
宜蘭縣壯圍鄉,24341,1,4.108
宜蘭縣羅東鎮,70457,1,1.419
宜蘭縣員山鄉,31929,1,3.132
宜蘭縣冬山鄉,52852,4,7.568
宜蘭縣三星鄉,21188,3,14.159
宜蘭縣大同鄉,6121,1,16.337
宜蘭縣頭城鎮,28426,0,0
宜蘭縣南澳鄉,5993,1,16.686
宜蘭縣礁溪鄉,34939,0,0
屏東縣佳冬鄉,18208,0,0
屏東縣竹田鄉,16233,2,12.321
屏東縣萬丹鄉,49547,5,10.091
屏東縣屏東市,194855,9,4.619
屏東縣潮州鎮,53381,4,7.493
屏東縣長治鄉,29231,0,0
屏東縣麟洛鄉,10610,1,9.425
屏東縣九如鄉,21636,0,0
屏東縣里港鄉,25717,3,11.665
屏東縣鹽埔鄉,24462,1,4.088
屏東縣高樹鄉,23364,2,8.56
屏東縣萬巒鄉,19777,2,10.113
屏東縣內埔鄉,52458,4,7.625
屏東縣新埤鄉,9660,2,20.704
屏東縣崁頂鄉,15172,1,6.591
屏東縣南州鄉,10110,0,0
屏東縣琉球鄉,12126,1,8.247
屏東縣三地門鄉,7729,1,12.938
屏東縣霧臺鄉,3276,0,0
屏東縣瑪家鄉,6729,0,0
屏東縣泰武鄉,5351,0,0
屏東縣來義鄉,7404,0,0
屏東縣春日鄉,4915,0,0
屏東縣獅子鄉,4882,0,0
屏東縣東港鎮,46183,4,8.661
屏東縣恆春鎮,29937,3,10.021
屏東縣枋寮鄉,23151,2,8.639
屏東縣新園鄉,33293,3,9.011
屏東縣林邊鄉,16929,1,5.907
屏東縣車城鄉,8189,2,24.423
屏東縣滿州鄉,7424,0,0
屏東縣枋山鄉,5140,1,19.455
屏東縣牡丹鄉,4835,0,0
