area,population,death,rate
南投縣南投市,99113,9,9.081
南投縣埔里鎮,79324,13,16.388
南投縣草屯鎮,97575,17,17.422
南投縣竹山鎮,53544,9,16.809
南投縣集集鎮,10513,0,0
南投縣名間鄉,37600,5,13.298
南投縣鹿谷鄉,17287,1,5.785
南投縣中寮鄉,14346,0,0
南投縣魚池鄉,15479,6,38.762
南投縣國姓鄉,18021,2,11.098
南投縣水里鄉,17063,3,17.582
南投縣信義鄉,15876,3,18.896
南投縣仁愛鄉,15805,2,12.654
嘉義市東區,119792,5,4.174
嘉義市西區,146459,16,10.925
嘉義縣太保市,38516,14,36.349
嘉義縣中埔鄉,44217,7,15.831
嘉義縣番路鄉,11178,7,62.623
嘉義縣水上鄉,49050,4,8.155
嘉義縣東石鄉,23817,7,29.391
嘉義縣朴子市,41675,9,21.596
嘉義縣大林鎮,30419,9,29.587
嘉義縣民雄鄉,71362,12,16.816
嘉義縣溪口鄉,14091,2,14.193
嘉義縣新港鄉,31218,11,35.236
嘉義縣六腳鄉,22260,4,17.969
嘉義縣義竹鄉,17651,4,22.662
嘉義縣鹿草鄉,14936,8,53.562
嘉義縣竹崎鄉,34850,6,17.217
嘉義縣梅山鄉,18721,1,5.342
嘉義縣大埔鄉,4579,1,21.839
嘉義縣阿里山鄉,5533,2,36.147
嘉義縣布袋鎮,26044,5,19.198
基隆市暖暖區,38644,1,2.588
基隆市七堵區,53646,4,7.456
基隆市仁愛區,42865,3,6.999
基隆市信義區,53082,5,9.419
基隆市中正區,51296,2,3.899
基隆市中山區,46497,2,4.301
基隆市安樂區,81860,4,4.886
宜蘭縣蘇澳鎮,38926,6,15.414
宜蘭縣五結鄉,40222,6,14.917
宜蘭縣宜蘭市,95507,7,7.329
宜蘭縣壯圍鄉,24317,11,45.236
宜蘭縣羅東鎮,71516,4,5.593
宜蘭縣員山鄉,32283,1,3.098
宜蘭縣冬山鄉,53118,11,20.709
宜蘭縣三星鄉,21234,5,23.547
宜蘭縣大同鄉,6138,0,0
宜蘭縣頭城鎮,28873,6,20.781
宜蘭縣南澳鄉,5913,4,67.648
宜蘭縣礁溪鄉,35262,9,25.523
屏東縣佳冬鄉,18641,3,16.094
屏東縣竹田鄉,16670,2,11.998
屏東縣萬丹鄉,50183,14,27.898
屏東縣屏東市,197965,35,17.68
屏東縣潮州鎮,53880,8,14.848
屏東縣長治鄉,29512,13,44.05
屏東縣麟洛鄉,10770,6,55.71
屏東縣九如鄉,21979,2,9.1
屏東縣里港鄉,25680,6,23.364
屏東縣鹽埔鄉,25066,6,23.937
屏東縣高樹鄉,23812,2,8.399
屏東縣萬巒鄉,20227,7,34.607
屏東縣內埔鄉,53307,16,30.015
屏東縣新埤鄉,9598,3,31.257
屏東縣崁頂鄉,15382,5,32.506
屏東縣南州鄉,10378,3,28.907
屏東縣琉球鄉,12117,1,8.253
屏東縣三地門鄉,7667,0,0
屏東縣霧臺鄉,3258,0,0
屏東縣瑪家鄉,6749,1,14.817
屏東縣泰武鄉,5365,0,0
屏東縣來義鄉,7445,0,0
屏東縣春日鄉,4936,0,0
屏東縣獅子鄉,4854,0,0
屏東縣東港鎮,46775,8,17.103
屏東縣恆春鎮,30468,3,9.846
屏東縣枋寮鄉,23753,9,37.89
屏東縣新園鄉,34033,6,17.63
屏東縣林邊鄉,17324,1,5.772
屏東縣車城鄉,8282,3,36.223
屏東縣滿州鄉,7493,3,40.037
屏東縣枋山鄉,5244,5,95.347
屏東縣牡丹鄉,4863,0,0
彰化縣社頭鄉,42494,4,9.413
彰化縣員林市,124787,8,6.411
彰化縣田中鎮,40832,5,12.245
彰化縣彰化市,231445,21,9.073
彰化縣和美鎮,90204,8,8.869
彰化縣線西鄉,16683,6,35.965
彰化縣伸港鄉,37705,4,10.609
彰化縣秀水鄉,38934,5,12.842
彰化縣花壇鄉,45369,7,15.429
彰化縣芬園鄉,23269,3,12.893
彰化縣溪湖鎮,54889,6,10.931
彰化縣大村鄉,37630,4,10.63
彰化縣埔鹽鄉,32018,6,18.739
彰化縣埔心鄉,34578,2,5.784
彰化縣永靖鄉,36318,7,19.274
彰化縣二水鄉,14689,1,6.808
彰化縣二林鎮,49721,12,24.135
彰化縣埤頭鄉,30135,5,16.592
彰化縣芳苑鄉,32823,13,39.606
彰化縣大城鄉,16161,9,55.69
彰化縣竹塘鄉,14803,4,27.022
彰化縣溪州鄉,29154,10,34.301
彰化縣鹿港鎮,86563,12,13.863
彰化縣福興鄉,46507,8,17.202
彰化縣北斗鎮,33351,3,8.995
彰化縣田尾鄉,26724,7,26.194
新北市永和區,219380,4,1.823
新北市新店區,303798,11,3.621
新北市土城區,238238,9,3.778
新北市蘆洲區,202447,8,3.952
新北市五股區,89297,11,12.318
新北市坪林區,6697,4,59.728
新北市平溪區,4446,0,0
新北市烏來區,6390,1,15.649
新北市淡水區,182682,7,3.832
