area,population,death,rate
南投縣南投市,99384,6,6.037
南投縣埔里鎮,80164,17,21.207
南投縣草屯鎮,97474,7,7.181
南投縣竹山鎮,54069,4,7.398
南投縣集集鎮,10652,0,0
南投縣名間鄉,38063,3,7.882
南投縣鹿谷鄉,17569,4,22.767
南投縣中寮鄉,14547,1,6.874
南投縣魚池鄉,15652,1,6.389
南投縣國姓鄉,18357,1,5.448
南投縣水里鄉,17313,3,17.328
南投縣信義鄉,16012,0,0
南投縣仁愛鄉,15806,2,12.653
嘉義市東區,121062,6,4.956
嘉義市西區,147006,8,5.442
嘉義縣太保市,38222,11,28.779
嘉義縣中埔鄉,44357,5,11.272
嘉義縣番路鄉,11313,3,26.518
嘉義縣水上鄉,49235,2,4.062
嘉義縣東石鄉,24229,6,24.764
嘉義縣朴子市,41977,8,19.058
嘉義縣大林鎮,30790,3,9.743
嘉義縣民雄鄉,71352,9,12.614
嘉義縣溪口鄉,14356,3,20.897
嘉義縣新港鄉,31556,2,6.338
嘉義縣六腳鄉,22636,5,22.089
嘉義縣義竹鄉,17991,4,22.233
嘉義縣鹿草鄉,15186,2,13.17
嘉義縣竹崎鄉,35291,4,11.334
嘉義縣梅山鄉,19041,2,10.504
嘉義縣大埔鄉,4592,0,0
嘉義縣阿里山鄉,5541,0,0
嘉義縣布袋鎮,26441,1,3.782
基隆市暖暖區,38562,1,2.593
基隆市七堵區,53795,3,5.577
基隆市仁愛區,43339,4,9.23
基隆市信義區,52699,2,3.795
基隆市中正區,51525,5,9.704
基隆市中山區,47046,0,0
基隆市安樂區,82339,6,7.287
宜蘭縣蘇澳鎮,39326,6,15.257
宜蘭縣五結鄉,39784,5,12.568
宜蘭縣宜蘭市,95729,15,15.669
宜蘭縣壯圍鄉,24360,3,12.315
宜蘭縣羅東鎮,72162,5,6.929
宜蘭縣員山鄉,32274,1,3.098
宜蘭縣冬山鄉,53046,7,13.196
宜蘭縣三星鄉,21340,2,9.372
宜蘭縣大同鄉,6140,4,65.147
宜蘭縣頭城鎮,29024,5,17.227
宜蘭縣南澳鄉,5975,3,50.209
宜蘭縣礁溪鄉,35419,5,14.117
屏東縣佳冬鄉,18905,3,15.869
屏東縣竹田鄉,16941,5,29.514
屏東縣萬丹鄉,50512,6,11.878
屏東縣屏東市,199266,22,11.041
屏東縣潮州鎮,53964,2,3.706
屏東縣長治鄉,29528,7,23.706
屏東縣麟洛鄉,10973,1,9.113
屏東縣九如鄉,21980,5,22.748
屏東縣里港鄉,25851,6,23.21
屏東縣鹽埔鄉,25402,3,11.81
屏東縣高樹鄉,24079,2,8.306
屏東縣萬巒鄉,20491,1,4.88
屏東縣內埔鄉,53762,8,14.88
屏東縣新埤鄉,9762,5,51.219
屏東縣崁頂鄉,15357,2,13.023
屏東縣南州鄉,10549,1,9.48
屏東縣琉球鄉,12229,0,0
屏東縣三地門鄉,7658,0,0
屏東縣霧臺鄉,3300,0,0
屏東縣瑪家鄉,6774,1,14.762
屏東縣泰武鄉,5399,0,0
屏東縣來義鄉,7437,0,0
屏東縣春日鄉,4952,0,0
屏東縣獅子鄉,4899,0,0
屏東縣東港鎮,47299,2,4.228
屏東縣恆春鎮,30677,5,16.299
屏東縣枋寮鄉,24121,6,24.875
屏東縣新園鄉,34623,7,20.218
屏東縣林邊鄉,17647,2,11.333
屏東縣車城鄉,8459,3,35.465
屏東縣滿州鄉,7730,2,25.873
屏東縣枋山鄉,5377,5,92.989
屏東縣牡丹鄉,4895,0,0
彰化縣社頭鄉,42655,3,7.033
彰化縣員林市,124919,13,10.407
彰化縣田中鎮,41286,1,2.422
彰化縣彰化市,232204,14,6.029
彰化縣和美鎮,90603,11,12.141
彰化縣線西鄉,16787,3,17.871
彰化縣伸港鄉,37296,2,5.363
彰化縣秀水鄉,39127,5,12.779
彰化縣花壇鄉,45685,8,17.511
彰化縣芬園鄉,23399,0,0
彰化縣溪湖鎮,55212,5,9.056
