area,population,death,rate
南投縣南投市,101314,6,5.922
南投縣埔里鎮,81892,8,9.769
南投縣草屯鎮,98652,10,10.137
南投縣竹山鎮,55758,5,8.967
南投縣集集鎮,11098,0,0
南投縣名間鄉,39348,7,17.79
南投縣鹿谷鄉,18056,2,11.077
南投縣中寮鄉,15208,0,0
南投縣魚池鄉,16244,4,24.624
南投縣國姓鄉,19165,6,31.307
南投縣水里鄉,18121,3,16.555
南投縣信義鄉,16448,0,0
南投縣仁愛鄉,15662,2,12.77
嘉義市東區,122730,2,1.63
嘉義市西區,147395,8,5.428
嘉義縣太保市,37373,8,21.406
嘉義縣中埔鄉,45521,10,21.968
嘉義縣番路鄉,11749,4,34.045
嘉義縣水上鄉,50155,11,21.932
嘉義縣東石鄉,25482,2,7.849
嘉義縣朴子市,42787,2,4.674
嘉義縣大林鎮,31550,2,6.339
嘉義縣民雄鄉,71925,4,5.561
嘉義縣溪口鄉,15023,1,6.656
嘉義縣新港鄉,32619,4,12.263
嘉義縣六腳鄉,23969,3,12.516
嘉義縣義竹鄉,18976,2,10.54
嘉義縣鹿草鄉,15936,4,25.1
嘉義縣竹崎鄉,36380,3,8.246
嘉義縣梅山鄉,19887,2,10.057
嘉義縣大埔鄉,4602,0,0
嘉義縣阿里山鄉,5671,0,0
嘉義縣布袋鎮,27619,2,7.241
基隆市暖暖區,38413,1,2.603
基隆市七堵區,54092,3,5.546
基隆市仁愛區,45372,3,6.612
基隆市信義區,51763,1,1.932
基隆市中正區,52537,1,1.903
基隆市中山區,48199,2,4.149
基隆市安樂區,81525,2,2.453
宜蘭縣蘇澳鎮,40584,3,7.392
宜蘭縣五結鄉,39652,2,5.044
宜蘭縣宜蘭市,96023,6,6.249
宜蘭縣壯圍鄉,24264,1,4.121
宜蘭縣羅東鎮,72514,3,4.137
宜蘭縣員山鄉,32281,3,9.293
宜蘭縣冬山鄉,53392,9,16.856
宜蘭縣三星鄉,21417,5,23.346
宜蘭縣大同鄉,6068,0,0
宜蘭縣頭城鎮,29764,1,3.36
宜蘭縣南澳鄉,5932,4,67.431
宜蘭縣礁溪鄉,35855,2,5.578
屏東縣佳冬鄉,19742,5,25.327
屏東縣竹田鄉,17455,4,22.916
屏東縣萬丹鄉,51403,13,25.29
屏東縣屏東市,202214,16,7.912
屏東縣潮州鎮,54794,7,12.775
屏東縣長治鄉,30181,8,26.507
屏東縣麟洛鄉,11196,6,53.591
屏東縣九如鄉,22073,1,4.53
屏東縣里港鄉,27117,1,3.688
屏東縣鹽埔鄉,26255,2,7.618
屏東縣高樹鄉,24950,5,20.04
屏東縣萬巒鄉,20685,3,14.503
屏東縣內埔鄉,55343,6,10.841
屏東縣新埤鄉,9970,5,50.15
屏東縣崁頂鄉,15949,7,43.89
屏東縣南州鄉,10861,1,9.207
屏東縣琉球鄉,12452,0,0
屏東縣三地門鄉,7665,0,0
屏東縣霧臺鄉,3292,0,0
屏東縣瑪家鄉,6743,1,14.83
屏東縣泰武鄉,5208,0,0
屏東縣來義鄉,7527,0,0
屏東縣春日鄉,4812,0,0
屏東縣獅子鄉,4811,2,41.571
屏東縣東港鎮,48251,4,8.29
屏東縣恆春鎮,30764,5,16.253
屏東縣枋寮鄉,24944,9,36.081
屏東縣新園鄉,35860,8,22.309
屏東縣林邊鄉,18484,2,10.82
屏東縣車城鄉,8861,5,56.427
屏東縣滿州鄉,7935,1,12.602
屏東縣枋山鄉,5547,5,90.139
屏東縣牡丹鄉,4822,0,0
彰化縣社頭鄉,43378,3,6.916
彰化縣員林市,125119,8,6.394
彰化縣田中鎮,42320,3,7.089
彰化縣彰化市,235089,11,4.679
彰化縣和美鎮,91287,4,4.382
彰化縣線西鄉,17011,6,35.271
彰化縣伸港鄉,36579,3,8.201
彰化縣秀水鄉,39379,1,2.539
彰化縣花壇鄉,46101,5,10.846
彰化縣芬園鄉,23932,1,4.179
彰化縣溪湖鎮,55745,4,7.176
彰化縣大村鄉,36688,2,5.451
彰化縣埔鹽鄉,32907,5,15.194
彰化縣埔心鄉,34767,2,5.753
彰化縣永靖鄉,37921,1,2.637
彰化縣二水鄉,15592,0,0
彰化縣二林鎮,51722,8,15.467
彰化縣埤頭鄉,30821,4,12.978
彰化縣芳苑鄉,34134,10,29.296
彰化縣大城鄉,17388,4,23.004
彰化縣竹塘鄉,15544,1,6.433
彰化縣溪州鄉,30488,5,16.4
彰化縣鹿港鎮,86707,10,11.533
彰化縣福興鄉,47445,11,23.185
彰化縣北斗鎮,33281,3,9.014
彰化縣田尾鄉,27625,1,3.62
新北市永和區,224896,8,3.557
新北市新店區,300346,8,2.664
新北市土城區,238348,11,4.615
新北市蘆洲區,200313,2,0.998
新北市五股區,83523,8,9.578
新北市坪林區,6522,1,15.333
新北市平溪區,4797,0,0
新北市烏來區,6167,0,0
新北市淡水區,164129,8,4.874
新北市瑞芳區,40769,5,12.264
新北市林口區,101970,5,4.903
新北市三芝區,23383,3,12.83
新北市八里區,37900,3,7.916
新北市三峽區,113622,5,4.401
新北市鶯歌區,87526,8,9.14
新北市中和區,413941,4,0.966
新北市樹林區,184313,5,2.713
新北市深坑區,23638,0,0
新北市板橋區,553131,20,3.616
新北市石碇區,7773,6,77.19
新北市新莊區,413614,12,2.901
新北市泰山區,78911,6,7.604
新北市三重區,388122,15,3.865
新北市雙溪區,9136,0,0
新北市貢寮區,12787,3,23.461
新北市汐止區,196713,4,2.033
新北市萬里區,22587,0,0
新北市金山區,22238,2,8.994
新北市石門區,12540,2,15.949
新竹市北區,149610,4,2.674
新竹市香山區,77154,3,3.888
新竹市東區,208724,11,5.27
新竹縣峨眉鄉,5611,1,17.822
新竹縣竹東鎮,96831,7,7.229
新竹縣新埔鎮,33947,3,8.837
新竹縣關西鎮,29609,4,13.509
新竹縣湖口鄉,77477,8,10.326
新竹縣芎林鄉,20181,3,14.865
新竹縣橫山鄉,13395,2,14.931
新竹縣北埔鄉,9582,1,10.436
新竹縣寶山鄉,14326,1,6.98
新竹縣尖石鄉,9312,1,10.739
新竹縣五峰鄉,4551,0,0
新竹縣竹北市,174057,10,5.745
新竹縣新豐鄉,56325,4,7.102
桃園市蘆竹區,157242,15,9.539
桃園市龜山區,148803,10,6.72
桃園市龍潭區,119391,2,1.675
