area,population,death,rate
南投縣南投市,102382,18,17.581
南投縣埔里鎮,83232,16,19.223
南投縣草屯鎮,99273,12,12.088
南投縣竹山鎮,56796,9,15.846
南投縣集集鎮,11437,6,52.461
南投縣名間鄉,40016,5,12.495
南投縣鹿谷鄉,18534,0,0
南投縣中寮鄉,15607,2,12.815
南投縣魚池鄉,16555,0,0
南投縣國姓鄉,19798,0,0
南投縣水里鄉,18774,3,15.98
南投縣信義鄉,16829,2,11.884
南投縣仁愛鄉,15848,2,12.62
嘉義市東區,123506,8,6.477
嘉義市西區,147320,7,4.752
嘉義縣太保市,37054,11,29.686
嘉義縣中埔鄉,46207,3,6.493
嘉義縣番路鄉,12154,1,8.228
嘉義縣水上鄉,50856,10,19.663
嘉義縣東石鄉,26346,6,22.774
嘉義縣朴子市,43256,2,4.624
嘉義縣大林鎮,32246,4,12.405
嘉義縣民雄鄉,71968,14,19.453
嘉義縣溪口鄉,15509,2,12.896
嘉義縣新港鄉,33289,8,24.032
嘉義縣六腳鄉,24714,4,16.185
嘉義縣義竹鄉,19648,6,30.537
嘉義縣鹿草鄉,16459,3,18.227
嘉義縣竹崎鄉,37053,2,5.398
嘉義縣梅山鄉,20337,1,4.917
嘉義縣大埔鄉,4656,0,0
嘉義縣阿里山鄉,5757,1,17.37
嘉義縣布袋鎮,28519,5,17.532
基隆市暖暖區,38221,4,10.465
基隆市七堵區,53979,3,5.558
基隆市仁愛區,46474,4,8.607
基隆市信義區,51274,2,3.901
基隆市中正區,53184,2,3.761
基隆市中山區,48779,4,8.2
基隆市安樂區,81686,6,7.345
宜蘭縣蘇澳鎮,41143,9,21.875
宜蘭縣五結鄉,39332,2,5.085
宜蘭縣宜蘭市,95799,12,12.526
宜蘭縣壯圍鄉,24476,4,16.343
宜蘭縣羅東鎮,72469,5,6.9
宜蘭縣員山鄉,32367,4,12.358
宜蘭縣冬山鄉,53562,8,14.936
宜蘭縣三星鄉,21396,6,28.043
宜蘭縣大同鄉,6135,0,0
宜蘭縣頭城鎮,29925,2,6.683
宜蘭縣南澳鄉,6162,1,16.228
宜蘭縣礁溪鄉,36018,7,19.435
屏東縣佳冬鄉,20320,5,24.606
屏東縣竹田鄉,17763,11,61.926
屏東縣萬丹鄉,52151,15,28.763
屏東縣屏東市,204084,23,11.27
屏東縣潮州鎮,54812,5,9.122
屏東縣長治鄉,30471,6,19.691
屏東縣麟洛鄉,11338,1,8.82
屏東縣九如鄉,22247,5,22.475
屏東縣里港鄉,26730,5,18.706
屏東縣鹽埔鄉,26670,8,29.996
屏東縣高樹鄉,25653,6,23.389
屏東縣萬巒鄉,20955,4,19.089
屏東縣內埔鄉,56250,6,10.667
屏東縣新埤鄉,10310,4,38.797
屏東縣崁頂鄉,16329,2,12.248
屏東縣南州鄉,11058,2,18.086
屏東縣琉球鄉,12670,1,7.893
屏東縣三地門鄉,7804,0,0
屏東縣霧臺鄉,3468,0,0
屏東縣瑪家鄉,6711,2,29.802
屏東縣泰武鄉,5312,0,0
屏東縣來義鄉,7636,1,13.096
屏東縣春日鄉,4873,1,20.521
屏東縣獅子鄉,4903,0,0
屏東縣東港鎮,48368,2,4.135
屏東縣恆春鎮,30793,8,25.98
屏東縣枋寮鄉,25554,12,46.959
屏東縣新園鄉,36792,4,10.872
屏東縣林邊鄉,19312,6,31.069
屏東縣車城鄉,9172,3,32.708
屏東縣滿州鄉,8184,3,36.657
屏東縣枋山鄉,5759,6,104.185
