area,population,death,rate
南投縣南投市,97701,9,9.212
南投縣埔里鎮,77495,6,7.742
南投縣草屯鎮,96391,6,6.225
南投縣竹山鎮,52106,3,5.757
南投縣集集鎮,10116,0,0
南投縣名間鄉,36427,3,8.236
南投縣鹿谷鄉,16593,1,6.027
南投縣中寮鄉,13965,0,0
南投縣魚池鄉,14983,2,13.348
南投縣國姓鄉,17422,1,5.74
南投縣水里鄉,16520,0,0
南投縣信義鄉,15689,0,0
南投縣仁愛鄉,15758,4,25.384
嘉義市東區,118046,4,3.389
嘉義市西區,144798,10,6.906
嘉義縣太保市,38712,6,15.499
嘉義縣中埔鄉,43238,7,16.189
嘉義縣番路鄉,11028,1,9.068
嘉義縣水上鄉,48106,5,10.394
嘉義縣東石鄉,23322,4,17.151
嘉義縣朴子市,40996,3,7.318
嘉義縣大林鎮,29888,4,13.383
嘉義縣民雄鄉,70304,6,8.534
嘉義縣溪口鄉,13618,2,14.686
嘉義縣新港鄉,30501,7,22.95
嘉義縣六腳鄉,21473,6,27.942
嘉義縣義竹鄉,17098,0,0
嘉義縣鹿草鄉,14560,2,13.736
嘉義縣竹崎鄉,33885,1,2.951
嘉義縣梅山鄉,18156,1,5.508
嘉義縣大埔鄉,4499,0,0
嘉義縣阿里山鄉,5399,0,0
嘉義縣布袋鎮,25224,2,7.929
基隆市暖暖區,38176,1,2.619
基隆市七堵區,53058,2,3.769
基隆市仁愛區,41255,2,4.848
基隆市信義區,52699,1,1.898
基隆市中正區,50416,2,3.967
基隆市中山區,45203,2,4.424
基隆市安樂區,80272,5,6.229
宜蘭縣蘇澳鎮,38060,2,5.255
宜蘭縣五結鄉,40403,3,7.425
宜蘭縣宜蘭市,94539,3,3.173
宜蘭縣壯圍鄉,24357,4,16.422
宜蘭縣羅東鎮,70148,3,4.277
宜蘭縣員山鄉,31864,3,9.415
宜蘭縣冬山鄉,52727,8,15.172
宜蘭縣三星鄉,21240,5,23.54
宜蘭縣大同鄉,6162,2,32.457
宜蘭縣頭城鎮,28477,3,10.535
宜蘭縣南澳鄉,6029,1,16.586
宜蘭縣礁溪鄉,34850,2,5.739
屏東縣佳冬鄉,18145,2,11.022
屏東縣竹田鄉,16166,4,24.743
屏東縣萬丹鄉,49534,15,30.282
屏東縣屏東市,194009,16,8.247
屏東縣潮州鎮,53136,7,13.174
屏東縣長治鄉,29203,3,10.273
屏東縣麟洛鄉,10573,2,18.916
