area,population,death,rate
南投縣南投市,102580,9,8.774
南投縣埔里鎮,83441,11,13.183
南投縣草屯鎮,99213,9,9.071
南投縣竹山鎮,56983,5,8.775
南投縣集集鎮,11486,6,52.238
南投縣名間鄉,40063,1,2.496
南投縣鹿谷鄉,18557,0,0
南投縣中寮鄉,15617,2,12.807
南投縣魚池鄉,16569,0,0
南投縣國姓鄉,19859,0,0
南投縣水里鄉,18840,3,15.924
南投縣信義鄉,16765,1,5.965
南投縣仁愛鄉,15811,1,6.325
嘉義市東區,123641,4,3.235
嘉義市西區,147200,5,3.397
嘉義縣太保市,36945,5,13.534
嘉義縣中埔鄉,46228,2,4.326
嘉義縣番路鄉,12166,1,8.22
嘉義縣水上鄉,50953,5,9.813
嘉義縣東石鄉,26333,5,18.988
嘉義縣朴子市,43434,0,0
嘉義縣大林鎮,32348,3,9.274
嘉義縣民雄鄉,71992,5,6.945
嘉義縣溪口鄉,15554,1,6.429
嘉義縣新港鄉,33388,5,14.975
嘉義縣六腳鄉,24798,3,12.098
嘉義縣義竹鄉,19692,5,25.391
嘉義縣鹿草鄉,16522,1,6.053
嘉義縣竹崎鄉,37167,1,2.691
嘉義縣梅山鄉,20441,1,4.892
嘉義縣大埔鄉,4644,0,0
嘉義縣阿里山鄉,5762,1,17.355
嘉義縣布袋鎮,28569,4,14.001
基隆市暖暖區,38038,4,10.516
基隆市七堵區,53940,3,5.562
基隆市仁愛區,46779,3,6.413
基隆市信義區,51132,2,3.911
基隆市中正區,53277,2,3.754
基隆市中山區,48840,3,6.143
基隆市安樂區,81780,4,4.891
宜蘭縣蘇澳鎮,41316,5,12.102
宜蘭縣五結鄉,39284,2,5.091
宜蘭縣宜蘭市,95746,8,8.355
宜蘭縣壯圍鄉,24512,3,12.239
宜蘭縣羅東鎮,72322,5,6.914
宜蘭縣員山鄉,32299,3,9.288
宜蘭縣冬山鄉,53715,6,11.17
宜蘭縣三星鄉,21380,2,9.355
宜蘭縣大同鄉,6129,0,0
宜蘭縣頭城鎮,29936,2,6.681
宜蘭縣南澳鄉,6095,0,0
宜蘭縣礁溪鄉,36037,6,16.65
屏東縣佳冬鄉,20367,4,19.64
屏東縣竹田鄉,17765,8,45.032
屏東縣萬丹鄉,52288,12,22.95
屏東縣屏東市,204740,17,8.303
屏東縣潮州鎮,54844,5,9.117
屏東縣長治鄉,30414,3,9.864
屏東縣麟洛鄉,11317,1,8.836
屏東縣九如鄉,22301,1,4.484
屏東縣里港鄉,26695,4,14.984
屏東縣鹽埔鄉,26680,5,18.741
屏東縣高樹鄉,25681,4,15.576
屏東縣萬巒鄉,20995,2,9.526
屏東縣內埔鄉,56327,2,3.551
屏東縣新埤鄉,10268,2,19.478
屏東縣崁頂鄉,16354,0,0
屏東縣南州鄉,11099,1,9.01
屏東縣琉球鄉,12661,0,0
屏東縣三地門鄉,7772,0,0
屏東縣霧臺鄉,3436,0,0
