area,population,death,rate
南投縣南投市,97820,9,9.201
南投縣埔里鎮,77587,5,6.444
南投縣草屯鎮,96445,6,6.221
南投縣竹山鎮,52174,3,5.75
南投縣集集鎮,10122,0,0
南投縣名間鄉,36473,3,8.225
南投縣鹿谷鄉,16612,1,6.02
南投縣中寮鄉,13956,0,0
南投縣魚池鄉,15001,1,6.666
南投縣國姓鄉,17451,1,5.73
南投縣水里鄉,16548,0,0
南投縣信義鄉,15712,0,0
南投縣仁愛鄉,15769,4,25.366
嘉義市東區,118103,2,1.693
嘉義市西區,144880,9,6.212
嘉義縣太保市,38696,4,10.337
嘉義縣中埔鄉,43275,7,16.176
嘉義縣番路鄉,11029,1,9.067
嘉義縣水上鄉,48164,5,10.381
嘉義縣東石鄉,23327,4,17.148
嘉義縣朴子市,41043,3,7.309
嘉義縣大林鎮,29937,3,10.021
嘉義縣民雄鄉,70316,6,8.533
嘉義縣溪口鄉,13658,2,14.643
嘉義縣新港鄉,30543,5,16.37
嘉義縣六腳鄉,21506,6,27.899
嘉義縣義竹鄉,17104,0,0
嘉義縣鹿草鄉,14579,1,6.859
嘉義縣竹崎鄉,33906,1,2.949
嘉義縣梅山鄉,18164,1,5.505
嘉義縣大埔鄉,4504,0,0
嘉義縣阿里山鄉,5405,0,0
嘉義縣布袋鎮,25267,1,3.958
基隆市暖暖區,38155,1,2.621
基隆市七堵區,53062,2,3.769
基隆市仁愛區,41322,2,4.84
基隆市信義區,52694,1,1.898
基隆市中正區,50449,1,1.982
基隆市中山區,45292,1,2.208
基隆市安樂區,80346,3,3.734
宜蘭縣蘇澳鎮,38053,2,5.256
宜蘭縣五結鄉,40404,3,7.425
宜蘭縣宜蘭市,94557,3,3.173
宜蘭縣壯圍鄉,24361,1,4.105
宜蘭縣羅東鎮,70243,2,2.847
宜蘭縣員山鄉,31878,3,9.411
宜蘭縣冬山鄉,52746,4,7.584
宜蘭縣三星鄉,21223,5,23.559
宜蘭縣大同鄉,6142,2,32.563
宜蘭縣頭城鎮,28465,3,10.539
宜蘭縣南澳鄉,6009,1,16.642
宜蘭縣礁溪鄉,34852,1,2.869
屏東縣佳冬鄉,18152,1,5.509
屏東縣竹田鄉,16161,4,24.751
屏東縣萬丹鄉,49506,10,20.2
屏東縣屏東市,194252,11,5.663
屏東縣潮州鎮,53104,6,11.299
屏東縣長治鄉,29202,2,6.849
屏東縣麟洛鄉,10612,2,18.847
屏東縣九如鄉,21677,2,9.226
屏東縣里港鄉,25709,4,15.559
屏東縣鹽埔鄉,24424,2,8.189
屏東縣高樹鄉,23349,4,17.131
屏東縣萬巒鄉,19701,2,10.152
屏東縣內埔鄉,52434,6,11.443
屏東縣新埤鄉,10191,2,19.625
屏東縣崁頂鄉,15107,2,13.239
屏東縣南州鄉,10078,0,0
屏東縣琉球鄉,12180,2,16.42
屏東縣三地門鄉,7764,1,12.88
屏東縣霧臺鄉,3304,0,0
屏東縣瑪家鄉,6745,0,0
屏東縣泰武鄉,5356,0,0
屏東縣來義鄉,7434,0,0
屏東縣春日鄉,4905,0,0
屏東縣獅子鄉,4893,0,0
屏東縣東港鎮,46064,7,15.196
屏東縣恆春鎮,29908,4,13.374
屏東縣枋寮鄉,23117,3,12.977
屏東縣新園鄉,33179,4,12.056
屏東縣林邊鄉,16870,1,5.928
屏東縣車城鄉,8269,2,24.187
屏東縣滿州鄉,7530,0,0
屏東縣枋山鄉,5171,1,19.339
屏東縣牡丹鄉,4853,0,0
彰化縣社頭鄉,41777,1,2.394
彰化縣員林市,122106,6,4.914
彰化縣田中鎮,39819,5,12.557
彰化縣彰化市,226790,16,7.055
彰化縣和美鎮,88992,5,5.618
彰化縣線西鄉,16345,2,12.236
彰化縣伸港鄉,37838,4,10.571
彰化縣秀水鄉,38339,2,5.217
彰化縣花壇鄉,44416,2,4.503
彰化縣芬園鄉,22592,3,13.279
彰化縣溪湖鎮,54137,6,11.083
彰化縣大村鄉,39965,1,2.502
彰化縣埔鹽鄉,31477,5,15.885
彰化縣埔心鄉,33874,2,5.904
彰化縣永靖鄉,35688,5,14.01
彰化縣二水鄉,14257,0,0
彰化縣二林鎮,48773,6,12.302
彰化縣埤頭鄉,29430,2,6.796
彰化縣芳苑鄉,31853,3,9.418
彰化縣大城鄉,15615,7,44.829
彰化縣竹塘鄉,14506,0,0
彰化縣溪州鄉,28773,3,10.426
彰化縣鹿港鎮,85391,8,9.369
彰化縣福興鄉,45581,3,6.582
彰化縣北斗鎮,33192,1,3.013
彰化縣田尾鄉,26157,0,0
新北市永和區,211153,1,0.474
新北市新店區,294966,12,4.068
新北市土城區,236198,8,3.387
新北市蘆洲區,199964,3,1.5
新北市五股區,90465,4,4.422
新北市坪林區,6586,0,0
新北市平溪區,4301,0,0
新北市烏來區,6298,0,0
新北市淡水區,184192,7,3.8
新北市瑞芳區,38039,1,2.629
新北市林口區,124639,4,3.209
新北市三芝區,22160,0,0
新北市八里區,40203,2,4.975
新北市三峽區,115185,5,4.341
新北市鶯歌區,87920,5,5.687
新北市中和區,400861,7,1.746
新北市樹林區,180044,8,4.443
新北市深坑區,23427,1,4.269
新北市板橋區,547993,17,3.102
新北市石碇區,7370,1,13.569
新北市新莊區,418289,16,3.825
新北市泰山區,76775,3,3.908
新北市三重區,378736,10,2.64
新北市雙溪區,8182,0,0
新北市貢寮區,11392,2,17.556
新北市汐止區,204619,6,2.932
新北市萬里區,21168,1,4.724
新北市金山區,20677,2,9.673
新北市石門區,11039,0,0
新竹市北區,151348,10,6.607
新竹市香山區,78264,8,10.222
新竹市東區,220735,4,1.812
